rank,method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,dataset,model,optimizer,batch_size,damping,a_power,pink_alpha,geometry_rebuild_every_epochs
1,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2555340128735854,0.2222668090289516,0.9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.002,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
2,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2753493821678253,0.2383515290055584,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.002,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
3,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2365360599743504,0.2068761682341574,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.002,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
4,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3233823075922381,0.2773248895198321,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.002,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
5,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2126162350177765,0.1876520272991911,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.002,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
6,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2257184524280138,0.1907435931323561,0.9566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
7,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2737712912961968,0.231741592886101,0.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
8,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2958011839570653,0.2506559574365383,0.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
9,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.2524449547641297,0.2135139201593119,0.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
10,DP-KFC-A,a_only,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3490514776263481,0.2966028827522677,0.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
