rank,method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,dataset,model,optimizer,batch_size,damping,a_power,pink_alpha,geometry_rebuild_every_epochs
11,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3563320059170071,0.3117213497578632,0.9373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
12,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.3829579142232736,0.3354252878227271,0.9368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
13,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.4030263138632489,0.3534878552716691,0.9365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
14,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.4230719492094129,0.3714673726470209,0.9358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
15,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.4691852030591068,0.4127895892102969,0.9349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
16,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,1.2528643839889102,1.296512504758931,0.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
17,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,1.1969840488372705,1.2416865466679383,0.9088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
18,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,1.1706042447660725,1.2160080433750409,0.9077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
19,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,1.147067922939602,1.1997453513707117,0.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
20,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,1.1129944456948175,1.1724511654203524,0.9027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
21,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7817973418113513,0.6432897783815861,0.7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
22,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7879515127239064,0.6545235410332679,0.7925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
23,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7909992431473528,0.6618531249463558,0.7893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
24,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7927048616429679,0.6681969724595547,0.7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
25,DP-KFC,full,pink,bk,False,2.0,1.992332714190104,1e-05,0.806884765625,42,5,0.7938043182222252,0.6755517244338989,0.7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
