estimator,k,label_seed,layer,C_relative_error
KFAC-M-1,1,0,conv1,0.1071062684059143
KFAC-M-1,1,0,conv2,0.19484007358551025
KFAC-M-1,1,0,fc1,1.2631608247756958
KFAC-M-1,1,0,fc2,1.1365770101547241
KFAC-U-9,9,1,conv1,0.03226090222597122
KFAC-U-9,9,1,conv2,0.07165005058050156
KFAC-U-9,9,1,fc1,0.6107761859893799
KFAC-U-9,9,1,fc2,0.605448305606842
KFAC-U-1,1,1,conv1,0.12222224473953247
KFAC-U-1,1,1,conv2,0.2117902636528015
KFAC-U-1,1,1,fc1,1.269714593887329
KFAC-U-1,1,1,fc2,1.171902060508728
KFAC-M-3,3,0,conv1,0.04985446482896805
KFAC-M-3,3,0,conv2,0.10300246626138687
KFAC-M-3,3,0,fc1,0.5288650989532471
KFAC-M-3,3,0,fc2,0.431006520986557
KFAC-M-9,9,1,conv1,0.03214474394917488
KFAC-M-9,9,1,conv2,0.07131306082010269
KFAC-M-9,9,1,fc1,0.5924792289733887
KFAC-M-9,9,1,fc2,0.5942937731742859
KFAC-U-9,9,0,conv1,0.026704415678977966
KFAC-U-9,9,0,conv2,0.057855717837810516
KFAC-U-9,9,0,fc1,0.3695793151855469
KFAC-U-9,9,0,fc2,0.3361588418483734
KFAC-M-9,9,0,conv1,0.02594030648469925
KFAC-M-9,9,0,conv2,0.05783694237470627
KFAC-M-9,9,0,fc1,0.35603439807891846
KFAC-M-9,9,0,fc2,0.3067683279514313
KFAC-M-1,1,1,conv1,0.0945655107498169
KFAC-M-1,1,1,conv2,0.19681403040885925
KFAC-M-1,1,1,fc1,1.195315957069397
KFAC-M-1,1,1,fc2,1.1178478002548218
KFAC-U-3,3,0,conv1,0.04985446110367775
KFAC-U-3,3,0,conv2,0.10300246626138687
KFAC-U-3,3,0,fc1,0.5288650989532471
KFAC-U-3,3,0,fc2,0.431006520986557
KFAC-U-3,3,1,conv1,0.05108198896050453
KFAC-U-3,3,1,conv2,0.10106178373098373
KFAC-U-3,3,1,fc1,0.6548187136650085
KFAC-U-3,3,1,fc2,0.602212131023407
KFAC-U-1,1,0,conv1,0.1071062758564949
KFAC-U-1,1,0,conv2,0.19484007358551025
KFAC-U-1,1,0,fc1,1.2631608247756958
KFAC-U-1,1,0,fc2,1.1365770101547241
KFAC-M-3,3,1,conv1,0.04723632335662842
KFAC-M-3,3,1,conv2,0.09615808725357056
KFAC-M-3,3,1,fc1,0.6118109226226807
KFAC-M-3,3,1,fc2,0.5674409866333008
