estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,36,9,1,4,0.015129698440432549,0.015129698440432549,0.015129698440432549,0.015129698440432549,1,1,17894400,38268416,20374016,23068672,46137344,23068672,0
KFLR,9,-1,36,9,1,4,0.014157647266983986,0.014157647266983986,0.014157647266983986,0.014157647266983986,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-M-1,1,0,4,1,1,4,0.004272708669304848,0.004272708669304848,0.004272708669304848,0.004272708669304848,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,1,36,9,1,4,0.016389906406402588,0.016389906406402588,0.016389906406402588,0.016389906406402588,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-U-1,1,1,4,1,1,4,0.005447646602988243,0.005447646602988243,0.005447646602988243,0.005447646602988243,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,0,12,3,1,4,0.008680000901222229,0.008680000901222229,0.008680000901222229,0.008680000901222229,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
KFAC-M-9,9,1,36,9,1,4,0.01547346543520689,0.01547346543520689,0.01547346543520689,0.01547346543520689,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,0,36,9,1,4,0.0188682796433568,0.0188682796433568,0.0188682796433568,0.0188682796433568,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-M-9,9,0,36,9,1,4,0.01876840740442276,0.01876840740442276,0.01876840740442276,0.01876840740442276,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
KFAC-M-1,1,1,4,1,1,4,0.005017481744289398,0.005017481744289398,0.005017481744289398,0.005017481744289398,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
KFAC-U-3,3,0,12,3,1,4,0.016559621319174767,0.016559621319174767,0.016559621319174767,0.016559621319174767,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-U-3,3,1,12,3,1,4,0.009221512824296951,0.009221512824296951,0.009221512824296951,0.009221512824296951,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFRA-block,0,-1,0,0,1,4,0.009654677473008633,0.009654677473008633,0.009654677473008633,0.009654677473008633,1,1,17894400,39940608,22046208,23068672,50331648,27262976,4
KFAC-U-1,1,0,4,1,1,4,0.009437794797122478,0.009437794797122478,0.009437794797122478,0.009437794797122478,1,1,17894400,38268416,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,1,12,3,1,4,0.009061112068593502,0.009061112068593502,0.009061112068593502,0.009061112068593502,1,1,17894400,38267904,20373504,23068672,46137344,23068672,4
