beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,top10_energy_share,directions_for_90pct,W_global,probe_sample_count,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.0,42,1,0.20703125,2.2968316078186035,2.3043770790100098,,0.0,1.0,0.008085334673523903,127.16304016113281,142.74940490722656,154.16917419433594,1.475482253357768,0.08068823628127575,0.11127412226051092,0.0010488210245966911,0.04472277872264385,1.5561704896390438,1.7132162116467953,0.08068823628127575,3172.705363240249,159955968,138589696,159955968,1,256,0,256,1,1,256,9.92504197507658,6444.91609963521,25.482524940711347,3.1504034622690122,80.28023480057348,0.987275374666371,0.003730874435777733,0.0006359969384140943,256,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
0.25,42,1,0.19921875,2.296572685241699,2.3043770790100098,,0.0,1.0,0.002717231400310993,370.8760986328125,425.2937927246094,458.245361328125,0.6764576928690076,0.046980672515928745,0.0750730074942112,0.0004403619095683098,0.02875890675932169,0.7234383653849363,0.8277106415480375,0.046980672515928745,5449.049285388656,160109568,138589696,160109568,1,256,0,256,1,1,256,85.25800524128609,6444.91609963521,8.69442870030649,9.233526154253644,80.2802348005735,0.6795770175533767,0.3765766810682286,0.030575372493429547,256,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
0.5,42,1,0.17578125,2.3026633262634277,2.3043770790100098,,0.0,1.0,0.0010707955807447433,947.47509765625,1096.2060546875,1201.9781494140625,0.6751017151400447,0.04811242874711752,0.07511428743600845,0.0004968475550413132,0.0346871018409729,0.7232141438871622,0.8335123807191849,0.04811242874711752,5320.870441722136,160109568,138589696,160109568,1,256,0,256,1,1,256,6444.91609963521,6444.91609963521,1.0,80.28023480057348,80.28023480057348,0.3995816681514863,0.4756671596060351,0.3687846448117991,256,0.10713575380550416,2.3018722306102486,0.9996904078003604,0.000712862383797308,1
