beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
0.0,42,1,conv1,256,160,55.244021263111605,0.34527513289444756,0.34527513289444756,0.34527513289444756,0.4413902791935423,0.51875
0.0,42,1,conv2,256,4640,48.107335089759644,0.010367960148655096,0.010367960148655096,0.010367960148655096,0.9447333708933643,0.04633620689655173
0.0,42,1,fc1,256,200832,17.868882272424177,8.897427836412612e-05,8.897427836412612e-05,8.897427836412612e-05,0.9888438898161338,0.002315368068833652
0.0,42,1,fc2,256,1290,10.38151986522577,0.008047689818004472,0.008047689818004472,0.008047689818004472,0.9638090787169507,0.0069767441860465115
0.25,42,1,conv1,256,160,101.77111324575354,0.6360694577859597,0.6360694577859597,0.6360694577859597,0.27994428173108155,0.74375
0.25,42,1,conv2,256,4640,502.1280886439686,0.10821726048361392,0.10821726048361392,0.10821726048361392,0.5534908705461774,0.5310344827586206
0.25,42,1,fc1,256,200832,5659.111972059012,0.02817833797432188,0.02817833797432188,0.02817833797432188,0.6834028292146661,0.3722613926067559
0.25,42,1,fc2,256,1290,63.706053136694464,0.04938453731526703,0.04938453731526703,0.04938453731526703,0.5870464379292809,0.44728682170542633
0.5,42,1,conv1,256,160,144.21088933230718,0.9013180583269199,0.9013180583269199,0.9013180583269199,0.15795995311115585,0.8125
0.5,42,1,conv2,256,4640,3499.960079246837,0.7543017412169907,0.7543017412169907,0.7543017412169907,0.18942468200676027,0.6818965517241379
0.5,42,1,fc1,256,200832,71923.66833209901,0.35812852698822406,0.35812852698822406,0.35812852698822406,0.40547685373818226,0.47013922084130016
0.5,42,1,fc2,256,1290,741.8169730689463,0.5750519171077103,0.5750519171077103,0.5750519171077103,0.26767932580316195,0.5527131782945737
