method,seed,epoch,layer,mean,median,p90,p99
M0_original,123,1,conv1,0.00045696395682170987,0.0003096598375122994,0.0008058954845182598,0.003263036720454693
M0_original,123,1,conv2,0.02450891211628914,0.01891082525253296,0.049755413085222244,0.08642754703760147
M0_original,123,1,fc1,0.8673864006996155,0.9124463796615601,0.9341927766799927,0.9483014345169067
M0_original,123,1,fc2,0.10764770209789276,0.0640937089920044,0.1160382330417633,0.7074679136276245
M0_original,123,2,conv1,0.02761312946677208,0.021694064140319824,0.055718518793582916,0.09902671724557877
M0_original,123,2,conv2,0.2460956573486328,0.21766799688339233,0.4299769401550293,0.5853483080863953
M0_original,123,2,fc1,0.6185268759727478,0.6237888336181641,0.7725459337234497,0.8454128503799438
M0_original,123,2,fc2,0.10776430368423462,0.03208552300930023,0.2739560306072235,0.4535871148109436
M0_original,123,3,conv1,0.0513107031583786,0.042168572545051575,0.09832223504781723,0.1690359264612198
M0_original,123,3,conv2,0.2830897271633148,0.2706838548183441,0.41374051570892334,0.5287778377532959
M0_original,123,3,fc1,0.5742623209953308,0.5836161375045776,0.6811086535453796,0.7490743398666382
M0_original,123,3,fc2,0.09133721143007278,0.09876925498247147,0.19841758906841278,0.2992002069950104
M0_original,123,4,conv1,0.04867007955908775,0.03824217617511749,0.09625226259231567,0.1674407422542572
M0_original,123,4,conv2,0.282095342874527,0.266701340675354,0.4237385094165802,0.5325742959976196
M0_original,123,4,fc1,0.5880871415138245,0.5995009541511536,0.7137832045555115,0.7810572981834412
M0_original,123,4,fc2,0.08113064616918564,0.08022493124008179,0.17307434976100922,0.29249799251556396
M0_original,123,5,conv1,0.04641040414571762,0.038472969084978104,0.08423060923814774,0.1522933691740036
M0_original,123,5,conv2,0.24490053951740265,0.23453959822654724,0.35156944394111633,0.46222200989723206
M0_original,123,5,fc1,0.6075083613395691,0.6147347688674927,0.7142749428749084,0.7744299173355103
M0_original,123,5,fc2,0.10116405785083771,0.09752049297094345,0.2122734785079956,0.37471818923950195
