method,family,p,attention_qkv,attention_out,patch_head,identity,mlp_fc1,mlp_fc2
dp_adamw,baseline,,57.75019073486328,56.4643783569336,45.40386962890625,16.56111717224121,69.21649156262393,69.4079609096573
trace_a_p01,trace_a,0.1,53.22141647338867,63.1982650756836,44.89094543457031,16.803043365478516,61.95308161426114,78.59099252579875
trace_a_p02,trace_a,0.2,46.8470344543457,67.99954223632812,43.49037170410156,16.97014617919922,53.0742744800793,86.84249503494857
trace_a_p03,trace_a,0.3,39.5526237487793,70.6917724609375,40.92832946777344,17.086162567138672,43.70000201879187,93.4697030549018
trace_a_p04,trace_a,0.4,32.05374526977539,71.32886505126953,37.19777297973633,17.04144287109375,34.52311017451422,97.55624819691039
trace_a_p05,trace_a,0.5,25.299850463867188,70.82152557373047,32.9494514465332,16.938724517822266,26.598343496465166,99.79702898937038
trace_ag_p01,trace_ag,0.1,54.72902297973633,63.84280776977539,44.59064483642578,17.114473342895508,63.83556586213729,79.2639854731092
trace_ag_p02,trace_ag,0.2,49.66257095336914,69.39122009277344,44.90422058105469,17.492835998535156,56.46507129576956,88.37227086953318
trace_ag_p03,trace_ag,0.3,42.99161148071289,72.32825469970703,43.69551086425781,17.60618782043457,47.68811822281572,95.26268142438101
trace_ag_p04,trace_ag,0.4,35.80373001098633,73.04696655273438,40.90262222290039,17.52716064453125,38.77966518661351,99.67853738485071
trace_ag_p05,trace_ag,0.5,28.990724563598636,72.39607238769531,37.17500686645508,17.341829299926758,30.673014509082765,102.00043419224298
