method,algorithm,mode,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,preconditioner_build_seconds,private_train_seconds,seconds_per_batch,samples_per_second,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,batches,samples,accountant_steps,ghost_first_pass_norm_seconds,ghost_second_pass_backward_seconds,aggregate_transform_seconds
DP-SGD Exact,DP-SGD,Exact,42,1,0.881,0.5494209359169007,0.7795634175467695,0.7861127240333559,1.068115234375,0.5896434294871795,0.491221983017575,1.530814915895462e-05,12.670736274681985,0.05414844561829908,4727.744205338493,469204480,488636416,829440,2097152,469204480,488636416,234,59904,234,0.0,0.0,0.0
DP-SGD Exact,DP-SGD,Exact,42,2,0.9119,0.4930035579323769,0.5728958885893862,0.8385078418579571,1.068115234375,0.3129841079059829,0.7325898156716273,2.7368776500225067e-05,12.174488827586174,0.05202773003241955,4920.4529938261985,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,468,0.0,0.0,0.0
DP-SGD Exact,DP-SGD,Exact,42,3,0.9126,0.5066497075676918,0.5427305661460273,0.8909029596825585,1.068115234375,0.2573283920940171,0.7791745443629403,3.1978823244571686e-05,12.096328940242529,0.051693713419839867,4952.24628033296,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,702,0.0,0.0,0.0
DP-SGD Exact,DP-SGD,Exact,42,4,0.9223,0.49256863960027697,0.5229249889524574,0.9432980775071597,1.068115234375,0.22672943376068377,0.8041696380346249,1.5241093933582306e-05,12.044610396027565,0.0514726940001178,4973.510809428668,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,936,0.0,0.0,0.0
DP-SGD Exact,DP-SGD,Exact,42,5,0.9287,0.48235097950473427,0.5062057860514038,0.995693195331761,1.068115234375,0.20237379807692307,0.82535728914106,3.1191855669021606e-05,12.020879694260657,0.051371280744703665,4983.329134273013,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,1170,0.0,0.0,0.0
DP-SGD Ghost,DP-SGD,Ghost,42,1,0.881,0.5494774634838104,0.7796663049703989,0.7861127240333559,1.068115234375,0.5896267361111112,0.49122142368274874,1.4314427971839905e-05,13.692302736453712,0.058514114258349195,4375.01281946641,108031488,134217728,17868800,23068672,108031488,134217728,234,59904,234,2.1343428334221244,0.6432402823120356,0.15095063764601946
DP-SGD Ghost,DP-SGD,Ghost,42,2,0.9118,0.49317908370494845,0.5730534679869301,0.8385078418579571,1.068115234375,0.3130174946581197,0.7326469087702596,1.4513731002807617e-05,13.718761445954442,0.05862718566647197,4366.574944538104,108031488,134217728,18676224,25165824,108031488,134217728,234,59904,468,2.118125358596444,0.6434723418205976,0.15188800264149904
DP-SGD Ghost,DP-SGD,Ghost,42,3,0.9126,0.5063239306092262,0.542853757356986,0.8909029596825585,1.068115234375,0.2573784722222222,0.7790662419592214,3.5521574318408966e-05,13.658398776315153,0.05836922553980835,4385.872823092464,108031488,134217728,18676224,23068672,108031488,134217728,234,59904,702,2.1313694324344397,0.6464578649029136,0.14512806106358767
DP-SGD Ghost,DP-SGD,Ghost,42,4,0.9218,0.49167966969013216,0.5232049609478723,0.9432980775071597,1.068115234375,0.2269130608974359,0.803946789003845,1.2749806046485901e-05,13.685331737622619,0.058484323665053926,4377.241352163698,108031488,134217728,18676224,23068672,108031488,134217728,234,59904,936,2.1217938903719187,0.6441377056762576,0.155721515417099
DP-SGD Ghost,DP-SGD,Ghost,42,5,0.9287,0.48182446813061836,0.5053255501975361,0.995693195331761,1.068115234375,0.20282451923076922,0.8251184028947455,1.3568438589572906e-05,13.692055146209896,0.05851305618038417,4375.091931804121,108031488,134217728,18676224,25165824,108031488,134217728,234,59904,1170,2.1107230484485626,0.6376126166433096,0.1511280806735158
