task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
mnist,dp_kfm_a,pink,0.5,42,1,conv1,True,0.8618116263472527,0.7908662092298306,conv1,160.0,76.08855831700902,160,1.0,206922,2.1028128740906005,19996248,5.162998806695019,0.542491376423335,134.82070457616996,26.65655667793419,0.04390336635477699,1.1703125735882218
mnist,dp_kfm_a,pink,0.5,42,1,conv2,True,0.8169699345649275,0.6628943531273978,conv2,4640.0,742.7716601816762,4640,1.0,206922,6.246872691487841,19996248,78.55589309682665,0.7104677146761292,2342.95241351631,6171.028340240056,0.0019927776100180064,12.297487107216964
mnist,dp_kfm_a,pink,0.5,42,1,fc1,True,0.7100319801040785,0.7637139184871902,fc1,200832.00000000003,12454.428564657015,200832,1.0000000000000002,206922,16.125348421839117,19996248,195.71917432081202,0.4832169085074001,127357.59867257997,38305.9951968204,0.001,38.3059951968204
mnist,dp_kfm_a,pink,0.5,42,1,fc2,True,0.854649087127294,0.5625582573472794,fc2,1290.0,66.27920043676362,1290,1.0,206922,19.463119523156852,19996248,39.343719715674716,0.3974597248571852,804.5039581184024,1547.9282810655716,0.001,1.5479282810655717
mnist,dp_kfm_a,pink,0.5,42,2,conv1,True,0.861674992974544,0.7909976554819105,conv1,160.0,76.08455404398109,160,1.0,206922,2.102923543555386,19996248,5.158041728154712,0.5423991481791397,134.83036273555675,26.605394469385256,0.04394917128192075,1.1692850385580797
mnist,dp_kfm_a,pink,0.5,42,2,conv2,True,0.9181089232991839,0.8280100326431378,conv2,4640.0,964.5963070502933,4640,1.0,206922,4.810302471703403,19996248,97.24388704777822,0.7960203114815725,1910.4634516143756,9456.373568161049,0.0028665602938758167,27.107264994547243
mnist,dp_kfm_a,pink,0.5,42,2,fc1,True,0.6079209040862702,0.9176076747599544,fc1,200831.99999999997,49119.5153406149,200832,0.9999999999999999,206922,4.088639690504851,19996248,1424.7841772679753,0.9566381764008464,43454.17857337968,2030009.9517931812,0.001,2030.0099517931812
mnist,dp_kfm_a,pink,0.5,42,2,fc2,True,0.9303336115242498,0.7809981394282809,fc2,1290.0,1462.5341691425974,1290,1.0,206922,0.882030674713231,19996248,2105.767088593084,1.5770470973575212,180.06492648804976,4434255.0314017935,0.001,4434.2550314017935
mnist,dp_kfm_a,pink,0.5,42,3,conv1,True,0.8611448779803761,0.7913566638596873,conv1,160.0,76.13872773391395,160,1.0,206922,2.1014272862446624,19996248,5.14131172225426,0.5412090418374815,134.93127225699195,26.43308622538906,0.04414639619698689,1.1669254972151422
mnist,dp_kfm_a,pink,0.5,42,3,conv2,True,0.916024354091885,0.8343394332144484,conv2,4640.0,971.5056132055788,4640,1.0,206922,4.776091807323543,19996248,92.58271590344307,0.7890585177053027,1972.9296326895526,8571.55928405765,0.002996288901100058,25.682867947943098
mnist,dp_kfm_a,pink,0.5,42,3,fc1,True,0.6033768967759837,0.9205197833792846,fc1,200832.0,52520.412971613325,200832,1.0,206922,3.8238846314583887,19996248,1412.139258100766,0.9810732963296586,48464.64639903158,1994137.2842693818,0.001,1994.1372842693818
mnist,dp_kfm_a,pink,0.5,42,3,fc2,True,0.8651407331359982,0.8298010550160179,fc2,1290.0,3061.602479162015,1290,1.0,206922,0.4213479734158967,19996248,3991.650189617711,1.816651298039686,203.71906283229592,15933271.236275109,0.001,15933.271236275108
mnist,dp_kfm_a,pink,0.5,42,4,conv1,True,0.8614926739551457,0.7910968550528737,conv1,160.0,76.13904257130366,160,1.0,206922,2.1014185967752503,19996248,5.149947875150906,0.5418484288485821,134.88953120860657,26.52196311677133,0.0440558284960565,1.1684470584512139
mnist,dp_kfm_a,pink,0.5,42,4,conv2,True,0.8964100277288978,0.8368536688819038,conv2,4640.0,910.1404956379484,4640,1.0,206922,5.098113996946885,19996248,89.72922473496692,0.7711450254630999,2097.9768883160086,8051.3337715382,0.0024886020009015014,20.036565333775798
mnist,dp_kfm_a,pink,0.5,42,4,fc1,True,0.5711852138076646,0.9324544950984772,fc1,200831.99999999997,41224.37969283676,200832,0.9999999999999999,206922,4.871680338100927,19996248,822.8317123020906,0.9472025320150296,65994.58445964039,677052.0267699905,0.001,677.0520267699904
mnist,dp_kfm_a,pink,0.5,42,4,fc2,True,0.8816767544649735,0.8238884111122156,fc2,1290.0,2332.1552954750878,1290,1.0,206922,0.5531364066976558,19996248,2850.7808224610053,1.735151230104196,231.4845109326291,8126951.297711446,0.001,8126.951297711446
