label,epoch,family,transformed_norm,dp_adamw_norm,ratio
DP-AdamW,1,attention_qkv,55.92913900724966,55.92913900724966,1.0
DP-AdamW,2,attention_qkv,53.090192821246845,53.090192821246845,1.0
DP-AdamW,3,attention_qkv,56.40424967383317,56.40424967383317,1.0
DP-AdamW,4,attention_qkv,59.55905342723544,59.55905342723544,1.0
DP-AdamW,5,attention_qkv,61.3593461109866,61.3593461109866,1.0
DP-AdamW,1,attention_out,53.892794950968,53.892794950968,1.0
DP-AdamW,2,attention_out,51.64593694134703,51.64593694134703,1.0
DP-AdamW,3,attention_out,55.07188216788726,55.07188216788726,1.0
DP-AdamW,4,attention_out,58.197542534436224,58.197542534436224,1.0
DP-AdamW,5,attention_out,60.016050129891354,60.016050129891354,1.0
DP-AdamW,1,mlp_fc1,68.475465152962,68.475465152962,1.0
DP-AdamW,2,mlp_fc1,64.16321367499629,64.16321367499629,1.0
DP-AdamW,3,mlp_fc1,67.98391316989307,67.98391316989307,1.0
DP-AdamW,4,mlp_fc1,71.58364672342111,71.58364672342111,1.0
DP-AdamW,5,mlp_fc1,73.55463066601662,73.55463066601662,1.0
DP-AdamW,1,mlp_fc2,67.95358019851142,67.95358019851142,1.0
DP-AdamW,2,mlp_fc2,64.10576142776974,64.10576142776974,1.0
DP-AdamW,3,mlp_fc2,68.13146156805054,68.13146156805054,1.0
DP-AdamW,4,mlp_fc2,71.75545916627048,71.75545916627048,1.0
DP-AdamW,5,mlp_fc2,73.7662133637498,73.7662133637498,1.0
DP-AdamW,1,patch_head,51.7517962773036,51.7517962773036,1.0
DP-AdamW,2,patch_head,43.25151395823022,43.25151395823022,1.0
DP-AdamW,3,patch_head,44.413827646488286,44.413827646488286,1.0
DP-AdamW,4,patch_head,46.111675965703014,46.111675965703014,1.0
DP-AdamW,5,patch_head,47.77370002132541,47.77370002132541,1.0
Pink alpha=.25,1,attention_qkv,43.71819621796952,55.92913900724966,0.78167118239211
Pink alpha=.25,2,attention_qkv,41.33362678772101,53.090192821246845,0.7785548439594134
Pink alpha=.25,3,attention_qkv,43.69299366851952,56.40424967383317,0.7746401010771604
Pink alpha=.25,4,attention_qkv,45.96464362586113,59.55905342723544,0.7717490621642789
Pink alpha=.25,5,attention_qkv,47.24341353682451,61.3593461109866,0.7699464960296475
Pink alpha=.25,1,attention_out,47.44960151691824,53.892794950968,0.8804442515940801
Pink alpha=.25,2,attention_out,44.91332197227674,51.64593694134703,0.8696390196828775
Pink alpha=.25,3,attention_out,47.45800875979511,55.07188216788726,0.861746628072722
Pink alpha=.25,4,attention_out,49.87905014952806,58.197542534436224,0.8570645422014855
Pink alpha=.25,5,attention_out,51.275015192046546,60.016050129891354,0.8543550447100936
Pink alpha=.25,1,mlp_fc1,53.35005270479381,68.475465152962,0.7791119430239618
Pink alpha=.25,2,mlp_fc1,49.814539096904724,64.16321367499629,0.7763722582417488
Pink alpha=.25,3,mlp_fc1,52.5240024117234,67.98391316989307,0.7725945736672283
Pink alpha=.25,4,mlp_fc1,55.10239775800863,71.58364672342111,0.7697623728350785
Pink alpha=.25,5,mlp_fc1,56.482213337403465,73.55463066601662,0.7678947311130898
Pink alpha=.25,1,mlp_fc2,57.093089674551585,67.95358019851142,0.840177802372836
Pink alpha=.25,2,mlp_fc2,53.52512859647966,64.10576142776974,0.8349503602229005
Pink alpha=.25,3,mlp_fc2,56.538359280948484,68.13146156805054,0.8298421607244881
Pink alpha=.25,4,mlp_fc2,59.284111121910136,71.75545916627048,0.8261965265184638
Pink alpha=.25,5,mlp_fc2,60.77453609400518,73.7662133637498,0.8238803826667753
Pink alpha=.25,1,patch_head,40.65029298058513,51.7517962773036,0.7854856431024565
Pink alpha=.25,2,patch_head,33.35703183329911,43.25151395823022,0.7712338547388973
Pink alpha=.25,3,patch_head,33.971461264184725,44.413827646488286,0.7648847907138393
Pink alpha=.25,4,patch_head,35.10364607298026,46.111675965703014,0.7612745652335362
Pink alpha=.25,5,patch_head,36.29411609735042,47.77370002132541,0.7597091303614606
Oracle alpha=.25,1,attention_qkv,42.68083307034683,55.92913900724966,0.7631233705352489
Oracle alpha=.25,2,attention_qkv,40.109345166990366,53.090192821246845,0.7554944338220315
Oracle alpha=.25,3,attention_qkv,42.284809376517806,56.40424967383317,0.7496741756345782
