method,seed,epoch,layer,mean,median,p90,p99
M3_a_ghost_p025,42,1,conv1,0.0008690809481777251,0.0006091964314691722,0.00167342450004071,0.005007320549339056
M3_a_ghost_p025,42,1,conv2,0.010532205924391747,0.00847046822309494,0.019595276564359665,0.03387684375047684
M3_a_ghost_p025,42,1,fc1,0.5350499153137207,0.5296562314033508,0.6145568490028381,0.8050249814987183
M3_a_ghost_p025,42,1,fc2,0.4535488486289978,0.4593951404094696,0.5431133508682251,0.6035901308059692
M3_a_ghost_p025,42,2,conv1,0.01005861908197403,0.009304440580308437,0.015863751992583275,0.02594638057053089
M3_a_ghost_p025,42,2,conv2,0.07686174660921097,0.07496526837348938,0.10036627948284149,0.1251094490289688
M3_a_ghost_p025,42,2,fc1,0.6313459873199463,0.6319044828414917,0.6914557218551636,0.7293168902397156
M3_a_ghost_p025,42,2,fc2,0.2817336916923523,0.2799821197986603,0.3507220149040222,0.4170183539390564
M3_a_ghost_p025,42,3,conv1,0.012216303497552872,0.011272910982370377,0.019564788788557053,0.027925174683332443
M3_a_ghost_p025,42,3,conv2,0.10071806609630585,0.09854494035243988,0.1294056624174118,0.16165798902511597
M3_a_ghost_p025,42,3,fc1,0.6055504083633423,0.6140860319137573,0.6661577224731445,0.7008718848228455
M3_a_ghost_p025,42,3,fc2,0.2815152108669281,0.26978129148483276,0.37339743971824646,0.46587955951690674
M3_a_ghost_p025,42,4,conv1,0.016296591609716415,0.01462564617395401,0.026485536247491837,0.03837788105010986
M3_a_ghost_p025,42,4,conv2,0.1237454041838646,0.121395543217659,0.1557975560426712,0.1845116913318634
M3_a_ghost_p025,42,4,fc1,0.5930995941162109,0.5973199009895325,0.6439450979232788,0.677716851234436
M3_a_ghost_p025,42,4,fc2,0.26685839891433716,0.25830405950546265,0.34025365114212036,0.4200323820114136
M3_a_ghost_p025,42,5,conv1,0.01880401186645031,0.015981029719114304,0.032294176518917084,0.04779455438256264
M3_a_ghost_p025,42,5,conv2,0.1241394430398941,0.12303712964057922,0.1539606750011444,0.18098187446594238
M3_a_ghost_p025,42,5,fc1,0.5755510926246643,0.5796025991439819,0.6402601003646851,0.6787592172622681
M3_a_ghost_p025,42,5,fc2,0.28150543570518494,0.2745446562767029,0.36814045906066895,0.46268710494041443
