method,source,seed,smoke,final_accuracy,best_accuracy,accuracy_auc,builder_seconds,private_train_seconds,peak_allocated_cuda_bytes,clip_fraction,transformed_norm_mean,transformed_norm_p90,transformed_norm_p99
a_public_fashion,fashion,42,False,0.9618,0.9618,3.80075,2.940946248359978,40.980027130804956,176244736,0.26356838941574096,34.46231479644776,75.7887451171875,471.41155395507815
full_public_fashion,fashion,42,False,0.9486,0.9506,3.753,2.9475434636697173,42.46585807017982,176211456,0.32766427397727965,646.7129180908203,1619.7454933166505,7793.067333984375
a_public_cifar10,cifar10,42,False,0.9637,0.9637,3.7902500000000003,5.964816671796143,42.2253201007843,176244736,0.27668938636779783,51.11764144897461,122.66438097953797,647.5053588867188
full_public_cifar10,cifar10,42,False,0.9461,0.9461,3.72415,6.084664734080434,44.96438619308174,176211456,0.3495626449584961,1103.0879638671875,3113.973075866699,11778.01572265625
a_pink,pink,42,False,0.961,0.961,3.78255,1.5279943868517876,47.9043063307181,176244736,0.2728632569313049,54.44901809692383,135.16300115585327,693.3170532226562
full_pink,pink,42,False,0.9496,0.951,3.74415,1.3398110028356314,42.98405143432319,176211456,0.3221988707780838,976.5379058837891,2650.454574584961,11418.15107421875
dp_sgd,none,42,False,0.9227,0.9262,3.6426499999999997,0.00013900641351938248,45.09000573307276,117459968,0.32070314288139345,27.68829803466797,102.35015716552735,324.36810302734375
a_public_fashion,fashion,7,False,0.9645,0.9645,3.82565,3.6680719945579767,49.99831585306674,176244736,0.23781051486730576,27.04253406524658,45.321348094940184,439.33355712890625
full_public_fashion,fashion,7,False,0.9537,0.9543,3.7852999999999994,3.3329341234639287,45.703395780175924,176211456,0.29727899134159086,495.4270751953125,1026.0117776870727,6945.764013671875
a_public_cifar10,cifar10,7,False,0.9662,0.9662,3.8251,5.997278328053653,44.13375102169812,176244736,0.24158988744020463,36.75222396850586,66.96345014572144,567.2140930175781
full_public_cifar10,cifar10,7,False,0.9525,0.9525,3.77165,6.320637322962284,45.687740648165345,176211456,0.3069177448749542,756.1782989501953,1668.7114868164062,10000.2236328125
a_pink,pink,7,False,0.9638,0.9638,3.8028000000000004,1.402457568794489,44.108089352957904,176244736,0.25019032061100005,50.54237251281738,113.29815754890441,715.9575073242188
full_pink,pink,7,False,0.9502,0.9502,3.75945,1.5603699497878551,44.14526427630335,176211456,0.2990084201097488,989.6203918457031,2624.856497955322,12588.41044921875
dp_sgd,none,7,False,0.9311,0.9311,3.6653499999999997,0.00015385542064905167,46.77810547873378,117459968,0.30226697623729704,25.74413185119629,86.30944061279297,316.77117614746095
a_public_fashion,fashion,123,False,0.9603,0.9603,3.8095,3.0478049414232373,45.399101516231894,176244736,0.25103500485420227,30.56275863647461,59.69404330253601,457.1276000976562
full_public_fashion,fashion,123,False,0.9487,0.9487,3.7577,3.142323919571936,43.667462901212275,176211456,0.3177951544523239,573.6180053710938,1331.4669616699218,7301.836279296875
a_public_cifar10,cifar10,123,False,0.962,0.962,3.8111999999999995,6.121450201608241,43.683637854643166,176244736,0.2504106670618057,38.970716094970705,75.16317863464356,585.5850036621093
full_public_cifar10,cifar10,123,False,0.9504,0.9504,3.7641,5.710361571982503,44.11577978357673,176211456,0.3092080861330032,791.7903930664063,1844.780876159668,10002.0755859375
a_pink,pink,123,False,0.9614,0.9614,3.7944500000000003,1.3030300056561828,44.94904921203852,176244736,0.25718818306922914,51.28416213989258,113.0981798171997,724.0872680664063
full_pink,pink,123,False,0.95,0.95,3.7493,1.3171106278896332,42.741862665861845,176211456,0.30380610525608065,933.3508850097656,2438.5112228393555,11899.6236328125
dp_sgd,none,123,False,0.9312,0.9312,3.66215,0.0001438874751329422,44.7661165073514,117459968,0.30380610525608065,26.029817581176758,86.75288619995118,321.5788055419922
