,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
full_public_cifar10,cifar10,1,conv2,0.8461511074977798,0.08393281045652785,1.143140961686103,0.09407344050539822,0.876755628270328,0.025610173787280425,0.4844012826263302,0.05373008784220601,0.740751372498404,0.05903180386821654
full_public_cifar10,cifar10,1,fc1,0.5682770858005348,0.029132362913018347,0.9127461013137156,0.08827036154075416,0.7490264591581838,0.0554544923578749,0.7082503346310514,0.09264534145331221,0.4248035225594417,0.01918443764908044
full_public_cifar10,cifar10,1,fc2,0.7696180425731974,0.09855374710512968,0.6869917048939808,0.09535190406526926,0.9946015450745401,0.0013499641732081904,0.10330466455171433,0.01262126092710246,0.7655515211091268,0.09898072130167682
full_public_cifar10,cifar10,2,conv1,0.928483987304474,0.0003105049977333916,1.5942221047471608,0.01178537725189397,0.9386742938873572,0.030600352046581,4.067903135138496,1.9921243535413797,0.8715475385847755,0.02857084144056691
full_public_cifar10,cifar10,2,conv2,0.8283737354307497,0.06898338831898851,0.9328693002893651,0.14652560066530423,0.9601126809550289,0.00457800872139585,4.700312483545278,0.7110269159215891,0.7951301473969486,0.0627460528291608
full_public_cifar10,cifar10,2,fc1,0.4457004161613889,0.032710954506977384,0.9102019855324482,0.017900267192573573,0.8581419306887521,0.019367974749528546,5.263826931959788,1.0342762780844204,0.3820902918065127,0.02039402548383442
full_public_cifar10,cifar10,2,fc2,0.805529443814879,0.0659574374500148,0.9356295888131685,0.028871476498944903,0.9018991762288135,0.0015498005143413794,5.671671964826298,1.1672129560814302,0.7264391702095502,0.058231826824123215
full_public_cifar10,cifar10,3,conv1,0.9284408870336582,0.00016458690451347832,1.582612693566528,0.01896193465331052,0.9262908631382362,0.033172286748969805,7.372871201765818,3.3394077092832886,0.8600026732522394,0.030648142006870296
full_public_cifar10,cifar10,3,conv2,0.8068654863244689,0.04488371594357669,0.8503849391901995,0.10869714385513458,0.9465533248952509,0.007898934402937562,7.877815387993969,1.5829969944190783,0.7635157867169865,0.036573845937517814
full_public_cifar10,cifar10,3,fc1,0.46715778408207154,0.019489196927270597,0.904726798668384,0.016300916392057142,0.8098079994966568,0.04181567032165112,8.40435880657298,1.834243368528622,0.37777094453772864,0.0050406129331054105
