method,source,seed,epoch,layer,diagnostic_scope,cosA,relative_frobenius_A,cosG,relative_frobenius_G,fisher_cosine_proxy
full_public_fashion,fashion,42,4,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7508553938577425,0.6662511204623112,0.7204189704691654,12.999041980886856,0.5409304698142146
full_public_fashion,fashion,42,4,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9076459551251056,0.5300346811385319,0.7580709727547729,14.843140497452932,0.6880600521186236
full_public_fashion,fashion,42,5,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9663790212973998,0.9715354833250512,0.9442684737650668,12.75428988225062,0.9125212435190748
full_public_fashion,fashion,42,5,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.94975709541876,0.6261691132675969,0.974225112425433,12.88426021321212,0.9252772130611944
full_public_fashion,fashion,42,5,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.72599733769951,0.6886425882629841,0.7567787056725925,15.287807843344298,0.5494193255459833
full_public_fashion,fashion,42,5,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8800286189576635,0.5716988263375309,0.8094351218331263,17.42097641234263,0.7123260724026342
a_public_cifar10,cifar10,42,1,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9283954728536647,1.585592774119102,,,
a_public_cifar10,cifar10,42,1,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8515688850495962,1.2122655972161744,,,
a_public_cifar10,cifar10,42,1,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.5932184622281779,0.8599633755855077,,,
a_public_cifar10,cifar10,42,1,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8311050601009733,0.5892289931192015,,,
a_public_cifar10,cifar10,42,2,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9288423396502308,1.603004990462778,,,
a_public_cifar10,cifar10,42,2,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.878661329381438,1.120897335252668,,,
a_public_cifar10,cifar10,42,2,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4172829429174057,0.909163038606667,,,
a_public_cifar10,cifar10,42,2,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7845995344409652,0.8818630049104501,,,
a_public_cifar10,cifar10,42,3,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9286239607093416,1.6043156190499184,,,
a_public_cifar10,cifar10,42,3,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8684555852826492,1.0350011569808293,,,
a_public_cifar10,cifar10,42,3,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.450228915638414,0.8935093097521304,,,
a_public_cifar10,cifar10,42,3,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7708512363488289,0.8578546397610783,,,
a_public_cifar10,cifar10,42,4,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9281783573607542,1.589654414121842,,,
a_public_cifar10,cifar10,42,4,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8733975450586173,0.9830976043988606,,,
a_public_cifar10,cifar10,42,4,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4565820358133181,0.8901858952831955,,,
a_public_cifar10,cifar10,42,4,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7357394889836072,0.8614408608233798,,,
a_public_cifar10,cifar10,42,5,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9287583429876286,1.6092415325213698,,,
a_public_cifar10,cifar10,42,5,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8703525519408775,0.949889657124422,,,
a_public_cifar10,cifar10,42,5,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.475250620413495,0.8827033431466361,,,
a_public_cifar10,cifar10,42,5,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.7378294080584712,0.8388727534371722,,,
full_public_cifar10,cifar10,42,1,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9283954728536647,1.585592774119102,0.6722964465476315,0.7517141453856948,0.624156977390427
full_public_cifar10,cifar10,42,1,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8515688850495962,1.2122655972161744,0.8569556395370589,0.530572397557681,0.7297567584975369
full_public_cifar10,cifar10,42,1,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.5932184622281779,0.8599633755855077,0.7378434974805534,0.7290041849379448,0.4377023849404743
full_public_cifar10,cifar10,42,1,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8311050601009733,0.5892289931192015,0.995574058985836,0.0939809310760597,0.8274266381283931
full_public_cifar10,cifar10,42,2,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9288423396502308,1.603004990462778,0.9571625618641004,5.258324326651241,0.8890531133874598
full_public_cifar10,cifar10,42,2,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8450781886508489,1.021815422024545,0.9575905656690422,4.187763306364993,0.809238900704736
full_public_cifar10,cifar10,42,2,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4180458721048148,0.9182334060083672,0.8793752536091595,4.207564463054319,0.3676191948024337
full_public_cifar10,cifar10,42,2,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8777635267176297,0.9106815654566892,0.9003218312972422,4.391663965283784,0.7902696658203422
full_public_cifar10,cifar10,42,3,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9286239607093416,1.6043156190499184,0.8897941813954481,8.958529578612044,0.8262841969435673
full_public_cifar10,cifar10,42,3,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8129748841434725,0.8822685840664385,0.9428049936345314,7.569732494428694,0.7664767804699205
full_public_cifar10,cifar10,42,3,fc1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.4597121069103551,0.9101532353511916,0.832431898598529,7.670508193639274,0.3826790219641168
full_public_cifar10,cifar10,42,3,fc2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8584285776646572,0.8923426045584179,0.8750288571029231,8.735997292469094,0.7511497772183928
full_public_cifar10,cifar10,42,4,conv1,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.9281783573607542,1.589654414121842,0.8340111542022802,8.193080231090804,0.7741111031280191
full_public_cifar10,cifar10,42,4,conv2,research-only: unnoised oracle/clipping/norm diagnostics; not a DP release,0.8049350806050096,0.8305375676868467,0.9344215079905536,8.690020279118395,0.7521486518534309
