p,seed,epoch,layer,mean,median,p90,p99
0.0,2024,1,conv1,0.002455789363011718,0.0014890325255692005,0.0051607396453619,0.016857342794537544
0.0,2024,1,conv2,0.018239103257656097,0.01360747218132019,0.03400072082877159,0.06921360641717911
0.0,2024,1,fc1,0.6626712083816528,0.6505707502365112,0.7429423928260803,0.8232192993164062
0.0,2024,1,fc2,0.316633939743042,0.33476048707962036,0.38238823413848877,0.4180828928947449
0.0,2024,2,conv1,0.0014883058611303568,0.001260791439563036,0.0026667416095733643,0.004473268985748291
0.0,2024,2,conv2,0.020825371146202087,0.01902938261628151,0.031313247978687286,0.043187402188777924
0.0,2024,2,fc1,0.6281388401985168,0.6279531717300415,0.6727851629257202,0.7082738280296326
0.0,2024,2,fc2,0.3495475649833679,0.35087284445762634,0.39614829421043396,0.4301178455352783
0.0,2024,3,conv1,0.0016122170491144061,0.0014262775657698512,0.0026556772645562887,0.004243243485689163
0.0,2024,3,conv2,0.029151037335395813,0.02821825072169304,0.039322394877672195,0.04971517249941826
0.0,2024,3,fc1,0.6277761459350586,0.6310288906097412,0.6643716096878052,0.6922001838684082
0.0,2024,3,fc2,0.341460645198822,0.3392956256866455,0.3854984641075134,0.4185428321361542
0.0,2024,4,conv1,0.0017853501485660672,0.0016341228038072586,0.002761721145361662,0.0043037282302975655
0.0,2024,4,conv2,0.03424224629998207,0.03426481410861015,0.044695522636175156,0.05364656820893288
0.0,2024,4,fc1,0.600473165512085,0.6013422012329102,0.6439351439476013,0.6714881658554077
0.0,2024,4,fc2,0.363499253988266,0.3626159429550171,0.4085965156555176,0.4422510266304016
0.0,2024,5,conv1,0.0022610798478126526,0.0021266648545861244,0.003383432747796178,0.004915189929306507
0.0,2024,5,conv2,0.04372578114271164,0.043550826609134674,0.056979041546583176,0.06753114610910416
0.0,2024,5,fc1,0.576845645904541,0.5759726762771606,0.6145269870758057,0.6417251825332642
0.0,2024,5,fc2,0.3771674335002899,0.37700575590133667,0.4181215465068817,0.4527336657047272
