method,tau,preconditioner_batches,synthetic_samples,seed,epoch,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,gain_p10,gain_median,gain_p90,gain_max,mean_final_accuracy,std_final_accuracy
DP-SGD,1.0,10,2560,42,1,0.201171875,2.277395248413086,2.300249695777893,0.994256644037829,1.0,0.2035050392150879,1.9618310034275055e-05,0.6476006032899022,0.6476202215999365,1.0,1.0,1.0,1.0,0.201171875,
Layerwise Equil,1.0,10,2560,42,1,0.22265625,2.277655839920044,2.3002891540527344,0.994256644037829,1.0,0.2911004424095154,0.22893963567912579,0.10905206389725208,0.33799169957637787,0.5338885188102722,1.1096487045288086,1.5692898035049438,1.5692898035049438,0.22265625,
Full-Fisher Equil,1.0,10,2560,42,1,0.228515625,2.278065800666809,2.3002060651779175,0.994256644037829,1.0,0.3003220409154892,0.09033130295574665,0.10205759759992361,0.19238890055567026,0.5341314077377319,1.1119654178619385,1.5725711584091187,1.5725711584091187,0.228515625,
