method,tau,preconditioner_batches,synthetic_samples,seed,epoch,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,gain_p10,gain_median,gain_p90,gain_max
DP-SGD,1.0,10,2560,42,1,0.8708,0.6088274510383606,0.7787141980489095,0.7863366347932901,0.5893166666666667,0.4915492666562398,1.0814517736434937e-05,9.887835858389735,9.887846672907472,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,42,2,0.8998,0.551558537530899,0.5731533090591431,0.8389556633778256,0.31256666666666666,0.7332975453694661,1.4872290194034576e-05,9.48228455055505,9.482299422845244,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,42,3,0.8981,0.5927471982955933,0.549924468421936,0.891574691962361,0.2589666666666667,0.7781000161488851,1.4489516615867615e-05,9.476111442781985,9.4761259322986,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,42,4,0.9216,0.5000730271697045,0.5284800316174825,0.9441937205468965,0.22735,0.8035185554504395,1.4074146747589111e-05,10.388226904906332,10.38824097905308,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,42,5,0.9262,0.5122255030810833,0.5118171419779459,0.9968127491314319,0.20265,0.8250773167928059,2.117455005645752e-05,12.054550098255277,12.054571272805333,1.0,1.0,1.0,1.0
Layerwise Equil,1.0,10,2560,42,1,0.8689,0.6292126953125,0.7605073109944661,0.7863366347932901,0.5907,0.49234848690032956,0.2125851158052683,12.15095157083124,12.363536686636508,0.5338885188102722,1.1096487045288086,1.5692898035049438,1.5692898035049438
Layerwise Equil,1.0,10,2560,42,2,0.9103,0.48438758679628374,0.519297001584371,0.8389556633778256,0.2849,0.7609358027140299,0.08216673228889704,12.198102517984807,12.280269250273705,0.6410624980926514,1.0439884662628174,1.4577902555465698,1.4764236211776733
Layerwise Equil,1.0,10,2560,42,3,0.911,0.4846256239056587,0.476775879351298,0.891574691962361,0.2325,0.8038916052500407,0.08357473276555538,12.180307312868536,12.263882045634091,0.6612438559532166,1.036623477935791,1.4294227361679077,1.4660086631774902
Layerwise Equil,1.0,10,2560,42,4,0.9321,0.39114400502741337,0.43737922593752543,0.9441937205468965,0.19853333333333334,0.8302963530222575,0.08226005733013153,12.123317548073828,12.20557760540396,0.6640051603317261,1.033745527267456,1.4293001890182495,1.4619371891021729
Layerwise Equil,1.0,10,2560,42,5,0.934,0.43061906760670243,0.42485851465861,0.9968127491314319,0.18086666666666668,0.8452183236440023,0.08106925245374441,12.238902202807367,12.319971455261111,0.6631974577903748,1.041689157485962,1.4178560972213745,1.473177194595337
Full-Fisher Equil,1.0,10,2560,42,1,0.8749,0.5661346445083618,0.7710023376146953,0.7863366347932901,0.6191333333333333,0.47145248905817666,0.09095215518027544,12.107302006334066,12.198254161514342,0.5341314077377319,1.1119654178619385,1.5725711584091187,1.5725711584091187
Full-Fisher Equil,1.0,10,2560,42,2,0.9114,0.45353713837862014,0.49743926741282146,0.8389556633778256,0.29825,0.7525629704793294,0.08821285329759121,12.07564056571573,12.163853419013321,0.6873205304145813,1.0273988246917725,1.4279731512069702,1.4529637098312378
Full-Fisher Equil,1.0,10,2560,42,3,0.9138,0.45223627204895017,0.4567561449686686,0.891574691962361,0.24156666666666668,0.7982370274861653,0.08596672397106886,12.14694253820926,12.232909262180328,0.7047518491744995,1.0206120014190674,1.397060751914978,1.4433634281158447
Full-Fisher Equil,1.0,10,2560,42,4,0.9322,0.37228635139018296,0.41822825287183124,0.9441937205468965,0.20575,0.8264882631937662,0.08772948291152716,12.097202837467194,12.18493232037872,0.692232608795166,1.0224685668945312,1.406556248664856,1.4459902048110962
Full-Fisher Equil,1.0,10,2560,42,5,0.9338,0.40360649056062103,0.39847889629999794,0.9968127491314319,0.18543333333333334,0.8427109954833985,0.08472707867622375,12.101180357858539,12.185907436534762,0.6955714821815491,1.0252621173858643,1.3887666463851929,1.4499478340148926
DP-SGD,1.0,10,2560,7,1,0.8852,0.5348149461746216,0.7309519039154053,0.7863366347932901,0.569,0.5095228743871053,1.2939795851707458e-05,12.150300144217908,12.15031308401376,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,7,2,0.8637,0.731948697090149,0.5288871444066365,0.8389556633778256,0.29696666666666666,0.7480616238911947,1.3659708201885223e-05,12.031178520061076,12.031192179769278,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,7,3,0.9157,0.5193035879641771,0.5139980670293173,0.891574691962361,0.24425,0.7897895671844483,1.634843647480011e-05,12.061403403058648,12.061419751495123,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,7,4,0.9272,0.45236590305268765,0.49333013814290366,0.9441937205468965,0.20758333333333334,0.8203429018656413,1.4766119420528412e-05,12.061356545425951,12.061371311545372,1.0,1.0,1.0,1.0
DP-SGD,1.0,10,2560,7,5,0.9234,0.46890778523683546,0.4580074993133545,0.9968127491314319,0.19398333333333334,0.8327834424336751,1.2968666851520538e-05,12.119006560184062,12.119019528850913,1.0,1.0,1.0,1.0
Layerwise Equil,1.0,10,2560,7,1,0.8797,0.5687971706867218,0.7257606159210205,0.7863366347932901,0.5638666666666666,0.5117071183363596,0.08089266065508127,12.098909761756659,12.17980242241174,0.49771443009376526,1.1396915912628174,1.611775279045105,1.611775279045105
Layerwise Equil,1.0,10,2560,7,2,0.8708,0.6490027473449707,0.4922994915008545,0.8389556633778256,0.26435,0.7780358750661214,0.07962836232036352,12.104735800996423,12.184364163316786,0.5956082344055176,1.0772480964660645,1.4856065511703491,1.523459792137146
Layerwise Equil,1.0,10,2560,7,3,0.9213,0.4736081401616335,0.4531447165489197,0.891574691962361,0.2184,0.8152017894744873,0.07972720358520746,12.131898487918079,12.211625691503286,0.6259872913360596,1.0619347095489502,1.4630292654037476,1.5018033981323242
Layerwise Equil,1.0,10,2560,7,4,0.9286,0.4139293525571935,0.4353955914815267,0.9441937205468965,0.1882,0.8397734077453614,0.08038624376058578,12.179939043708146,12.260325287468731,0.6091563105583191,1.0642948150634766,1.4774274826049805,1.5051525831222534
Layerwise Equil,1.0,10,2560,7,5,0.9321,0.40742949541211126,0.4076123630841573,0.9968127491314319,0.17421666666666666,0.8506457936604818,0.08168462757021189,12.127871670760214,12.209556298330426,0.6560761332511902,1.0436887741088867,1.4319508075714111,1.4760031700134277
Full-Fisher Equil,1.0,10,2560,7,1,0.8861,0.517078322505951,0.7168423830032349,0.7863366347932901,0.5873166666666667,0.49620967267354327,0.08866534009575844,12.130342275835574,12.219007615931332,0.5086755156517029,1.1308777332305908,1.599329948425293,1.599329948425293
Full-Fisher Equil,1.0,10,2560,7,2,0.8763,0.5975558780670166,0.46192601998647054,0.8389556633778256,0.26761666666666667,0.7775395965576172,0.08770991582423449,12.157916595228016,12.24562651105225,0.622098982334137,1.0670177936553955,1.4610638618469238,1.5089929103851318
Full-Fisher Equil,1.0,10,2560,7,3,0.9228,0.4322436477005482,0.4304740526199341,0.891574691962361,0.22321666666666667,0.8130279843648275,0.0861852802336216,12.123578894883394,12.209764175117016,0.655045747756958,1.0461647510528564,1.4322335720062256,1.4795043468475342
Full-Fisher Equil,1.0,10,2560,7,4,0.9305,0.3857047014469281,0.4093564905802409,0.9441937205468965,0.1921,0.838111301167806,0.08895388897508383,12.153588542714715,12.242542431689799,0.6287065744400024,1.0532951354980469,1.4557210206985474,1.489586353302002
Full-Fisher Equil,1.0,10,2560,7,5,0.9332,0.3790225895777345,0.3830135879834493,0.9968127491314319,0.17655,0.8496571421305339,0.0855980385094881,12.065329694189131,12.15092773269862,0.6700857877731323,1.0386550426483154,1.4132357835769653,1.468880534172058
