method,tau,preconditioner_batches,synthetic_samples,seed,epoch,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,gain_p10,gain_median,gain_p90,gain_max,mean_final_accuracy,std_final_accuracy
DP-SGD,1.0,10,2560,42,5,0.9262,0.5122255030810833,0.5118171419779459,0.9968127491314319,0.20265,0.8250773167928059,2.117455005645752e-05,12.054550098255277,12.054571272805333,1.0,1.0,1.0,1.0,0.9248000000000001,0.0019798989873223895
Layerwise Equil,1.0,10,2560,42,5,0.934,0.43061906760670243,0.42485851465861,0.9968127491314319,0.18086666666666668,0.8452183236440023,0.08106925245374441,12.238902202807367,12.319971455261111,0.6631974577903748,1.041689157485962,1.4178560972213745,1.473177194595337,0.93305,0.0013435028842544493
Full-Fisher Equil,1.0,10,2560,42,5,0.9338,0.40360649056062103,0.39847889629999794,0.9968127491314319,0.18543333333333334,0.8427109954833985,0.08472707867622375,12.101180357858539,12.185907436534762,0.6955714821815491,1.0252621173858643,1.3887666463851929,1.4499478340148926,0.9335,0.00042426406871188177
DP-SGD,1.0,10,2560,7,5,0.9234,0.46890778523683546,0.4580074993133545,0.9968127491314319,0.19398333333333334,0.8327834424336751,1.2968666851520538e-05,12.119006560184062,12.119019528850913,1.0,1.0,1.0,1.0,0.9248000000000001,0.0019798989873223895
Layerwise Equil,1.0,10,2560,7,5,0.9321,0.40742949541211126,0.4076123630841573,0.9968127491314319,0.17421666666666666,0.8506457936604818,0.08168462757021189,12.127871670760214,12.209556298330426,0.6560761332511902,1.0436887741088867,1.4319508075714111,1.4760031700134277,0.93305,0.0013435028842544493
Full-Fisher Equil,1.0,10,2560,7,5,0.9332,0.3790225895777345,0.3830135879834493,0.9968127491314319,0.17655,0.8496571421305339,0.0855980385094881,12.065329694189131,12.15092773269862,0.6700857877731323,1.0386550426483154,1.4132357835769653,1.468880534172058,0.9335,0.00042426406871188177
