estimator,k,label_seed,layer,C_relative_error
KFAC-M-3,3,1,conv1,0.0022759733255952597
KFAC-M-3,3,1,conv2,0.00577158946543932
KFAC-M-3,3,1,fc1,0.04789465293288231
KFAC-M-3,3,1,fc2,0.04742278903722763
KFAC-M-3,3,0,conv1,0.0017618744168430567
KFAC-M-3,3,0,conv2,0.004361994098871946
KFAC-M-3,3,0,fc1,0.03258876875042915
KFAC-M-3,3,0,fc2,0.025519460439682007
KFAC-U-3,3,0,conv1,0.0022308635525405407
KFAC-U-3,3,0,conv2,0.005762898363173008
KFAC-U-3,3,0,fc1,0.05784153193235397
KFAC-U-3,3,0,fc2,0.05357930436730385
KFAC-U-9,9,2,conv1,0.001598950126208365
KFAC-U-9,9,2,conv2,0.003825998166576028
KFAC-U-9,9,2,fc1,0.040229614824056625
KFAC-U-9,9,2,fc2,0.03984910994768143
KFAC-U-3,3,1,conv1,0.002144693396985531
KFAC-U-3,3,1,conv2,0.0057377079501748085
KFAC-U-3,3,1,fc1,0.05432126298546791
KFAC-U-3,3,1,fc2,0.05351048335433006
KFAC-M-3,3,2,conv1,0.002398546552285552
KFAC-M-3,3,2,conv2,0.005231595132499933
KFAC-M-3,3,2,fc1,0.052051663398742676
KFAC-M-3,3,2,fc2,0.049138981848955154
KFAC-M-9,9,1,conv1,0.0014502184931188822
KFAC-M-9,9,1,conv2,0.003096286440268159
KFAC-M-9,9,1,fc1,0.02784026600420475
KFAC-M-9,9,1,fc2,0.02913629077374935
KFAC-U-3,3,2,conv1,0.001797829638235271
KFAC-U-3,3,2,conv2,0.005496110301464796
KFAC-U-3,3,2,fc1,0.052173636853694916
KFAC-U-3,3,2,fc2,0.04871265962719917
KFAC-M-1,1,2,conv1,0.00406232476234436
KFAC-M-1,1,2,conv2,0.009214632213115692
KFAC-M-1,1,2,fc1,0.08434177935123444
KFAC-M-1,1,2,fc2,0.08198974281549454
KFAC-M-9,9,0,conv1,0.001147611765190959
KFAC-M-9,9,0,conv2,0.0027913209050893784
KFAC-M-9,9,0,fc1,0.022528888657689095
KFAC-M-9,9,0,fc2,0.019349897280335426
KFAC-M-1,1,0,conv1,0.00348315155133605
KFAC-M-1,1,0,conv2,0.007703024428337812
KFAC-M-1,1,0,fc1,0.059710755944252014
KFAC-M-1,1,0,fc2,0.0532945916056633
KFAC-U-1,1,0,conv1,0.0033758243080228567
KFAC-U-1,1,0,conv2,0.008637876249849796
KFAC-U-1,1,0,fc1,0.07888887822628021
KFAC-U-1,1,0,fc2,0.07469167560338974
KFAC-M-1,1,1,conv1,0.004985348787158728
KFAC-M-1,1,1,conv2,0.009818201884627342
KFAC-M-1,1,1,fc1,0.07713557779788971
KFAC-M-1,1,1,fc2,0.07519518584012985
KFAC-U-1,1,1,conv1,0.0046935840509831905
KFAC-U-1,1,1,conv2,0.009392062202095985
KFAC-U-1,1,1,fc1,0.08041122555732727
KFAC-U-1,1,1,fc2,0.07897131145000458
KFAC-M-9,9,2,conv1,0.001148293842561543
KFAC-M-9,9,2,conv2,0.003017759881913662
KFAC-M-9,9,2,fc1,0.02771846018731594
KFAC-M-9,9,2,fc2,0.02599497325718403
KFAC-U-9,9,0,conv1,0.0017096282681450248
KFAC-U-9,9,0,conv2,0.004476909525692463
KFAC-U-9,9,0,fc1,0.04664427414536476
KFAC-U-9,9,0,fc2,0.04600941389799118
KFAC-U-9,9,1,conv1,0.0012858922127634287
KFAC-U-9,9,1,conv2,0.004196283407509327
KFAC-U-9,9,1,fc1,0.04580717906355858
KFAC-U-9,9,1,fc2,0.046361420303583145
KFAC-U-1,1,2,conv1,0.0033132436219602823
KFAC-U-1,1,2,conv2,0.009323159232735634
KFAC-U-1,1,2,fc1,0.08084411919116974
KFAC-U-1,1,2,fc2,0.07893837988376617
