estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,23040,90,10,2560,0.08202912658452988,0.08202912658452988,0.08184155728667974,0.08295420277863741,2,5,25405440,125004800,99599360,33554432,169869312,136314880,0
KFLR,9,-1,23040,90,10,2560,0.08198392763733864,0.08198392763733864,0.08184909075498581,0.08227210864424706,2,5,25405440,125004800,99599360,33554432,169869312,136314880,2560
KFAC-M-3,3,1,7680,30,10,2560,0.05293741822242737,0.05293741822242737,0.05288895592093468,0.053049433045089245,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-3,3,0,7680,30,10,2560,0.05305719934403896,0.05305719934403896,0.052971186116337776,0.0548114450648427,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,0,7680,30,10,2560,0.05452404450625181,0.05452404450625181,0.05296412389725447,0.05836869869381189,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,2,23040,90,10,2560,0.09387926012277603,0.09387926012277603,0.09363140165805817,0.09928427264094353,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-3,3,1,7680,30,10,2560,0.05341355316340923,0.05341355316340923,0.05323689617216587,0.055303119122982025,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-3,3,2,7680,30,10,2560,0.053323499858379364,0.053323499858379364,0.052907880395650864,0.05458102002739906,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-9,9,1,23040,90,10,2560,0.09273611474782228,0.09273611474782228,0.0925453407689929,0.09635015204548836,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,2,7680,30,10,2560,0.05361839942634106,0.05361839942634106,0.05343290138989687,0.055922502651810646,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-1,1,2,2560,10,10,2560,0.039645696990191936,0.039645696990191936,0.039230071008205414,0.04121000226587057,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-M-9,9,0,23040,90,10,2560,0.09273281414061785,0.09273281414061785,0.09240993577986956,0.0962334917858243,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-1,1,0,2560,10,10,2560,0.045174346305429935,0.045174346305429935,0.04217423126101494,0.04536580014973879,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,0,2560,10,10,2560,0.0407961905002594,0.0407961905002594,0.03947692550718784,0.04189141094684601,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-1,1,1,2560,10,10,2560,0.0395289808511734,0.0395289808511734,0.039342924021184444,0.05432878155261278,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,1,2560,10,10,2560,0.03969654440879822,0.03969654440879822,0.039665549993515015,0.03972803335636854,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-9,9,2,23040,90,10,2560,0.0928956139832735,0.0928956139832735,0.09280872531235218,0.09303735941648483,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-9,9,0,23040,90,10,2560,0.09423268865793943,0.09423268865793943,0.0940286498516798,0.1038436759263277,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,1,23040,90,10,2560,0.1564964959397912,0.1564964959397912,0.09622651245445013,0.15830517001450062,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFRA-block,0,-1,0,0,10,2560,0.04160632565617561,0.04160632565617561,0.04156327061355114,0.05032385140657425,2,5,25405440,120933888,95528448,33554432,178257920,144703488,2560
KFAC-U-1,1,2,2560,10,10,2560,0.040794409811496735,0.040794409811496735,0.04059987515211105,0.042473895475268364,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
