method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon,accountant_steps,noise_multiplier,clip_fraction,mean_clip_factor,mean_clipping_severity,mean_transformed_norm,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,samples,batches,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,synthetic_generation_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count,preconditioner_build_seconds,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,private_train_seconds,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,evaluation_seconds,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,m_raw,m_reference,scale_match
M0_original,42,1,2.3043770790100098,2.302663326263428,0.17578125,0.0,0,0.0,1.0,0.0010707955807447,0.99892920255661,946.8427124023438,947.4750366210938,1096.2060546875,1201.9781494140625,1243.202392578125,256,1,0.5037597753107548,0.5353150134906173,3421.6321511791366,0.0748180951923132,0.0180786456912755,0.011516572907567,0.0,0.0,0.0,0.0104379877448081,0.0586464498192071,0.1086517618969082,0.066147674806416,0.0088998991996049,0.1863542022183537,1,1,256,256,10069164,2517291,0.4289416801184416,9349120,23068672,160109568,251658240,150760448,211888128,0.0748180951923132,19419648,251658240,849933312,1287651328,830513664,0.029431658796966,849933312,1287651328,,,
M1_full_ghost,42,1,2.3043770790100098,2.302663326263428,0.17578125,0.0,0,0.0,1.0,0.0010707955807447,0.99892920255661,946.8427124023438,947.47509765625,1096.2060546875,1201.9781494140625,1243.2022705078125,256,1,0.7330932151526213,0.7784993769600987,2066.493148062332,0.1238813688978552,0.0,0.0,0.0476392870768904,0.0024567395448684,0.0010255984961986,0.0194437177851796,0.1121585667133331,0.1721234777942299,0.0998996505513787,0.0130940619856119,0.2114186054095626,1,1,256,256,10069164,2517291,0.609211846254766,9349120,23068672,160109568,251658240,150760448,0,0.1238813688978552,19419648,251658240,137976832,255852544,118557184,0.0419226363301277,160109568,255852544,,,
M2_a_ghost_p05,42,1,2.3043770790100098,2.2980971336364746,0.1875,0.0,0,0.0,1.0,0.0172343309968709,0.9827656149864196,58.83175659179688,59.33108139038086,67.53575134277344,72.31537628173828,74.71298217773438,256,1,0.4810228953137994,0.5165868075564504,2089.0271678273502,0.1225450793281197,0.0,0.0,0.0528106233105063,0.0019948333501815,0.0005899034440517,0.0103381443768739,0.0601749932393431,0.1102695884183049,0.0,0.009166469797492,0.1787028489634394,1,0,0,256,9998116,2499528,0.3584778159856796,9349120,23068672,160137728,236978176,150788608,0,0.1225450793281197,19348480,236978176,167007744,239075328,147659264,0.0334182465448975,167007744,239075328,34275.441083965314,34275.441083965314,1.0
M3_a_ghost_p025,42,1,2.3043770790100098,2.2946553230285645,0.21484375,0.0,0,0.0,1.0,0.0363040901720523,0.9636959433555604,27.910030364990234,28.13127899169922,32.05879211425781,34.24514389038086,34.896339416503906,256,1,0.4800227368250489,0.5146895423531532,2053.418871669711,0.1246701311320066,0.0,0.0,0.0533208958804607,0.0019875802099704,0.000588939525187,0.0103317387402057,0.0589005714282393,0.1091608554124832,0.0,0.0087455725297331,0.1783587802201509,1,0,0,256,9998116,2499528,0.3553526056930423,9349120,23068672,160137728,236978176,150788608,0,0.1246701311320066,19348480,236978176,167007744,239075328,147659264,0.0324785653501749,167007744,239075328,6213.642841692844,34275.441083965314,2.3486504361541645
