method,final_accuracy_mean,final_accuracy_sample_std,best_accuracy_mean,best_accuracy_sample_std,accuracy_auc_mean,accuracy_auc_sample_std,algorithm_seconds_mean,algorithm_seconds_sample_std,private_seconds_mean,private_seconds_sample_std,build_seconds_mean,build_seconds_sample_std,curvature_seconds_mean,curvature_seconds_sample_std,peak_allocated_bytes_mean,peak_allocated_bytes_sample_std,peak_reserved_bytes_mean,peak_reserved_bytes_sample_std,train_peak_bytes_mean,train_peak_bytes_sample_std,clip_fraction_mean,clip_fraction_sample_std,norm_p99_mean,norm_p99_sample_std
M0_original,0.17578125,,0.17578125,,0.0,,0.5037597753107548,,0.0748180951923132,,0.4289416801184416,,0.066147674806416,,849933312.0,,1287651328.0,,849933312.0,,1.0,,1201.9781494140625,
M1_full_ghost,0.17578125,,0.17578125,,0.0,,0.7330932151526213,,0.1238813688978552,,0.609211846254766,,0.0998996505513787,,160109568.0,,255852544.0,,137976832.0,,1.0,,1201.9781494140625,
M2_a_ghost_p05,0.1875,,0.1875,,0.0,,0.4810228953137994,,0.1225450793281197,,0.3584778159856796,,0.0,,167007744.0,,239075328.0,,167007744.0,,1.0,,72.31537628173828,
M3_a_ghost_p025,0.21484375,,0.21484375,,0.0,,0.4800227368250489,,0.1246701311320066,,0.3553526056930423,,0.0,,167007744.0,,239075328.0,,167007744.0,,1.0,,34.24514389038086,
