method,seed,epoch,layer,mean,median,p90,p99
M0_original,42,1,conv1,0.0002145384642062,0.0001989294687518,0.0003168893163092,0.0004915235331282
M0_original,42,1,conv2,0.0180165003985166,0.0172879695892334,0.0241345837712287,0.0358409248292446
M0_original,42,1,fc1,0.978444278240204,0.979272723197937,0.9844782948493958,0.987461507320404
M0_original,42,1,fc2,0.0033246732782572,0.0032412083819508,0.0042939614504575,0.005118038970977
M1_full_ghost,42,1,conv1,0.0002145384787581,0.0001989294250961,0.0003168892581015,0.0004915234749205
M1_full_ghost,42,1,conv2,0.0180165003985166,0.0172879733145236,0.024134587496519,0.0358409285545349
M1_full_ghost,42,1,fc1,0.978444278240204,0.979272723197937,0.9844783544540404,0.9874614477157592
M1_full_ghost,42,1,fc2,0.0033246730454266,0.0032412074506282,0.0042939600534737,0.0051180385053157
M2_a_ghost_p05,42,1,conv1,5.398087887442671e-05,5.183128087082878e-05,7.118875510059297e-05,9.076064452528954e-05
M2_a_ghost_p05,42,1,conv2,0.0045829517766833,0.0045627471990883,0.0054833721369504,0.0065098069608211
M2_a_ghost_p05,42,1,fc1,0.9103670120239258,0.9104645848274232,0.9255930185317992,0.9368199706077576
M2_a_ghost_p05,42,1,fc2,0.0849960893392562,0.0848885327577591,0.1032605990767479,0.1190823912620544
M3_a_ghost_p025,42,1,conv1,0.0007217145757749,0.0006894348771311,0.0009791952325031,0.0012216899776831
M3_a_ghost_p025,42,1,conv2,0.0188279543071985,0.0187056586146354,0.0222611036151647,0.0253121145069599
M3_a_ghost_p025,42,1,fc1,0.878813624382019,0.8799887299537659,0.8950204849243164,0.9050806760787964
M3_a_ghost_p025,42,1,fc2,0.1016367301344871,0.10004223883152,0.1227454170584678,0.1361178904771804
