method,seed,epoch,operator_state_bytes,stored_scalar_count,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes
M0_original,42,1,10069164,2517291,9349120,23068672,160109568,251658240,150760448,211888128,19419648,251658240,849933312,1287651328,830513664,849933312,1287651328
M1_full_ghost,42,1,10069164,2517291,9349120,23068672,160109568,251658240,150760448,0,19419648,251658240,137976832,255852544,118557184,160109568,255852544
M2_a_ghost_p05,42,1,9998116,2499528,9349120,23068672,160137728,236978176,150788608,0,19348480,236978176,167007744,239075328,147659264,167007744,239075328
M3_a_ghost_p025,42,1,9998116,2499528,9349120,23068672,160137728,236978176,150788608,0,19348480,236978176,167007744,239075328,147659264,167007744,239075328
