method,seed,final_accuracy,best_accuracy,accuracy_auc,algorithm_seconds,private_seconds,build_seconds,curvature_seconds,peak_allocated_bytes,peak_reserved_bytes,train_peak_bytes,clip_fraction,norm_p99
M0_original,42,0.17578125,0.17578125,0.0,0.5037597753107548,0.0748180951923132,0.4289416801184416,0.066147674806416,849933312,1287651328,849933312,1.0,1201.9781494140625
M1_full_ghost,42,0.17578125,0.17578125,0.0,0.7330932151526213,0.1238813688978552,0.609211846254766,0.0998996505513787,160109568,255852544,137976832,1.0,1201.9781494140625
M2_a_ghost_p05,42,0.1875,0.1875,0.0,0.4810228953137994,0.1225450793281197,0.3584778159856796,0.0,167007744,239075328,167007744,1.0,72.31537628173828
M3_a_ghost_p025,42,0.21484375,0.21484375,0.0,0.4800227368250489,0.1246701311320066,0.3553526056930423,0.0,167007744,239075328,167007744,1.0,34.24514389038086
