task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfc,pink,,42,1,conv1,True,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,conv1,160.0,206922,1.0,10069172,26.65655667793419,0.04390336635477699,1.1703125735882218,1.0007224966226365,2.0344208512986798e-07,9.26085693985832e-07
mnist,dp_kfc,pink,,42,1,conv2,True,0.8169699345649275,0.6628943531273978,0.9694311260666093,0.254558665415884,conv2,4640.0,206922,1.0,10069172,6171.028340240056,0.0019927776100180064,12.297487107216964,1.010577353603839,1.4421035065766224e-08,1.0591927175291901e-05
mnist,dp_kfc,pink,,42,1,fc1,True,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,fc1,200832.0,206922,1.0,10069172,38305.9951968204,0.001,38.3059951968204,28.57138752482234,0.0,0.02757138752482234
mnist,dp_kfc,pink,,42,1,fc2,True,0.854649087127294,0.5625582573472794,0.997739912640114,0.06720477903081529,fc2,1290.0,206922,1.0,10069172,1547.9282810655716,0.001,1.5479282810655717,114.04148938230693,0.0,0.11304148938230693
mnist,dp_kfc,pink,,42,2,conv1,True,0.861674992974544,0.7909976554819105,0.990502373709965,4.569288423668557,conv1,160.0,206922,1.0,10069172,26.605394469385256,0.04394917128192075,1.1692850385580797,2.202580683376259,2.5594772399586615e-05,0.001258955234659
mnist,dp_kfc,pink,,42,2,conv2,True,0.8332114647694794,0.8021097366480168,0.9821978404209815,4.394626376334574,conv2,4640.0,206922,1.0,10069172,5486.142042633897,0.0032063225280530927,17.590340823396275,2.072347761837214,1.7490973589826174e-05,0.001108595141808444
mnist,dp_kfc,pink,,42,2,fc1,True,0.5836747022261206,0.9466996742768339,0.8565705224312985,4.319088318231949,fc1,200832.0,206922,1.0,10069172,563270.253378561,0.0010024891644588132,564.6723256739776,128.6721010423273,1.1312903746649537e-07,0.12768665759326703
mnist,dp_kfc,pink,,42,2,fc2,True,0.9114309656559425,0.9612825804319891,0.8794382372130387,4.824910428747567,fc2,1290.0,206922,1.0,10069172,241623.15807193247,0.001017455930957754,245.8409152370306,211.61639143116008,4.097818961266021e-09,0.21061725859682143
mnist,dp_kfc,pink,,42,3,conv1,True,0.8611448779803761,0.7913566638596873,0.9912510821320227,8.087533738975457,conv1,160.0,206922,1.0,10069172,26.43308622538906,0.04414639619698689,1.1669254972151422,2.6763514531747687,6.29181703040666e-05,0.001844742589699155
mnist,dp_kfc,pink,,42,3,conv2,True,0.8639229507335588,0.8187683877877262,0.9810523965600707,7.93774739255766,conv2,4640.0,206922,1.0,10069172,6395.766465898104,0.0034535683510818053,22.08821664753602,2.138238658740069,0.00012469455162056583,0.0014048653695494222
mnist,dp_kfc,pink,,42,3,fc1,True,0.5933438432081425,0.9447723529044437,0.8065981390994167,7.359425273665126,fc1,200832.0,206922,1.0,10069172,1083517.2119388392,0.001085823694511949,1176.5086621347168,185.0499540065073,1.155032782355763e-06,0.18426369276975824
mnist,dp_kfc,pink,,42,3,fc2,True,0.8647515145514374,0.9552459558090038,0.8728015398865258,8.313898757414226,fc2,1290.0,206922,1.0,10069172,606513.2476295255,0.0010727383391685933,650.6300139458469,289.9229683714156,0.0,0.2889229683714156
mnist,dp_kfc,pink,,42,4,conv1,True,0.8614926739551457,0.7910968550528737,0.9911254731018648,8.727154044892691,conv1,160.0,206922,1.0,10069172,26.52196311677133,0.0440558284960565,1.1684470584512139,2.56094674034757,0.00010712834323946419,0.0018352967217655112
mnist,dp_kfc,pink,,42,4,conv2,True,0.8752175157878527,0.8200608014830814,0.9776315234078559,8.319736421345889,conv2,4640.0,206922,1.0,10069172,7484.858275212586,0.0032006920826136527,23.956726620958204,2.261528019284417,0.00010924932999886603,0.001508598440164902
mnist,dp_kfc,pink,,42,4,fc1,True,0.5939171007053744,0.9411258202597292,0.7651372264060593,7.1213817923125315,fc1,200832.0,206922,1.0,10069172,1291682.074784356,0.0011150833879894815,1440.3332241558223,171.13214509558694,0.0,0.17013214509558694
mnist,dp_kfc,pink,,42,4,fc2,True,0.826515822624897,0.9526685587897636,0.8784317532155781,8.69351270144655,fc2,1290.0,206922,1.0,10069172,851801.6981701964,0.001000000000000132,851.8016981703089,235.82720590505855,0.0,0.23482720590505854
mnist,dp_kfc,pink,,42,5,conv1,True,0.8616006439084417,0.7910250283976866,0.9840286540223077,11.85754125857276,conv1,160.0,206922,1.0,10069172,26.598340780623076,0.04395867931369705,1.1692279326518402,2.6683284840801904,0.00017382473974253884,0.002132149988373033
mnist,dp_kfc,pink,,42,5,conv2,True,0.8788090627908598,0.8141727440958895,0.9746445122884517,10.832449026640486,conv2,4640.0,206922,1.0,10069172,7867.717640475124,0.0032245109270125673,25.36954150236157,2.748820209517657,1.6523000812107706e-05,0.001794238968071855
mnist,dp_kfc,pink,,42,5,fc1,True,0.5774083834197814,0.9407120276576643,0.7793733301743843,10.014198602843743,fc1,200832.0,206922,1.0,10069172,1467145.2801016257,0.0010092944052517872,1480.7815228981372,226.42628111087683,2.8144373937102882e-19,0.22542628111087687
mnist,dp_kfc,pink,,42,5,fc2,True,0.8100702920149631,0.9504185383290863,0.9139442636774842,11.863003215304497,fc2,1290.0,206922,1.0,10069172,968235.2194096267,0.0010000000000001447,968.2352194097667,295.4473270841254,4.353932700266561e-09,0.294448613441904
