method,layer,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,W_kron,W_G,W_A,log_kappa_kron
CLW-Clean-Fast,conv1,False,0.6246155290904208,0.6247936902336776,0.9290499999999999,0.995693195331761,0.14024105235042733,0.8747524147869176,1.7760848412121413,0.4557074475637536,1.556986309329028,6.562977529042808
CLW-Clean-Fast,conv2,False,0.6246155290904208,0.6247936902336776,0.9290499999999999,0.995693195331761,0.14024105235042733,0.8747524147869176,4.682263121793758,0.29922571105258156,4.470173087129506,10.96089506741336
CLW-Clean-Fast,fc1,False,0.6246155290904208,0.6247936902336776,0.9290499999999999,0.995693195331761,0.14024105235042733,0.8747524147869176,47.0179350220792,3.1953649951315715,14.00948942237595,inf
CLW-Clean-Fast,fc2,False,0.6246155290904208,0.6247936902336776,0.9290499999999999,0.995693195331761,0.14024105235042733,0.8747524147869176,7.022997706721307,0.47580741162096674,6.326459457430962,inf
CLW-Clean-Slow,conv1,False,0.7174010826035953,0.7281994930952788,0.9208000000000001,0.995693195331761,0.15705962873931623,0.8586661740500703,1.7620307519540885,0.4357252456045788,1.5611117105862675,6.523304269367798
CLW-Clean-Slow,conv2,False,0.7174010826035953,0.7281994930952788,0.9208000000000001,0.995693195331761,0.15705962873931623,0.8586661740500703,6.245044006106413,0.30020781598361684,5.968935441814068,11.916940364076323
CLW-Clean-Slow,fc1,False,0.7174010826035953,0.7281994930952788,0.9208000000000001,0.995693195331761,0.15705962873931623,0.8586661740500703,87.89675350786233,3.208499879043427,26.136780426882943,inf
CLW-Clean-Slow,fc2,False,0.7174010826035953,0.7281994930952788,0.9208000000000001,0.995693195331761,0.15705962873931623,0.8586661740500703,9.118444993665166,0.48335301404875597,8.197907269351095,inf
CLW-Noisy-Fast,conv1,True,0.6767155177827575,0.6933611157344655,0.92445,0.995693195331761,0.1509331597222222,0.8646334549810133,1.8034243216407286,0.4652806594634794,1.5762688216071576,6.5593878880693985
CLW-Noisy-Fast,conv2,True,0.6767155177827575,0.6933611157344655,0.92445,0.995693195331761,0.1509331597222222,0.8646334549810133,6.717102369753983,0.46263105731204024,6.081659379589121,12.76473709847015
CLW-Noisy-Fast,fc1,True,0.6767155177827575,0.6933611157344655,0.92445,0.995693195331761,0.1509331597222222,0.8646334549810133,86.12672686292971,3.369365982149277,24.48628975327543,inf
CLW-Noisy-Fast,fc2,True,0.6767155177827575,0.6933611157344655,0.92445,0.995693195331761,0.1509331597222222,0.8646334549810133,7.615060192394468,0.5048348880055286,6.780016184407774,inf
CLW-Noisy-Slow,conv1,True,0.7316067226740539,0.7369021330028772,0.9197500000000001,0.995693195331761,0.16139155982905984,0.8547376287289155,1.8143678063834108,0.47380050119930844,1.5798762308129843,6.633254636192024
CLW-Noisy-Slow,conv2,True,0.7316067226740539,0.7369021330028772,0.9197500000000001,0.995693195331761,0.16139155982905984,0.8547376287289155,7.623757099411036,0.366450369023484,7.145986072763563,12.81922405557067
CLW-Noisy-Slow,fc1,True,0.7316067226740539,0.7369021330028772,0.9197500000000001,0.995693195331761,0.16139155982905984,0.8547376287289155,100.90624657502275,3.3378744607621984,28.941305876188373,inf
CLW-Noisy-Slow,fc2,True,0.7316067226740539,0.7369021330028772,0.9197500000000001,0.995693195331761,0.16139155982905984,0.8547376287289155,9.192714854467212,0.4929583971787792,8.232084949304937,inf
