method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Noisy-Slow,42,1,1,1,234,noisy,1,conv1,1.729892150299105,0.3819727817366864,3.7076120715851123e-06,6.907987617192515e-06,1.4636684765628132,0.5422685337481037,2.2876824027717275e-06,4.173426066829423e-06
CLW-Noisy-Slow,42,1,1,1,234,noisy,1,conv2,8.63293338372502,0.06032278170218748,3.7037507945449866e-07,3.2172659288604904e-06,10.82934195384378,0.10455928296963973,2.9354995341071576e-06,3.196543913792627e-05
CLW-Noisy-Slow,42,1,1,1,234,noisy,1,fc1,12.390793294837602,0.04402873464409709,3.297065927003447e-07,4.097353013822088e-06,15.990859933570723,0.06130618985062364,1.0664344872080065e-05,0.0001708536895102929
CLW-Noisy-Slow,42,1,1,1,234,noisy,1,fc2,0.6345120006556102,0.7278039049156557,2.1050423671093937e-06,2.6070626012571475e-06,0.582648544436056,0.8625937434629483,8.993768277871545e-05,0.00010360892534248504
CLW-Noisy-Slow,42,2,1,2,234,noisy,1,conv1,85.23277454848129,0.06528381077045554,7.79814486212229e-08,6.6611113385741595e-06,35.12280120719466,-0.006430349624486498,9.467302175864877e-08,3.3213249576226116e-06
CLW-Noisy-Slow,42,2,1,2,234,noisy,1,conv2,31.535100270229858,0.008358030208979343,1.0704599003454143e-07,3.377410963441674e-06,20.18806000442878,0.040375589258732594,1.5733562368897002e-06,3.178890037674786e-05
CLW-Noisy-Slow,42,2,1,2,234,noisy,1,fc1,19.23209464379534,0.016453961470680397,2.0617084654372487e-07,3.9672996922221796e-06,27.079367885928022,0.03619307139403557,6.292520798658751e-06,0.00017050939697390473
CLW-Noisy-Slow,42,2,1,2,234,noisy,1,fc2,0.833009592316381,0.44758442260236153,1.2376970879132495e-06,1.4102172062236413e-06,0.9505106592757223,0.7370527727481158,5.4269312083748396e-05,7.629159608388161e-05
CLW-Noisy-Slow,42,3,1,3,234,noisy,1,conv1,59.757672538660636,-0.001956515492075813,1.1222667378571199e-07,6.705014155128823e-06,22.728889869025192,0.08087979626857568,1.437365277365143e-07,3.3001641462971844e-06
CLW-Noisy-Slow,42,3,1,3,234,noisy,1,conv2,29.49141000758435,0.015301437752821908,1.1328217665383272e-07,3.3452728635014557e-06,17.91432703815778,0.03934079503094965,1.78041342056317e-06,3.191655026300122e-05
CLW-Noisy-Slow,42,3,1,3,234,noisy,1,fc1,30.243512790232614,0.01021663627840617,1.3268270091966583e-07,4.014529432177984e-06,42.30114367097963,0.02468365645695439,4.031462744963734e-06,0.00017058755356230319
CLW-Noisy-Slow,42,3,1,3,234,noisy,1,fc2,1.6241356946080339,0.2379130884275279,7.122196658481766e-07,1.3250136790335029e-06,1.403936318579539,0.5744977386043659,3.648221115756576e-05,6.258622560787533e-05
CLW-Noisy-Slow,42,4,1,4,234,noisy,1,conv1,50.445162680075626,0.06004900755765925,1.3399126368241712e-07,6.774864028154175e-06,15.17676271207624,0.09193715297546445,2.1358605850051374e-07,3.2825114242074e-06
CLW-Noisy-Slow,42,4,1,4,234,noisy,1,conv2,26.17968436766543,0.013747691822239044,1.221086485644335e-07,3.2004389624795015e-06,16.519559800379398,0.051880913506022065,1.9134078383369404e-06,3.1651775032324796e-05
CLW-Noisy-Slow,42,4,1,4,234,noisy,1,fc1,38.14068114784068,0.004424643808345276,1.0411147298861391e-07,3.971130750338729e-06,54.35854568740674,0.016599820350862306,3.1349743523478817e-06,0.00017043600779643905
CLW-Noisy-Slow,42,4,1,4,234,noisy,1,fc2,2.12472387160121,0.15319171530454928,5.30466723478104e-07,1.2222893150891341e-06,2.040899175583752,0.4458746474659895,2.512712412256362e-05,5.729991512676815e-05
CLW-Noisy-Slow,42,5,1,5,234,noisy,1,conv1,32.61883315863698,-9.134477231101962e-05,1.8260304419323501e-07,5.9534991430296875e-06,10.044154691838397,0.012734416424449604,2.9628026874334836e-07,2.969182118607597e-06
CLW-Noisy-Slow,42,5,1,5,234,noisy,1,conv2,29.014292837231967,-0.010014042377523676,1.1547248613153753e-07,3.344242857212999e-06,17.244568618744548,0.07209485446962458,1.84063166996372e-06,3.182275603096258e-05
CLW-Noisy-Slow,42,5,1,5,234,noisy,1,fc1,46.94912571512299,0.008286839269862567,8.525995410374722e-08,4.004795883843703e-06,66.55294542090894,0.01488386316779152,2.559332056457008e-06,0.00017035010875278398
CLW-Noisy-Slow,42,5,1,5,234,noisy,1,fc2,2.664943170932022,0.24142606886042275,4.659329930131649e-07,1.4616363779568288e-06,2.2789326276395867,0.4211524367444384,2.2615885312751405e-05,5.681600913378615e-05
CLW-Noisy-Fast,42,1,1,1,58,noisy,4,conv1,0.32996802421489385,0.9420226388120727,2.0891072855322958e-05,2.0192626946287534e-05,0.25012107225367514,0.9661073050301996,1.2863028591543128e-05,1.354857863827156e-05
CLW-Noisy-Fast,42,1,1,1,58,noisy,4,conv2,1.3633032675052976,0.5172563709046478,2.0550515715931664e-06,3.4693381360572868e-06,2.454710781167834,0.37600750003414474,1.0905169517665155e-05,2.8904140280980293e-05
CLW-Noisy-Fast,42,1,1,1,58,noisy,4,fc1,6.466757499791882,0.10144801863482394,5.176224108433795e-07,3.390541068062652e-06,10.995312547755505,0.08931639788928232,1.2949848574348624e-05,0.00014295952125495276
CLW-Noisy-Fast,42,1,1,1,58,noisy,4,fc2,0.4940013633497743,0.7872904059663453,2.525870920515659e-06,2.8288487332816816e-06,0.48831013947517904,0.8999981186561835,9.611927178521507e-05,0.00010770538357670074
CLW-Noisy-Fast,42,1,2,2,59,noisy,4,conv1,29.99068347866536,-0.08765310566316825,1.822983496789415e-07,5.432221597562704e-06,24.17827947436155,0.011969005750754031,1.0669938513653618e-07,2.583540946653145e-06
CLW-Noisy-Fast,42,1,2,2,59,noisy,4,conv2,58.123386443736834,-0.006085163482577277,4.899229093512694e-08,2.8447983766831845e-06,43.44193385396019,0.005507967490852271,6.121329396610994e-07,2.658881478183511e-05
CLW-Noisy-Fast,42,1,2,2,59,noisy,4,fc1,14.138477582753001,0.03027261870836301,2.374271369835214e-07,3.3646892181328925e-06,21.462802375456704,0.04923241536450933,6.66137013993319e-06,0.00014314510057966692
CLW-Noisy-Fast,42,1,2,2,59,noisy,4,fc2,0.5797544378599973,0.644855572495417,1.6070079105622693e-06,1.8419799828833272e-06,0.7268955053577277,0.8018521339405666,6.23115411159414e-05,7.578877112970729e-05
CLW-Noisy-Fast,42,1,3,3,58,noisy,4,conv1,73.78715698236306,0.005311263153889924,6.920498250843357e-08,5.107451395300101e-06,54.887202699918205,0.018909232158385577,4.309430953423498e-08,2.3737854312883214e-06
CLW-Noisy-Fast,42,1,3,3,58,noisy,4,conv2,71.45437278129137,-0.00530875532332741,4.018963823252186e-08,2.8694529051565948e-06,50.11431975487384,0.03573689909771971,5.333293261193268e-07,2.6742568501285506e-05
