rank,method,geometry,source,engine,damping,learning_rate,C,seed,epoch,accuracy,test_loss,train_loss,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,epsilon_target,epsilon_spent,delta,noise_multiplier,noise_std,sample_rate,logical_batch_size,physical_batch_size,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps,p90_ratio_to_dp_adam,p99_ratio_to_dp_adam
1,DP-KFC,full,synthetic,bk,0.1,0.0005,2.0,42,3,0.8669724770642202,0.7459219882527469,0.6853616148608216,0.2544655501842499,0.7714596390724182,0.0562150329351425,1085.867919921875,3327.074462890625,5785.8671875,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198,4.153816716065387,4.342717539096473
2,DP-KFC,full,synthetic,bk,0.5,0.0005,2.0,42,3,0.8658256880733946,0.6379322263031959,0.5767289919974209,0.2416516989469528,0.7861941456794739,0.0566082186996936,280.5502014160156,780.0980834960938,1558.0552978515625,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198,1.073200612116067,1.0182355902160043
3,DP-KFC,full,synthetic,bk,0.2,0.0005,2.0,42,3,0.8646788990825688,0.6955401395840587,0.6355290532343995,0.2490014731884002,0.7777400612831116,0.0562588013708591,597.5772094726562,1770.52099609375,3265.185791015625,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198,2.285937503362118,2.311001051775273
4,DP-KFC,full,synthetic,bk,1.0,0.0005,2.0,42,3,0.8623853211009175,0.6107020021476056,0.5472495935689254,0.2392760068178177,0.7902217507362366,0.0550514794886112,177.37103271484375,457.5489501953125,919.2352905273438,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198,0.6785049517713967,0.597223137976303
5,DP-KFC,full,synthetic,bk,2.0,0.0005,2.0,42,3,0.8589449541284404,0.5993204946851853,0.5388761376036814,0.2430177181959152,0.7888274788856506,0.0529002249240875,134.4274444580078,320.0832214355469,645.8636474609375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198,0.5142310180116552,0.4177937810538104
