mode,q,seed,test_accuracy,epsilon_spent,steps
fisher,0.25,42,0.9556,0.995693195331761,1170
nested_ag,0.25,42,0.9565,0.995693195331761,1170
nested_a,0.25,42,0.9558,0.995693195331761,1170
fisher,0.5,42,0.9512,0.995693195331761,1170
nested_ag,0.5,42,0.9493,0.995693195331761,1170
nested_a,0.5,42,0.9505,0.995693195331761,1170
