epoch,step,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,preclip_norm_mean,preclip_norm_p90,preclip_norm_p99,powell_rate,modified_rate,damping_trigger_rate
1,234,0.7093947536160803,0.48890227835178374,0.8972,0.7861127240333559,0.5481603899572649,20.320686967963848,79.18789931444022,140.5854129770882,0.0,1.0,0.5
2,468,0.47952854397714645,0.40728732792139055,0.9258,0.8385078418579571,0.25605969551282054,13.292089140313303,52.95725516783885,148.80199409550073,0.25,0.9625,0.60625
3,702,0.41693182920034116,0.3591091349840164,0.9331,0.8909029596825585,0.20120526175213677,11.895953740829077,33.14663708515656,161.9733246045235,0.3333333333333333,0.975,0.6541666666666667
4,936,0.3750210301234172,0.333291865856573,0.9431,0.9432980775071597,0.17467948717948717,10.914989764873798,22.077026276506928,164.89966103969476,0.375,0.98125,0.678125
5,1170,0.35354651278282845,0.32830413701580835,0.9451,0.995693195331761,0.15264423076923078,10.35558396934444,14.346379398026018,172.6554331005129,0.4,0.985,0.6925
