beta,seed,epoch,layer,kappa_A,kappa_C,kappa_block,A_log_eigenvalue_spread,C_log_eigenvalue_spread
0.0,42,1,conv1,26.97146686539858,4.438621181097495,119.71612411402738,1.0876531772615017,0.41009974244655284
0.0,42,1,conv2,12467.875137108882,1130.6431333396563,14096717.411108384,1.5382804884445245,1.5499303576243335
0.0,42,1,fc1,inf,inf,inf,inf,inf
0.0,42,1,fc2,inf,142523593.17642018,inf,inf,5.5778556811732605
0.25,42,1,conv1,5.2509452147436715,4.4370412109472115,23.298660314243726,0.5469452722597762,0.4099954091753143
0.25,42,1,conv2,158.35803192887923,1124.6581210827849,178098.64664750098,0.8320748306816285,1.5486554048630974
0.25,42,1,fc1,inf,inf,inf,inf,inf
0.25,42,1,fc2,inf,12985604.224140136,inf,inf,4.885878825206474
0.5,42,1,conv1,1.022281279169575,4.435461803202588,4.534289565885731,0.006848183791596917,0.40989107701894095
0.5,42,1,conv2,2.011350450707432,1118.704790238606,2250.1073840549834,0.1598322877113078,1.5473810797783505
0.5,42,1,fc1,inf,inf,inf,inf,inf
0.5,42,1,fc2,inf,1183143.8803067198,inf,inf,4.1945625835687155
0.75,42,1,conv1,5.024544208225094,4.433882957663432,22.278240934875743,0.5344929693913738,0.40978674597828424
0.75,42,1,conv2,42.73057757454999,1112.7829731028826,47549.8591558111,0.6048969913569036,1.5461073839221129
0.75,42,1,fc1,inf,inf,inf,inf,inf
0.75,42,1,fc2,inf,136695.45720403816,inf,inf,3.504297949464032
1.0,42,1,conv1,25.808558665849436,4.43230467412962,114.39139520719296,1.0752007444984468,0.4096824160541966
1.0,42,1,conv2,3081.8886965071706,1106.892502859114,3411319.4928100347,1.3089730912920523,1.5448343188507572
1.0,42,1,fc1,inf,inf,inf,inf,inf
1.0,42,1,fc2,inf,15876.270753717741,inf,inf,2.815858385649123
