damping,dp_adam_accuracy,dp_kfc_accuracy,dp_kfc_a_accuracy,delta_kfc_vs_adam,delta_kfc_a_vs_adam,delta_kfc_a_vs_kfc
0.001,0.7072,0.6175,0.6453,-0.0897,-0.061900000000000066,0.027799999999999936
0.01,0.7072,0.6573,0.6764,-0.049900000000000055,-0.03080000000000005,0.019100000000000006
0.1,0.7072,0.6864,0.698,-0.02080000000000004,-0.009200000000000097,0.011599999999999944
