method,layer,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,W_kron,W_G,W_A,log_kappa_kron
CLW-Kron,conv1,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,1.9895171630603177,0.7400690904952455,1.4844439658739879,7.6013329820842115
CLW-Kron,conv2,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,8.950392612818419,0.8427178504175397,6.8137848381324755,14.988107000921595
CLW-Kron,fc1,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,96.84419606749405,3.279690606121102,28.22849871697995,inf
CLW-Kron,fc2,0.7072957830551343,0.7027754226744175,0.9235,0.995693195331761,0.15998931623931623,0.8564243161270761,9.214147361143473,0.5032076176651694,8.218512933939438,inf
DP-SGD,conv1,0.7754103655998523,0.7790274328764528,0.9163,0.995693195331761,0.17058961004273504,0.8459522352259383,2.0217486284017987,0.6648636280316116,1.587750270792697,7.390254310051384
DP-SGD,conv2,0.7754103655998523,0.7790274328764528,0.9163,0.995693195331761,0.17058961004273504,0.8459522352259383,10.558829202975158,0.9654281985371616,7.556860910655979,14.728370518886274
DP-SGD,fc1,0.7754103655998523,0.7790274328764528,0.9163,0.995693195331761,0.17058961004273504,0.8459522352259383,111.55676120391765,3.4617721804214523,30.937252436829894,inf
DP-SGD,fc2,0.7754103655998523,0.7790274328764528,0.9163,0.995693195331761,0.17058961004273504,0.8459522352259383,10.529042683028962,0.5674530480631639,9.140495971838469,inf
Synthetic DP-KFC (Pink Noise),conv1,0.6354834044145212,0.5997706083997153,0.94645,0.995693195331761,0.15431356837606836,0.8573281510263426,1.2245166576625852,0.7466812087903444,0.7709138218689705,5.3290455518622935
Synthetic DP-KFC (Pink Noise),conv2,0.6354834044145212,0.5997706083997153,0.94645,0.995693195331761,0.15431356837606836,0.8573281510263426,5.219224118143615,0.7359330247702094,4.129572392206182,13.760562461646515
Synthetic DP-KFC (Pink Noise),fc1,0.6354834044145212,0.5997706083997153,0.94645,0.995693195331761,0.15431356837606836,0.8573281510263426,66.3257238086578,3.6950210796660947,17.30542013664975,inf
Synthetic DP-KFC (Pink Noise),fc2,0.6354834044145212,0.5997706083997153,0.94645,0.995693195331761,0.15431356837606836,0.8573281510263426,9.963614515610228,0.8765120499445533,7.456377820066581,inf
