epoch,step,train_loss,test_loss,test_accuracy,epsilon_spent
1,235,0.7586911748250326,0.5171869856834411,0.8858,0.7863366347932901
2,470,0.5233780810038249,0.5223334617614747,0.9096,0.8389556633778256
3,705,0.5199124093691508,0.4833024350881577,0.9205,0.891574691962361
4,940,0.5160333689371744,0.5147972914218902,0.9227,0.9441937205468965
5,1175,0.5100997703552246,0.5142355741418898,0.9263,0.9968127491314319
