beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,top10_energy_share,directions_for_90pct,W_global,probe_sample_count,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.75,42,5,0.9272,0.530790667763492,0.5340695235973749,0.995693195331761,1.068115234375,0.23071915064102563,0.7944526430378612,0.00041697800043039024,613.29541015625,7004.52197265625,0.7271572463214397,10.510036402381957,0.07786291372030973,0.003655928187072277,1.0710510313510895,11.237193648703396,12.389763521961868,0.04491468548026477,5699.694816130568,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,11614503.22640315,84285.19580878211,0.08518739356549469,3408.0057550425513,290.3191275282807,0.5032867588495118,0.4200133383593818,0.28465626230784935,256,0.590704062173516,1.1318115947158067,0.4915395301391945,1.1707734982782392,10
0.5,42,5,0.9491,0.3841891255537048,0.41652758594634187,0.995693195331761,1.068115234375,0.16716746794871795,0.8519872900767204,1.1940846889046952e-05,59.29531478881836,4515.32470703125,0.7600789535790682,10.627128968946636,0.07796339876949787,0.003662590868771076,1.0791049422696233,11.387207922525704,12.547938854433596,0.04541508106387451,5636.894044952736,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,95926.96343024349,95926.96343024349,1.0,309.72078301309307,309.72078301309307,0.35110741086992353,0.6100849595499753,0.4824269534875054,256,0.6946266710685188,0.8434195949822929,0.36629247602988535,1.459165498011753,10
1.0,42,5,0.9143,0.5766797481760383,0.6272638174585807,0.995693195331761,1.068115234375,0.30869391025641024,0.7261963835638813,0.00812855176627636,2665.590576171875,9955.923828125,0.7404510295018554,10.517639162018895,0.07785494532436132,0.0036793099716305733,1.0613118913024664,11.25809019152075,12.400936338119209,0.044947175906063654,5695.574746120234,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,3146687075.4187016,70500.59843305615,0.004733360950084267,56095.33915949436,265.5194878592834,0.6126434084784583,0.28048250065241975,0.20253341973129915,256,0.47453614905448066,1.431672980063046,0.6217676751313651,0.8709121129309998,10
0.0,7,5,0.9285,0.5038151485875249,0.5568483971123003,0.995693195331761,1.068115234375,0.19644764957264957,0.8258447321052225,0.0002205080963904038,145.30126953125,1090.070556640625,0.6029301006346941,10.548224372789264,0.0782392006367445,0.0037524253129959106,1.0593086509034038,11.151154473423958,12.292454750277102,0.04507788193499685,5679.060084703109,167988736,138000384,167988736,234,59904,1170,2560,10,10,2560,16498.344439831402,90755.2046782418,2.345392797691748,128.44588136577755,301.2560450484634,0.9976094078568797,0.001904099129140449,0.0003342473872150592,256,0.826023865076778,0.4617643571017046,0.20054171222887296,1.8408207358923412,10
0.125,42,5,0.9451,0.39708996292570375,0.4015034280526332,0.995693195331761,1.068115234375,0.1596721420940171,0.8590630435536051,2.0689007214969024e-05,29.91516876220703,1620.689453125,0.7403427604585886,10.551668571308255,0.07824214082211256,0.0037242546677589417,1.0613158755004406,11.292011331766844,12.435293602757156,0.04509260073208656,5677.206367425997,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,5271.664715020621,92918.9371563214,4.198345990115447,72.60623055234737,304.8260768968452,0.9569997410361198,0.037071940151361386,0.001207751511269863,256,0.7673429814650301,0.6123968399538332,0.2659605683269386,1.6901882530402128,10
0.0,42,5,0.9184,0.5773721824139356,0.5697139009323895,0.995693195331761,1.068115234375,0.22233907585470086,0.8043723412049122,0.0007061508949846029,200.5885772705078,1051.819091796875,0.5987350223585963,10.537428628653288,0.07739099860191345,0.0036930888891220093,1.0568391168490052,11.136163651011884,12.274086855351925,0.0450317462762961,5684.878361795926,167988736,138000384,167988736,234,59904,1170,2560,10,10,2560,16854.85743128847,83228.59448786039,2.2221518788746284,129.82625863548742,288.49366455411183,0.9978018540279917,0.0019814229516436146,0.00039545743943015805,256,0.795341178943046,0.5278986280496943,0.22926346116627944,1.7746864649443514,10
0.375,42,5,0.9554,0.3421830800899304,0.3639328587545544,0.995693195331761,1.068115234375,0.14615050747863248,0.8702791198196574,4.224718850309728e-06,19.232851028442383,3617.64111328125,0.7281099278479815,10.548900114372373,0.07812611665576696,0.0037457728758454323,1.0727216340601444,11.277010042220354,12.431603565812111,0.04508076971954005,5678.696295397059,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,14604.26256546377,98869.13023985832,2.6018996376439385,120.84809707009777,314.4346199766469,0.3689768571884689,0.5993852756110999,0.42100217700889514,256,0.727244821212292,0.7415709029716888,0.3220601511006162,1.561014190022357,10
0.25,42,5,0.957,0.3272660446873837,0.3434178607108501,0.995693195331761,1.068115234375,0.1382378472222222,0.8778190770719805,3.714118975040037e-06,11.934630393981934,2641.136474609375,0.7277077930048108,10.5727006662637,0.07806920632719994,0.0036982595920562744,1.0736345062032342,11.30040845926851,12.455810431391,0.0451824814797594,5665.912796637375,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,4664.9499878652705,98981.97624927617,4.60632487067397,68.30043914840716,314.614011527262,0.6773134861556624,0.41693488367597453,0.023222435814614063,256,0.7563579265091507,0.6614049620943645,0.2872445253410119,1.6411801308996814,10
0.5,7,5,0.9509,0.3782116118852049,0.4279022572132257,0.995693195331761,1.068115234375,0.15274439102564102,0.8635342021783193,7.375955647148658e-06,32.335628509521484,4248.40771484375,0.746844919398427,10.564693867228925,0.07806614693254232,0.0036746682599186897,1.0674058347940445,11.311538786627352,12.460685436613858,0.0451482643898672,5670.206894098349,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,94245.85701305166,94245.85701305166,1.0,306.99488108607227,306.99488108607227,0.3614465271849489,0.617213249436986,0.4679928324585747,256,0.7605082424060041,0.6658286551327006,0.2891657108171951,1.6367564378613453,10
0.375,7,5,0.9573,0.3285877813457995,0.37633986013312626,0.995693195331761,1.068115234375,0.13229500534188035,0.8822943229451139,3.268186901550507e-06,9.769386291503906,3552.218505859375,0.727978671900928,10.533013413660228,0.0783522492274642,0.003738241270184517,1.0622353535145521,11.260992085561156,12.405317929573357,0.04501287783615482,5687.2613417837965,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,14719.785863909414,99915.5819818558,2.6053487455343824,121.32512461938546,316.0942612289185,0.36932484284995204,0.5937792984796204,0.4112063463852567,256,0.8120258307200217,0.5275015177932483,0.2290909983731977,1.7750835752007976,10
