beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
0.0,42,1,conv1,256,160,55.074650340537545,0.3442165646283597,0.3442165646283597,0.3442165646283597,0.4470400686289196,0.51875
0.0,42,1,conv2,256,4640,47.93217636785351,0.010330210424106359,0.010330210424106359,0.010330210424106359,0.9447505545230024,0.04633620689655173
0.0,42,1,fc1,256,200832,17.27162277388778,8.600035240344059e-05,8.600035240344059e-05,8.600035240344059e-05,0.9918611530803517,0.0017377708731676227
0.0,42,1,fc2,256,1290,10.421071420779075,0.00807834993858843,0.00807834993858843,0.00807834993858843,0.965797833161625,0.0069767441860465115
0.0,42,2,conv1,256,160,2.786386267051885,0.017414914169074282,0.017414914169074282,0.017414914169074282,0.8736788140397161,0.14375
0.0,42,2,conv2,256,4640,30.82777499180898,0.006643917024096763,0.006643917024096763,0.006643917024096763,0.9747458301099502,0.02564655172413793
0.0,42,2,fc1,256,200832,15.398663914470282,7.667435425863548e-05,7.667435425863548e-05,7.667435425863548e-05,0.9992375682991076,0.0007618307839388145
0.0,42,2,fc2,256,1290,10.500225222228163,0.008139709474595476,0.008139709474595476,0.008139709474595476,0.9747455954377235,0.024806201550387597
0.0,42,3,conv1,256,160,3.484622728438308,0.021778892052739425,0.021778892052739425,0.021778892052739425,0.817611141160193,0.2125
0.0,42,3,conv2,256,4640,39.127214576074,0.008432589348291811,0.008432589348291811,0.008432589348291811,0.9736111850296025,0.026724137931034484
0.0,42,3,fc1,256,200832,17.81079670649137,8.868505370902729e-05,8.868505370902729e-05,8.868505370902729e-05,0.9989919724242091,0.000886312938177183
0.0,42,3,fc2,256,1290,11.615682654179125,0.00900440515827839,0.00900440515827839,0.00900440515827839,0.9683396648375712,0.03178294573643411
0.0,42,4,conv1,256,160,5.2751243681309665,0.03296952730081854,0.03296952730081854,0.03296952730081854,0.7442953789464056,0.3
0.0,42,4,conv2,256,4640,35.431839608416055,0.007636172329400012,0.007636172329400012,0.007636172329400012,0.9744562388693093,0.026077586206896552
0.0,42,4,fc1,256,200832,18.56888003955239,9.245976756469283e-05,9.245976756469283e-05,9.245976756469283e-05,0.998916862064364,0.0009012507966857871
0.0,42,4,fc2,256,1290,11.811449142765392,0.009156162126174722,0.009156162126174722,0.009156162126174722,0.9644533990318951,0.03488372093023256
0.0,42,5,conv1,256,160,8.352495934359611,0.05220309958974757,0.05220309958974757,0.05220309958974757,0.6788609156629132,0.3625
0.0,42,5,conv2,256,4640,46.209572080218926,0.009958959500047182,0.009958959500047182,0.009958959500047182,0.9695937982043372,0.029741379310344828
0.0,42,5,fc1,256,200832,16.94744085674891,8.438615786701775e-05,8.438615786701775e-05,8.438615786701775e-05,0.9989237603874348,0.0008614165073295093
0.0,42,5,fc2,256,1290,10.319335410439724,0.007999484814294359,0.007999484814294359,0.007999484814294359,0.9641593975787627,0.03178294573643411
0.125,42,1,conv1,256,160,73.56128889032037,0.45975805556450233,0.45975805556450233,0.45975805556450233,0.36971989853326714,0.65625
0.125,42,1,conv2,256,4640,110.54418661092323,0.023824178148905868,0.023824178148905868,0.023824178148905868,0.8096648274681791,0.25689655172413794
0.125,42,1,fc1,256,200832,85.18764996283466,0.0004241736872751088,0.0004241736872751088,0.0004241736872751088,0.9263418372099146,0.07317558954748248
0.125,42,1,fc2,256,1290,16.579225667675807,0.01285211292067892,0.01285211292067892,0.01285211292067892,0.8557088714066876,0.18372093023255814
0.125,42,2,conv1,256,160,3.711809213899228,0.023198807586870176,0.023198807586870176,0.023198807586870176,0.7886172970589448,0.29375
0.125,42,2,conv2,256,4640,71.17944715045329,0.015340398092770104,0.015340398092770104,0.015340398092770104,0.8804914728473417,0.13211206896551725
0.125,42,2,fc1,256,200832,79.00284375712003,0.0003933777672737414,0.0003933777672737414,0.0003933777672737414,0.9720499027964266,0.018637468132568516
0.125,42,2,fc2,256,1290,28.348951704845,0.02197593155414341,0.02197593155414341,0.02197593155414341,0.8446658500155371,0.17519379844961241
0.125,42,3,conv1,256,160,5.90001754012353,0.03687510962577206,0.03687510962577206,0.03687510962577206,0.6793526502150877,0.40625
0.125,42,3,conv2,256,4640,75.68551273391724,0.016311532916792507,0.016311532916792507,0.016311532916792507,0.8789482044501012,0.13405172413793104
0.125,42,3,fc1,256,200832,95.16744775497799,0.00047386595639628136,0.00047386595639628136,0.00047386595639628136,0.9649313575928381,0.024283978648820904
0.125,42,3,fc2,256,1290,31.205897263521862,0.024190618033737878,0.024190618033737878,0.024190618033737878,0.8237200784032851,0.21705426356589147
0.125,42,4,conv1,256,160,11.901753708508775,0.07438596067817985,0.07438596067817985,0.07438596067817985,0.575234375212779,0.5
0.125,42,4,conv2,256,4640,80.15443675857676,0.017274663094520856,0.017274663094520856,0.017274663094520856,0.8766802812542985,0.13771551724137931
0.125,42,4,fc1,256,200832,97.41587336077238,0.0004850615109184412,0.0004850615109184412,0.0004850615109184412,0.961821874676604,0.028262428298279157
0.125,42,4,fc2,256,1290,31.96907401614227,0.02478222791949013,0.02478222791949013,0.02478222791949013,0.8119986286447874,0.22868217054263565
0.125,42,5,conv1,256,160,19.880438028397705,0.12425273767748567,0.12425273767748567,0.12425273767748567,0.5176073449817165,0.5625
0.125,42,5,conv2,256,4640,107.52138617071843,0.023172712536792765,0.023172712536792765,0.023172712536792765,0.8606022562093654,0.16508620689655173
0.125,42,5,fc1,256,200832,92.60371828061203,0.0004611004136821424,0.0004611004136821424,0.0004611004136821424,0.9605565446650274,0.03244502868068834
0.125,42,5,fc2,256,1290,29.904815735254427,0.02318202770174762,0.02318202770174762,0.02318202770174762,0.8044936375974361,0.2317829457364341
0.25,42,1,conv1,256,160,101.7195973920965,0.6357474837006032,0.6357474837006032,0.6357474837006032,0.2835444992745328,0.74375
