rank,method,geometry,source,engine,C,learning_rate,seed,epoch,accuracy,test_loss,train_loss,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,epsilon_target,epsilon_spent,delta,noise_multiplier,noise_std,sample_rate,logical_batch_size,physical_batch_size,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps
1,DP-KFC,full,synthetic,bk,2.0,0.0005,42,3,0.8509174311926605,1.146347002656854,1.0555942614527505,0.2820828855037689,0.7404362559318542,0.0746484622359275,34261.53515625,118477.4609375,278050.9375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
2,DP-KFC,full,synthetic,bk,1.0,0.0005,42,3,0.8509174311926605,1.2284712594518703,1.1225624257226916,0.2831816375255584,0.738860011100769,0.0381890796124935,34037.16015625,126689.265625,291512.21875,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
3,DP-KFC,full,synthetic,bk,4.0,0.0005,42,3,0.8497706422018348,1.068434844713361,0.989750722544636,0.2808207869529724,0.7422968745231628,0.1444160193204879,34273.12109375,110606.859375,267334.21875,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
4,DP-KFC,full,synthetic,bk,0.5,0.0005,42,3,0.8497706422018348,1.3158032000443791,1.1919674477645674,0.2837458550930023,0.7377121448516846,0.0195648428052663,34273.015625,134680.453125,307043.40625,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
5,DP-KFC,full,synthetic,bk,2.0,0.001,42,3,0.8486238532110092,1.2748890430106792,1.162814223765796,0.2836864590644836,0.739881157875061,0.1341667920351028,32410.689453125,156665.0,361714.59375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
6,DP-KFC,full,synthetic,bk,4.0,0.001,42,3,0.8474770642201835,1.1851748855070423,1.085322680162724,0.2833152711391449,0.7406105995178223,0.2648511826992035,32855.3984375,144598.90625,343594.25,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
7,DP-KFC,full,synthetic,bk,1.0,0.001,42,3,0.8463302752293578,1.368683466527936,1.240834821852762,0.2840131223201751,0.7391983866691589,0.0675682052969932,32190.57421875,168523.609375,377211.4375,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
8,DP-KFC,full,synthetic,bk,0.5,0.001,42,3,0.8463302752293578,1.4680697890577712,1.3204419426713483,0.2836567759513855,0.738777756690979,0.0342405587434768,32139.58203125,181194.609375,387007.25,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
9,DP-KFC,full,synthetic,bk,4.0,0.0001,42,3,0.8325688073394495,1.2346249715162874,1.160750940057769,0.3324770927429199,0.693804144859314,0.0807429552078247,45864.28515625,107509.3828125,243567.234375,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
10,DP-KFC,full,synthetic,bk,2.0,0.0001,42,3,0.8325688073394495,1.3154011948773512,1.234777300718443,0.3343628048896789,0.691025972366333,0.038835521787405,47688.73828125,114176.3671875,247806.390625,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
11,DP-KFC,full,synthetic,bk,0.5,0.0001,42,3,0.8314220183486238,1.4734837597747958,1.3804023954625435,0.3376590609550476,0.6863507628440857,0.0094534996896982,51310.07421875,126860.5078125,248730.375,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
12,DP-KFC,full,synthetic,bk,1.0,0.0001,42,3,0.8302752293577982,1.3950857372284369,1.3079181348233713,0.3357733488082886,0.6886239051818848,0.0192128866910934,49545.57421875,120760.875,249140.46875,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
13,DP-KFC,full,synthetic,bk,4.0,1e-05,42,3,0.6685779816513762,0.9189294182926144,0.606893546848648,0.997520387172699,0.0219622980803251,2617.9462890625,14382.39453125,22737.443359375,42230.83203125,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
14,DP-KFC,full,synthetic,bk,2.0,1e-05,42,3,0.6674311926605505,0.9197039049152934,0.606984594177691,0.999361515045166,0.0116464998573064,2618.552734375,14383.953125,22743.81640625,42248.1484375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
15,DP-KFC,full,synthetic,bk,1.0,1e-05,42,3,0.6674311926605505,0.919827709230808,0.6069951778399914,0.9999108910560608,0.0059390827082097,2618.530029296875,14384.0009765625,22743.8046875,42250.83984375,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
16,DP-KFC,full,synthetic,bk,0.5,1e-05,42,3,0.6674311926605505,0.919838560010315,0.6069925891882054,0.9999851584434508,0.0029868951532989,2618.6728515625,14383.9482421875,22743.0546875,42249.3046875,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
