method,geometry,source,engine,C,learning_rate,seed,epoch,accuracy,test_loss,train_loss,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,epsilon_target,epsilon_spent,delta,noise_multiplier,noise_std,sample_rate,logical_batch_size,physical_batch_size,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps
DP-Adam,base,none,bk,0.5,0.0005,42,1,,,0.933273684132591,0.3431082963943481,0.68717360496521,0.0209548752754926,354.65771484375,816.48046875,1422.4263916015625,3.0,2.408141066673162,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,66,527,66,66,66
DP-Adam,base,none,bk,0.5,0.0005,42,2,,,0.7346757220489842,0.259320855140686,0.7663065195083618,0.0142827471718192,317.6567687988281,870.1878662109375,1804.7435302734373,3.0,2.731776249942336,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,66,527,66,66,66
DP-Adam,base,none,bk,0.5,0.0005,42,3,0.8623853211009175,0.7961872456391842,0.7027567994998316,0.2383851259946823,0.7846439480781555,0.0171225015074014,267.1630859375,978.3442993164062,2412.239501953125,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,66,527,66,66,66
