rank,method,geometry,source,engine,C,learning_rate,seed,epoch,accuracy,test_loss,train_loss,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,epsilon_target,epsilon_spent,delta,noise_multiplier,noise_std,sample_rate,logical_batch_size,physical_batch_size,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps
1,DP-Adam,base,none,bk,4.0,0.0005,42,3,0.8704128440366973,0.58028380577068,0.525737266448203,0.2319113910198211,0.7975645065307617,0.1274959743022918,255.5826416015625,667.84375,1643.855712890625,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
2,DP-Adam,base,none,bk,2.0,0.0005,42,3,0.8669724770642202,0.6496058908726917,0.5830308755618816,0.2346731275320053,0.791840672492981,0.0648344457149505,261.4145202636719,766.1272583007812,1895.429931640625,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
3,DP-Adam,base,none,bk,1.0,0.0005,42,3,0.8623853211009175,0.7223982282331076,0.6424376377806416,0.2369003295898437,0.787615180015564,0.0333018489181995,266.736328125,870.2073974609375,2153.92236328125,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
4,DP-Adam,base,none,bk,0.5,0.0005,42,3,0.8623853211009175,0.7961872456391842,0.7027567994998316,0.2383851259946823,0.7846439480781555,0.0171225015074014,267.1630859375,978.3442993164062,2412.239501953125,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
5,DP-Adam,base,none,bk,2.0,0.001,42,3,0.8600917431192661,0.7470873900232068,0.6306604067536459,0.2396769076585769,0.7864670157432556,0.0909870043396949,287.6278076171875,950.15087890625,2096.540283203125,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
6,DP-Adam,base,none,bk,1.0,0.001,42,3,0.8589449541284404,0.8249750846287731,0.6967155059661296,0.2413547337055206,0.7828621864318848,0.0459826476871967,293.120361328125,1099.58349609375,2360.70751953125,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
7,DP-Adam,base,none,bk,0.5,0.001,42,3,0.8589449541284404,0.8871457334714643,0.7572025286384739,0.2404638528823852,0.781490683555603,0.0225383471697568,281.97723388671875,1215.09619140625,2589.31689453125,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
8,DP-Adam,base,none,bk,4.0,0.001,42,3,0.8577981651376146,0.6684476953521029,0.5663356090555226,0.2373012155294418,0.7916364073753357,0.1801313310861587,280.58758544921875,807.6008911132812,1684.87353515625,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
9,DP-Adam,base,none,bk,1.0,0.0001,42,3,0.8509174311926605,0.7383123240999689,0.7451031461470246,0.2910065352916717,0.7394838333129883,0.0266387034207582,381.5592956542969,795.8836059570312,1645.253173828125,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
10,DP-Adam,base,none,bk,4.0,0.0001,42,3,0.8486238532110092,0.6062260827844228,0.6133205314866985,0.2805089950561523,0.7558364272117615,0.1205698773264885,325.4342041015625,623.9945678710938,1256.60400390625,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
11,DP-Adam,base,none,bk,2.0,0.0001,42,3,0.8486238532110092,0.6714807720406306,0.6788889642767082,0.2862403392791748,0.7465692758560181,0.0564289577305316,354.4145812988281,707.9496459960938,1457.4893798828125,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
12,DP-Adam,base,none,bk,0.5,0.0001,42,3,0.8486238532110092,0.8061352641254432,0.8116424485894378,0.2953867316246032,0.7336706519126892,0.0127620827406644,408.6287231445313,882.8187866210938,1822.20166015625,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
13,DP-Adam,base,none,bk,4.0,1e-05,42,3,0.8142201834862385,0.6232284565857791,0.5334096204893091,0.4935633838176727,0.5985110998153687,3.76154351234436,231.65579223632807,373.3046875,673.927490234375,3.0,2.994338991003502,1e-05,0.8184814453125,3.27392578125,0.0152043831385766,1024,128,198,1581,198,198,198
14,DP-Adam,base,none,bk,2.0,1e-05,42,3,0.8142201834862385,0.6685088190053581,0.5612355018009327,0.5332967042922974,0.5564426779747009,2.8083834648132324,246.39894104003903,406.9309997558594,766.8850708007812,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.0152043831385766,1024,128,198,1581,198,198,198
15,DP-Adam,base,none,bk,1.0,1e-05,42,3,0.8142201834862385,0.7104596897207816,0.5892116669711189,0.5745148658752441,0.5134522914886475,2.209317445755005,258.8283386230469,436.0843505859375,833.713134765625,3.0,2.994338991003502,1e-05,0.8184814453125,0.8184814453125,0.0152043831385766,1024,128,198,1581,198,198,198
16,DP-Adam,base,none,bk,0.5,1e-05,42,3,0.8142201834862385,0.7487014358811969,0.6206895871322354,0.6140551567077637,0.4709291160106659,1.852527141571045,270.098388671875,463.4627685546875,872.9192504882812,3.0,2.994338991003502,1e-05,0.8184814453125,0.40924072265625,0.0152043831385766,1024,128,198,1581,198,198,198
