method,tau,preconditioner_batches,synthetic_samples,seed,epoch,statistic_source,analysis_only,test_accuracy,test_loss,train_loss,epsilon_spent,preclip_norm_mean,preclip_norm_p50,preclip_norm_p90,preclip_norm_p99,clip_fraction,mean_clip_factor,severe_clip_fraction_05,severe_clip_fraction_025,clip_mean_gradient_norm_retention,clip_mean_gradient_cosine,precond_build_seconds,private_train_seconds,total_epoch_seconds,preconditioner_storage_mb,gain_min,gain_p10,gain_median,gain_p90,gain_max,gain_log_std,gain_p90_p10_ratio,lower_cap_fraction,upper_cap_fraction,alignment_spearman
Full-Equil,1.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8777,0.5561362595558167,0.768120686340332,0.7863366347932901,21.402008056640625,4.102887153625488,71.36674499511719,181.71875,0.6164000034332275,0.47412097454071045,0.5716500282287598,0.5034166574478149,0.03266556330540396,0.7089763260585197,0.7190382452681661,12.8496348913759,13.568673136644065,0.7893447875976562,0.10000000149011612,0.5463473200798035,1.1012405157089233,1.5573952198028564,1.5573952198028564,0.40767183899879456,2.8505589074279194,2.4163693524315022e-05,0.0,0.9999999999999999
Full-Equil,1.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.9102,0.45708495676517485,0.49539204037984214,0.8389556633778256,15.283758163452148,0.03746989369392395,69.87901306152344,162.329345703125,0.29813334345817566,0.7522432804107666,0.26153331995010376,0.22681666910648346,0.01584706962742704,0.7127484862474684,0.09110829792916775,12.828209890052676,12.919318187981844,0.7893447875976562,0.1447295993566513,0.6898237466812134,1.0275986194610596,1.4244425296783447,1.4532451629638672,0.27964136004447937,2.0649369299497584,0.0,0.0,1.0
Full-Equil,1.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.9129,0.4526769555211067,0.45532320931752523,0.891574691962361,15.24105167388916,0.00897256936877966,56.09857940673828,191.81668090820312,0.24148333072662354,0.7983524799346924,0.21209999918937683,0.18529999256134033,0.01327514428090542,0.7235230386891264,0.09394323639571667,12.84732471499592,12.941267951391637,0.7893447875976562,0.16028402745723724,0.7006829977035522,1.0235474109649658,1.400149941444397,1.4475215673446655,0.26850971579551697,1.9982644734256532,0.0,0.0,1.0
Full-Equil,1.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9331,0.3695767525434494,0.4164843955675761,0.9441937205468965,14.699922561645508,0.0031927975360304117,37.05120086669922,207.9009246826172,0.20524999499320984,0.8271065354347229,0.18133333325386047,0.15948332846164703,0.01127495570504602,0.7110283365909089,0.09251143503934145,12.84755457751453,12.94006601255387,0.7893447875976562,0.14429974555969238,0.6900991201400757,1.0219581127166748,1.4106390476226807,1.4452691078186035,0.27712973952293396,2.044110775472878,0.0,0.0,1.0
Full-Equil,1.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9337,0.40454499415680767,0.39682722330093384,0.9968127491314319,14.992356300354004,0.0009863018058240414,27.595335006713867,231.18325805664062,0.18494999408721924,0.8430060148239136,0.16438333690166473,0.14578333497047424,0.009871442481241327,0.6812477758590211,0.09402784612029791,12.846340924501419,12.940368770621717,0.7893447875976562,0.16464145481586456,0.6950977444648743,1.0246176719665527,1.396760106086731,1.449037790298462,0.2715190351009369,2.0094441640895213,0.0,0.0,1.0
DP-SGD,NaN,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8708,0.6088274510383606,0.7787141980489095,0.7863366347932901,24.325899124145508,3.926764488220215,85.15039825439453,204.43179321289062,0.5893166661262512,0.4915492832660675,0.5464833378791809,0.498116672039032,0.025964626015976388,0.7561438155935166,0.03563494887202978,12.707025126554072,12.742660075426102,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,NaN
DP-SGD,NaN,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.8998,0.551558537530899,0.5731533090591431,0.8389556633778256,28.515295028686523,0.03251199424266815,138.65069580078125,292.9848937988281,0.3125666677951813,0.7332975268363953,0.27915000915527344,0.24834999442100525,0.008862230415515444,0.7474294962401086,0.036289201118052006,12.754437774419785,12.790726975537837,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,NaN
DP-SGD,NaN,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.8981,0.5927471982955933,0.549924468421936,0.891574691962361,29.395063400268555,0.008694808930158615,125.69733428955078,350.8883972167969,0.2589666545391083,0.7781000137329102,0.23181666433811188,0.2061833292245865,0.007547801897484572,0.7523090162809859,0.03845993522554636,12.744091651402414,12.78255158662796,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,NaN
DP-SGD,NaN,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9216,0.5000730271697045,0.5284800316174825,0.9441937205468965,29.787195205688477,0.0027884177397936583,100.81756591796875,389.7896728515625,0.22734999656677246,0.803518533706665,0.20520000159740448,0.1837666630744934,0.00633749997817931,0.7376030485205194,0.03785194270312786,12.691219848580658,12.729071791283786,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,NaN
DP-SGD,NaN,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9262,0.5122255030810833,0.5118171419779459,0.9968127491314319,29.4322452545166,0.0007883959333412349,71.52513122558594,419.2047424316406,0.20264999568462372,0.8250773549079895,0.18201667070388794,0.1634666621685028,0.0055275114045101915,0.7198267895807611,0.038461947813630104,12.737483527511358,12.775945475324988,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,NaN
Full-Equil,0.3,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8779,0.5478018398284912,0.8050031698226928,0.7863366347932901,25.87359619140625,5.740695953369141,84.04080963134766,215.56686401367188,0.6606166958808899,0.43044862151145935,0.6161999702453613,0.5471000075340271,0.03076203666191469,0.6820120030895193,0.06705524120479822,12.751800196245313,12.818855437450111,0.7893447875976562,0.10000000149011612,0.4333578944206238,1.0357162952423096,2.1560280323028564,2.1560280323028564,0.6017678380012512,4.975167315655689,3.8661910366499797e-05,0.0,0.9999999999996362
Full-Equil,0.3,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.9091,0.4504257515907288,0.4959890444437663,0.8389556633778256,12.892925262451172,0.047808870673179626,58.89248275756836,133.4617156982422,0.30311667919158936,0.7503018379211426,0.26438334584236145,0.22779999673366547,0.018743074019538595,0.6982261298818792,0.07408419158309698,12.831510838121176,12.905595029704273,0.7893447875976562,0.11147903650999069,0.5769442319869995,0.9783396124839783,1.9106477499008179,2.036579132080078,0.43644362688064575,3.3116679983445456,0.0,0.0,0.9999999852110522
Full-Equil,0.3,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.9137,0.44080398445129393,0.4489024419784546,0.891574691962361,13.018831253051758,0.010964984074234962,48.70320129394531,161.04254150390625,0.24371667206287384,0.7980905175209045,0.21254999935626984,0.18511666357517242,0.015399531528670737,0.7124942179055924,0.07643275521695614,12.740117033012211,12.816549788229167,0.7893447875976562,0.12387023866176605,0.5896958708763123,0.9769113659858704,1.8341208696365356,2.033618211746216,0.41913869976997375,3.110282707102827,0.0,0.0,0.9999999999993252
Full-Equil,0.3,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9305,0.3671290710449219,0.41133152020772296,0.9441937205468965,12.990690231323242,0.0038576675578951836,35.02055740356445,180.58775329589844,0.20794999599456787,0.8259863257408142,0.18299999833106995,0.15966667234897614,0.01279174471472172,0.7037791171606551,0.07531038112938404,12.762237949296832,12.837548330426216,0.7893447875976562,0.1107991635799408,0.5759939551353455,0.9698988199234009,1.8700387477874756,2.019009590148926,0.43481406569480896,3.246629120175504,0.0,0.0,0.9999999947851568
Full-Equil,0.3,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9336,0.3943412232935429,0.3965560504277547,0.9968127491314319,13.995487213134766,0.0012648380361497402,27.216028213500977,211.46617126464844,0.18895000219345093,0.8409080505371094,0.1666666716337204,0.14648333191871643,0.01075019420104775,0.6850795435778638,0.07645401451736689,12.796726088039577,12.873180102556944,0.7893447875976562,0.127237468957901,0.583833634853363,0.977705717086792,1.817365050315857,2.035277843475342,0.4222567677497864,3.1128132088044405,0.0,0.0,0.9999999998637769
Full-Equil,3.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8745,0.5796124212265015,0.7580323190053304,0.7863366347932901,20.391767501831055,3.621687889099121,69.50161743164062,173.32260131835938,0.5945500135421753,0.4939233660697937,0.5500666499137878,0.48553332686424255,0.0320214382293535,0.7344534110832721,0.06924510095268488,12.7686179690063,12.837863069958985,0.7893447875976562,0.12550950050354004,0.6869314908981323,1.0929362773895264,1.2620166540145874,1.2620166540145874,0.24835260212421417,1.837179792652331,0.0,0.0,0.9999999999990605
Full-Equil,3.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.9064,0.49286282148361205,0.5121617120742797,0.8389556633778256,18.663528442382812,0.032941751182079315,86.39868927001953,198.3748779296875,0.30035001039505005,0.7478134632110596,0.26623332500457764,0.2321999967098236,0.013125845175632771,0.726022258400917,0.07489328924566507,12.803056167438626,12.877949456684291,0.7893447875976562,0.20374302566051483,0.8142340183258057,1.0329978466033936,1.1847648620605469,1.1928036212921143,0.15840166807174683,1.4550667687609165,0.0,0.0,0.9999997484360618
Full-Equil,3.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.9108,0.47768688312768937,0.4809175303777059,0.891574691962361,18.79800033569336,0.00826514046639204,72.28633880615234,234.16403198242188,0.2443833351135254,0.7939006090164185,0.2159000039100647,0.1909666657447815,0.010927891535090006,0.7368961952151136,0.07643407862633467,12.787783239968121,12.864217318594456,0.7893447875976562,0.22524429857730865,0.8224145174026489,1.0294808149337769,1.1753418445587158,1.1887449026107788,0.15060384571552277,1.429135575416011,0.0,0.0,0.9999999999983624
Full-Equil,3.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9307,0.40172374137043954,0.44435541598002115,0.9441937205468965,18.344478607177734,0.002824258990585804,50.28844451904297,254.578125,0.21048332750797272,0.8210124373435974,0.18751665949821472,0.16588333249092102,0.009405332615480143,0.7244413458286447,0.07703118212521076,12.713663105852902,12.790694287978113,0.7893447875976562,0.2036226987838745,0.815041184425354,1.0298304557800293,1.1794168949127197,1.1891465187072754,0.15488751232624054,1.447064169823847,0.0,0.0,0.9999999947841616
Full-Equil,3.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9314,0.4367811795547605,0.42558870913187663,0.9968127491314319,18.315444946289062,0.0008267794619314373,35.48926544189453,278.0219421386719,0.18923333287239075,0.8384957313537598,0.16883333027362823,0.15008333325386047,0.008331170682101808,0.6975878614060422,0.0776106072589755,12.757190951146185,12.834801558405161,0.7893447875976562,0.23119430243968964,0.8181079626083374,1.0304374694824219,1.1750108003616333,1.1898508071899414,0.152348130941391,1.4362539592151118,0.0,0.0,0.9999999996751201
Full-Equil,10.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8702,0.5934714898109436,0.7623064122200012,0.7863366347932901,21.216766357421875,3.5290794372558594,73.68473815917969,179.6259765625,0.5855666399002075,0.4994758665561676,0.5415499806404114,0.48570001125335693,0.02979762742811061,0.7490992434481357,0.06886358838528395,12.774381689727306,12.84324527811259,0.7893447875976562,0.19773796200752258,0.8417237401008606,1.050260305404663,1.1015230417251587,1.1015230417251587,0.11889734864234924,1.3086515079082448,0.0,0.0,0.9999999999967643
Full-Equil,10.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.9027,0.5266392167568207,0.5388424302419027,0.8389556633778256,22.838294982910156,0.03182324022054672,107.8182373046875,239.71078491210938,0.3043000102043152,0.7419531345367432,0.27090001106262207,0.2394166737794876,0.010899738117339129,0.7381581325797324,0.07531490363180637,12.76906265411526,12.844377557747066,0.7893447875976562,0.3222341239452362,0.921191930770874,1.0181772708892822,1.0656989812850952,1.0678733587265015,0.07073196768760681,1.1568696443023492,0.0,0.0,0.9999996148748007
