method,tau,preconditioner_batches,synthetic_samples,seed,epoch,statistic_source,analysis_only,test_accuracy,test_loss,train_loss,epsilon_spent,preclip_norm_mean,preclip_norm_p50,preclip_norm_p90,preclip_norm_p99,clip_fraction,mean_clip_factor,severe_clip_fraction_05,severe_clip_fraction_025,clip_mean_gradient_norm_retention,clip_mean_gradient_cosine,precond_build_seconds,private_train_seconds,total_epoch_seconds,preconditioner_storage_mb,gain_min,gain_p10,gain_median,gain_p90,gain_max,gain_log_std,gain_p90_p10_ratio,lower_cap_fraction,upper_cap_fraction,alignment_spearman
Full-Equil,10.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.9045,0.5402280210018158,0.5140096178054809,0.891574691962361,23.33226203918457,0.008457453921437263,94.61552429199219,284.0893859863281,0.25086668133735657,0.7866506576538086,0.22263333201408386,0.19806666672229767,0.009114840194741462,0.7426055322302149,0.07774218823760748,12.728152531199157,12.805894719436765,0.7893447875976562,0.35419464111328125,0.9253517985343933,1.0162721872329712,1.0622278451919556,1.0658761262893677,0.0664481371641159,1.1479178479734429,0.0,0.0,0.9999999951265315
Full-Equil,10.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9267,0.4513731120765209,0.48661885023117063,0.9441937205468965,23.179445266723633,0.0027292389422655106,69.19828796386719,311.28973388671875,0.21858333051204681,0.812855064868927,0.19558332860469818,0.17384999990463257,0.007770892848914608,0.7383384965835733,0.07688454538583755,12.733914869837463,12.8107994152233,0.7893447875976562,0.3225186765193939,0.9216552972793579,1.0167131423950195,1.0636980533599854,1.0663379430770874,0.06820507347583771,1.1541170071933886,0.0,0.0,0.999999984345353
Full-Equil,10.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9288,0.47401764835715293,0.4639886132558187,0.9968127491314319,22.960050582885742,0.0008006348507478833,48.59735107421875,338.9988708496094,0.19466666877269745,0.8324960470199585,0.17421667277812958,0.1565166711807251,0.006863322234811618,0.7105416365760437,0.07787245884537697,12.743593445979059,12.821465904824436,0.7893447875976562,0.36266374588012695,0.9230843782424927,1.01675546169281,1.0623406171798706,1.0663834810256958,0.06717921048402786,1.150859707107724,0.0,0.0,0.9999999998507859
Shuffled-Equil,1.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8663,0.6003843271255493,0.792901152420044,0.7863366347932901,24.295278549194336,5.201155185699463,82.09589385986328,199.9578094482422,0.6184499859809875,0.46477174758911133,0.574733316898346,0.5278499722480774,0.026498543770310093,0.7278051233909866,0.09240758698433638,12.72812406718731,12.820531654171646,0.7893447875976562,0.10000000149011612,0.5463473200798035,1.1012405157089233,1.5573952198028564,1.5573952198028564,0.40767183899879456,2.8505589074279194,2.4163693524315022e-05,0.0,0.01783629538101674
Shuffled-Equil,1.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.8969,0.5590749008178711,0.5607459921518961,0.8389556633778256,25.34197235107422,0.04483266919851303,122.1904296875,259.1881408691406,0.3207833468914032,0.72784024477005,0.2857833206653595,0.25193333625793457,0.01012161374884717,0.7196776531478192,0.08089489303529263,12.707871770486236,12.788766663521528,0.7893447875976562,0.1447295993566513,0.6898237466812134,1.0275986194610596,1.4244425296783447,1.4532451629638672,0.27964136004447937,2.0649369299497584,0.0,0.0,0.013708214433872812
Shuffled-Equil,1.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.8979,0.5737132736682892,0.537583707300822,0.891574691962361,25.64942741394043,0.011138878762722015,110.22261047363281,302.9669494628906,0.26366665959358215,0.7759982347488403,0.2341500073671341,0.2074500024318695,0.008634038085236828,0.7361572641641536,0.08169710729271173,12.678790525533259,12.76048763282597,0.7893447875976562,0.16028402745723724,0.7006829977035522,1.0235474109649658,1.400149941444397,1.4475215673446655,0.26850971579551697,1.9982644734256532,0.0,0.0,0.017619301150379928
Shuffled-Equil,1.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.915,0.5156092801094055,0.51737611951828,0.9441937205468965,26.407329559326172,0.003855199320241809,93.13877868652344,339.5707092285156,0.23184999823570251,0.8009865880012512,0.20736666023731232,0.18583333492279053,0.0071978894874770594,0.7257529887113165,0.0808734530583024,12.686701266095042,12.767574719153345,0.7893447875976562,0.14429974555969238,0.6900991201400757,1.0219581127166748,1.4106390476226807,1.4452691078186035,0.27712976932525635,2.044110775472878,0.0,0.0,0.02070004955358902
Shuffled-Equil,1.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9217,0.5342325478553772,0.5040308855692546,0.9968127491314319,26.192014694213867,0.0012171678245067596,69.09528350830078,367.6749267578125,0.20675000548362732,0.8215447664260864,0.1859000027179718,0.1670166701078415,0.0063173214082625955,0.6972557071041554,0.08130783773958683,12.693631364032626,12.774939201772213,0.7893447875976562,0.16464145481586456,0.6950977444648743,1.0246176719665527,1.396760106086731,1.449037790298462,0.2715190351009369,2.0094441640895213,0.0,0.0,0.01979750501148632
TensorGM-Equil,1.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8751,0.5697176139831543,0.7764163591384887,0.7863366347932901,20.464937210083008,4.013277530670166,70.21255493164062,167.5307159423828,0.5975000262260437,0.4890320897102356,0.5516499876976013,0.500333309173584,0.03006042014767832,0.7472399849206843,0.04074676334857941,12.748101502656937,12.788848266005516,0.7893447875976562,0.11080548912286758,1.0106139183044434,1.0106139183044434,1.0106139183044434,1.0106139183044434,0.06418589502573013,1.0,0.0,0.0,0.12377315370540655
TensorGM-Equil,1.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.8983,0.5453644978523254,0.5519551418304444,0.8389556633778256,22.76395606994629,0.03846468776464462,108.59903717041016,232.98080444335938,0.3117166757583618,0.7355199456214905,0.27781665325164795,0.24560000002384186,0.01104374927210998,0.7326582599193492,0.0264669181779027,10.131994699127972,10.158461617305875,0.7893447875976562,0.4855349361896515,1.0073132514953613,1.0073132514953613,1.0073132514953613,1.0073132514953613,0.06048668175935745,1.0,0.0,0.0,0.09380481547084349
TensorGM-Equil,1.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.8989,0.5704101581573486,0.5340812544504802,0.891574691962361,23.319541931152344,0.010198300704360008,99.3571548461914,277.104248046875,0.2592833340167999,0.7801021933555603,0.2296999990940094,0.20356667041778564,0.009416536447849679,0.7489209243591796,0.027680103667080402,10.10987161193043,10.13755171559751,0.7893447875976562,0.4647003412246704,1.0082989931106567,1.0082989931106567,1.0082989931106567,1.0082989931106567,0.06488986313343048,1.0,0.0,0.0,0.11740066714180139
TensorGM-Equil,1.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.9203,0.4847056372404098,0.5105716664950053,0.9441937205468965,23.638994216918945,0.003381995717063546,82.3372573852539,307.9717102050781,0.22786666452884674,0.8047300577163696,0.20389999449253082,0.18140000104904175,0.007963011869566237,0.737451383471489,0.02870080340653658,10.10957239381969,10.138273197226226,0.7893447875976562,0.4621199369430542,1.0091949701309204,1.0091949701309204,1.0091949701309204,1.0091949701309204,0.06745375692844391,1.0,0.0,0.0,0.1263108856129732
TensorGM-Equil,1.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9243,0.49884382302761077,0.48942541751861574,0.9968127491314319,23.57661247253418,0.0010907670948654413,59.71553421020508,335.8764343261719,0.20341666042804718,0.8250869512557983,0.18203333020210266,0.16384999454021454,0.006908201207307742,0.716822002447666,0.02689020149409771,10.122181755490601,10.149071956984699,0.7893447875976562,0.4539537727832794,1.0097581148147583,1.0097581148147583,1.0097581148147583,1.0097581148147583,0.06890006363391876,1.0,0.0,0.0,0.13706442425564894
Reverse-Equil,1.0,1,256,42,1,Full-Equil tau=1 shared epoch statistic,True,0.8676,0.6112342938423156,0.8119486925125122,0.7863366347932901,31.509153366088867,6.434444427490234,108.16656494140625,254.72158813476562,0.626883327960968,0.45000267028808594,0.5845833420753479,0.5400999784469604,0.02032966718791013,0.7339624177902303,0.05804229620844126,10.140123103745282,10.198165399953723,0.7893447875976562,0.10000000149011612,0.5463473200798035,1.1012405157089233,1.5573952198028564,1.5573952198028564,0.40767183899879456,2.8505589074279194,2.4163693524315022e-05,0.0,-0.960387162858012
Reverse-Equil,1.0,1,256,42,2,Full-Equil tau=1 shared epoch statistic,True,0.8897,0.6153736882686615,0.6031036980946859,0.8389556633778256,32.39226150512695,0.04436624050140381,156.7729034423828,324.68267822265625,0.32850000262260437,0.7188519239425659,0.2939000129699707,0.26194998621940613,0.007939008610481595,0.7241308677386731,0.04960060492157936,10.122229628264904,10.171830233186483,0.7893447875976562,0.1447295993566513,0.6898237466812134,1.0275986194610596,1.4244425296783447,1.4532451629638672,0.27964136004447937,2.0649369299497584,0.0,0.0,-0.9694480201210263
Reverse-Equil,1.0,1,256,42,3,Full-Equil tau=1 shared epoch statistic,True,0.8967,0.6069267916679383,0.5913592315673828,0.891574691962361,33.45766830444336,0.010892737656831741,153.2440948486328,389.3171081542969,0.27131667733192444,0.7664278149604797,0.24378333985805511,0.21815000474452972,0.006776416594004061,0.7463927975043337,0.04988916218280792,10.116674333810806,10.166563495993614,0.7893447875976562,0.16028402745723724,0.7006829977035522,1.0235474109649658,1.400149941444397,1.4475215673446655,0.26850971579551697,1.9982644734256532,0.0,0.0,-0.961149999981134
Reverse-Equil,1.0,1,256,42,4,Full-Equil tau=1 shared epoch statistic,True,0.914,0.555889923453331,0.5680738677342733,0.9441937205468965,34.774539947509766,0.0038342238403856754,137.50848388671875,434.9423828125,0.24353332817554474,0.7888632416725159,0.22033333778381348,0.19743333756923676,0.005768209709686802,0.7427410184068882,0.04974725469946861,10.123038010671735,10.172785265371203,0.7893447875976562,0.14429974555969238,0.6900991201400757,1.0219581127166748,1.4106390476226807,1.4452691078186035,0.27712973952293396,2.044110775472878,0.0,0.0,-0.958017558222204
Reverse-Equil,1.0,1,256,42,5,Full-Equil tau=1 shared epoch statistic,True,0.9177,0.5579656499862671,0.553145127550761,0.9968127491314319,34.83740234375,0.0014880914241075516,109.26244354248047,468.614013671875,0.22111666202545166,0.8083987832069397,0.19990000128746033,0.1790333390235901,0.004980806797306905,0.7162010210784192,0.05062434170395136,10.113986282609403,10.164610624313354,0.7893447875976562,0.16464145481586456,0.6950977444648743,1.0246176719665527,1.396760106086731,1.449037790298462,0.2715190351009369,2.0094441640895213,0.0,0.0,-0.9525082524991334
