mode,q,seed,test_accuracy,epsilon_spent,steps
hessian,0.0,42,0.125,0.9963923627328367,4
hessian,0.25,42,0.125,0.9963923627328367,4
fisher,0.25,42,0.125,0.9963923627328367,4
nested,0.25,42,0.125,0.9963923627328367,4
hessian,0.5,42,0.125,0.9963923627328367,4
fisher,0.5,42,0.125,0.9963923627328367,4
nested,0.5,42,0.125,0.9963923627328367,4
