beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.0,42,1,conv1,0,10,10,26.97146686539858,1.0876531772615017,1e-07,0,16,16,4.438621181097495,0.41009974244655284,1e-07,119.71612411402738
0.0,42,1,conv2,0,145,145,12467.875137108882,1.5382804884445245,1e-07,0,32,32,1130.6431333396563,1.5499303576243335,1e-07,14096717.411108384
0.0,42,1,fc1,663,1569,256,10000000.0,3.0950190399034625,1e-07,8,128,113,10000000.0,4.129665854241013,1e-07,100000000000000.0
0.0,42,1,fc2,7,129,116,10000000.0,3.134568400900185,1e-07,0,10,9,10000000.0,4.7810429752790515,1e-07,100000000000000.0
0.25,42,1,conv1,0,10,10,5.2509452147436715,0.5469452722597762,1e-07,0,16,16,4.4370412109472115,0.4099954091753143,1e-07,23.298660314243726
0.25,42,1,conv2,0,145,145,158.35803192887923,0.8320748306816285,1.0000000000000001e-07,0,32,32,1124.6581210827849,1.5486554048630974,1e-07,178098.64664750098
0.25,42,1,fc1,663,1569,599,10000000.0,4.407029465124097,1e-07,8,128,113,10000000.0,4.421672826706878,1e-07,100000000000000.0
0.25,42,1,fc2,7,129,118,10000000.0,3.707854144738604,1e-07,0,10,9,10000000.0,4.80750946648588,1e-07,100000000000000.0
0.5,42,1,conv1,0,10,10,1.022281279169575,0.006848183791596917,1e-07,0,16,16,4.435461803202588,0.40989107701894095,1e-07,4.534289565885731
0.5,42,1,conv2,0,145,145,2.011350450707432,0.1598322877113078,1e-07,0,32,32,1118.704790238606,1.5473810797783505,9.999999999999998e-08,2250.1073840549834
0.5,42,1,fc1,663,1569,831,10000000.0,5.768382879496326,1e-07,8,128,113,10000000.0,4.767451984435515,1e-07,100000000000000.0
0.5,42,1,fc2,7,129,118,10000000.000000002,4.411355421158457,1e-07,0,10,10,1183143.8803067198,4.1945625835687155,1e-07,11831438803067.201
0.75,42,1,conv1,0,10,10,5.024544208225094,0.5344929693913738,1e-07,0,16,16,4.433882957663432,0.40978674597828424,1e-07,22.278240934875743
0.75,42,1,conv2,0,145,145,42.73057757454999,0.6048969913569036,9.999999999999998e-08,0,32,32,1112.7829731028826,1.5461073839221129,1e-07,47549.8591558111
0.75,42,1,fc1,663,1569,843,10000000.0,5.713375345061311,1e-07,8,128,114,10000000.000000002,4.943298036368997,9.999999999999998e-08,100000000000000.02
0.75,42,1,fc2,7,129,118,10000000.000000002,4.517319328427172,1e-07,0,10,10,136695.45720403816,3.504297949464032,1e-07,1366954572040.3818
1.0,42,1,conv1,0,10,10,25.808558665849436,1.0752007444984468,1.0000000000000001e-07,0,16,16,4.43230467412962,0.4096824160541966,1e-07,114.39139520719296
1.0,42,1,conv2,0,145,145,3081.8886965071706,1.3089730912920523,1e-07,0,32,32,1106.892502859114,1.5448343188507572,1.0000000000000001e-07,3411319.4928100347
1.0,42,1,fc1,663,1569,849,10000000.0,5.594970680083775,1e-07,8,128,114,10000000.0,4.962534593612566,1e-07,100000000000000.0
1.0,42,1,fc2,7,129,118,10000000.0,4.527720560728447,1e-07,0,10,10,15876.270753717741,2.815858385649123,1e-07,158762707537.1774
