seed,beta,reference_beta,test_accuracy_difference,clip_fraction_difference,transformed_norm_p90_difference,transformed_norm_p99_difference,transformed_block_floored_condition_number_difference
42,0.0,0.5,0.03125,0.0,-953.4566497802734,-1047.8089752197266,22042143822878.82
42,0.25,0.5,0.0234375,0.0,-670.9122619628906,-743.7327880859375,22042140343200.023
42,0.75,0.5,-0.00390625,0.0,1244.506103515625,1408.8927001953125,-2616121046427.328
42,1.0,0.5,-0.02734375,0.0,3344.953125,3781.9730224609375,-2918168171587.6953
