damping,dp_adamw_accuracy,dp_kfc_accuracy,dp_kfc_a_accuracy,delta_kfc_vs_adamw,delta_kfc_a_vs_adamw,delta_kfc_a_vs_kfc
0.001,0.9522,0.9225,0.9518,-0.02970000000000006,-0.00040000000000006697,0.029299999999999993
0.01,0.9522,0.9422,0.9517,-0.010000000000000009,-0.000500000000000056,0.009499999999999953
0.1,0.9522,0.952,0.9522,-0.000200000000000089,0.0,0.000200000000000089
