method,damping,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,noise_multiplier,epsilon,accountant_steps,logical_steps,samples,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,builder_seconds,private_train_seconds,algorithm_seconds,logical_steps_per_second,samples_per_second,preconditioner_build_seconds,logical_batch_size,physical_batch_size,accumulation_steps,backward_calls,optimizer_steps,noise_events,bk_cache_bytes,temporary_per_sample_grad_bytes,fallback_temporary_grad_bytes,cache_empty_after_step,layer_strategies,parameters_finite,total_parameter_count,trainable_parameter_count,lora_parameter_count,head_parameter_count,lora_a_norm,lora_b_norm,q_proj_lora_norm,v_proj_lora_norm,head_norm,frozen_backbone_unchanged,trainable_lora_updated,head_updated,preconditioned_layers,identity_geometry_layers,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,builder_forward_calls,builder_logical_batches,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,group_norm_identity,group_norm_patch_head,layer_norm_blocks_0_attn_q_proj_lora_A,layer_norm_blocks_0_attn_q_proj_lora_B,layer_norm_blocks_0_attn_v_proj_lora_A,layer_norm_blocks_0_attn_v_proj_lora_B,layer_norm_blocks_1_attn_q_proj_lora_A,layer_norm_blocks_1_attn_q_proj_lora_B,layer_norm_blocks_1_attn_v_proj_lora_A,layer_norm_blocks_1_attn_v_proj_lora_B,layer_norm_blocks_2_attn_q_proj_lora_A,layer_norm_blocks_2_attn_q_proj_lora_B,layer_norm_blocks_2_attn_v_proj_lora_A,layer_norm_blocks_2_attn_v_proj_lora_B,layer_norm_blocks_3_attn_q_proj_lora_A,layer_norm_blocks_3_attn_q_proj_lora_B,layer_norm_blocks_3_attn_v_proj_lora_A,layer_norm_blocks_3_attn_v_proj_lora_B,layer_norm_blocks_4_attn_q_proj_lora_A,layer_norm_blocks_4_attn_q_proj_lora_B,layer_norm_blocks_4_attn_v_proj_lora_A,layer_norm_blocks_4_attn_v_proj_lora_B,layer_norm_blocks_5_attn_q_proj_lora_A,layer_norm_blocks_5_attn_q_proj_lora_B,layer_norm_blocks_5_attn_v_proj_lora_A,layer_norm_blocks_5_attn_v_proj_lora_B,layer_norm_blocks_6_attn_q_proj_lora_A,layer_norm_blocks_6_attn_q_proj_lora_B,layer_norm_blocks_6_attn_v_proj_lora_A,layer_norm_blocks_6_attn_v_proj_lora_B,layer_norm_blocks_7_attn_q_proj_lora_A,layer_norm_blocks_7_attn_q_proj_lora_B,layer_norm_blocks_7_attn_v_proj_lora_A,layer_norm_blocks_7_attn_v_proj_lora_B,layer_norm_blocks_8_attn_q_proj_lora_A,layer_norm_blocks_8_attn_q_proj_lora_B,layer_norm_blocks_8_attn_v_proj_lora_A,layer_norm_blocks_8_attn_v_proj_lora_B,layer_norm_blocks_9_attn_q_proj_lora_A,layer_norm_blocks_9_attn_q_proj_lora_B,layer_norm_blocks_9_attn_v_proj_lora_A,layer_norm_blocks_9_attn_v_proj_lora_B,layer_norm_blocks_10_attn_q_proj_lora_A,layer_norm_blocks_10_attn_q_proj_lora_B,layer_norm_blocks_10_attn_v_proj_lora_A,layer_norm_blocks_10_attn_v_proj_lora_B,layer_norm_blocks_11_attn_q_proj_lora_A,layer_norm_blocks_11_attn_q_proj_lora_B,layer_norm_blocks_11_attn_v_proj_lora_A,layer_norm_blocks_11_attn_v_proj_lora_B,layer_norm_head,scale_match,p90,p99
dp_kfc,0.001,42,5,0.4057924019220548,0.3997168593913316,0.9225,0.9225,3.60315,0.72021484375,2.9959030525484205,975,195,49920,0.2952123284339905,0.7404341697692871,0.0226951315999031,1811.082275390625,10158.2861328125,17813.2734375,2.781561673618853,125.89735270943493,128.67891438305378,1.5488808605058653,396.5135002895015,2.781561673618853,256,256,1,195,195,195,2015676416,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,10.925989427810071,7.127991252139514,8.297456213789214,10.066664027742538,2.354135504707788,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5756032512,6664749056,10.0,10.0,10.0,2560.0,2560.0,7090176,2258.576904296875,21.238828659057617,30.93886947631836,64.67853546142578,144.1950225830078,201.2152862548828,23.450288772583008,34.948570251464844,235.4729766845703,304.90753173828125,49.70000457763672,55.01079177856445,491.5692443847656,722.3743286132812,41.6644401550293,52.60128021240234,330.21826171875,620.6361694335938,48.5729866027832,67.27285766601562,372.74609375,725.7137451171875,36.69327926635742,60.01009368896485,292.9566955566406,494.7498779296875,43.0444450378418,58.863399505615234,542.24951171875,741.500244140625,40.37771987915039,51.01409149169922,547.5320434570312,730.699951171875,35.43828201293945,39.50608444213867,559.0944213867188,564.4209594726562,31.96662712097168,37.33602142333984,294.425048828125,279.7440490722656,21.23272705078125,35.53837203979492,193.9652557373047,188.26321411132807,27.34915542602539,37.143829345703125,172.7933807373047,116.6720199584961,21.238828659057617,,1811.082275390625,10158.2861328125
dp_kfc_a,0.001,42,5,0.1907020551367448,0.2071399345238693,0.9518,0.9518,3.7879,0.72021484375,2.9959030525484205,975,195,49920,0.1269631385803222,0.8940674662590027,0.0002295705780852,3.5078272819519043,156.3094482421875,319.058349609375,1.3736513201147318,125.2518238183111,126.62547513842584,1.556863557395099,398.55707069314536,1.3736513201147318,256,256,1,195,195,195,2014062592,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,10.047267547948548,6.133451632793037,8.264316043865696,8.382594731881989,2.860748583155168,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5748667904,6534725632,10.0,10.0,0.0,0.0,2560.0,3545088,26.047569274902344,15.66645050048828,0.5689064860343933,1.267124891281128,2.233477830886841,3.724369764328003,0.3906125724315643,0.7013686299324036,3.151956558227539,4.893914222717285,0.7531471848487854,1.0650418996810913,5.701215744018555,10.40832233428955,0.7418645024299622,1.0888956785202026,4.530682563781738,10.45923137664795,0.8637732863426208,1.2854390144348145,3.989944458007813,10.54790210723877,0.6548786163330078,1.035361886024475,3.080608367919922,5.425978183746338,0.6989014744758606,1.1533032655715942,3.845337629318237,6.474606513977051,0.716001033782959,0.9251480102539062,3.6002309322357178,5.633418083190918,0.6208431720733643,0.8706452250480652,3.702695846557617,4.859739303588867,0.5853862166404724,0.838442862033844,2.706111192703247,3.420323848724365,0.4514920711517334,0.8170356750488281,1.754061937332153,2.763030767440796,0.358279287815094,0.6233903169631958,1.1941720247268677,1.515588641166687,15.66645050048828,1.0,3.5078272819519043,156.3094482421875
dp_kfc,0.01,42,5,0.2685046407847832,0.2765356836892664,0.9422,0.9422,3.7312,0.72021484375,2.9959030525484205,975,195,49920,0.2158653885126114,0.8138872385025024,0.0044134929776191,108.18881225585938,2371.716552734375,4657.59130859375,2.634034223854542,121.35981538426132,123.99384960811584,1.6067921608365334,411.33879317415256,2.634034223854542,256,256,1,195,195,195,2015676416,38737920,0,True,"{'blocks.0.attn.q_proj.lora_A': 'bk_ghost', 'blocks.0.attn.q_proj.lora_B': 'bk_ghost', 'blocks.0.attn.v_proj.lora_A': 'bk_ghost', 'blocks.0.attn.v_proj.lora_B': 'bk_ghost', 'blocks.1.attn.q_proj.lora_A': 'bk_ghost', 'blocks.1.attn.q_proj.lora_B': 'bk_ghost', 'blocks.1.attn.v_proj.lora_A': 'bk_ghost', 'blocks.1.attn.v_proj.lora_B': 'bk_ghost', 'blocks.2.attn.q_proj.lora_A': 'bk_ghost', 'blocks.2.attn.q_proj.lora_B': 'bk_ghost', 'blocks.2.attn.v_proj.lora_A': 'bk_ghost', 'blocks.2.attn.v_proj.lora_B': 'bk_ghost', 'blocks.3.attn.q_proj.lora_A': 'bk_ghost', 'blocks.3.attn.q_proj.lora_B': 'bk_ghost', 'blocks.3.attn.v_proj.lora_A': 'bk_ghost', 'blocks.3.attn.v_proj.lora_B': 'bk_ghost', 'blocks.4.attn.q_proj.lora_A': 'bk_ghost', 'blocks.4.attn.q_proj.lora_B': 'bk_ghost', 'blocks.4.attn.v_proj.lora_A': 'bk_ghost', 'blocks.4.attn.v_proj.lora_B': 'bk_ghost', 'blocks.5.attn.q_proj.lora_A': 'bk_ghost', 'blocks.5.attn.q_proj.lora_B': 'bk_ghost', 'blocks.5.attn.v_proj.lora_A': 'bk_ghost', 'blocks.5.attn.v_proj.lora_B': 'bk_ghost', 'blocks.6.attn.q_proj.lora_A': 'bk_ghost', 'blocks.6.attn.q_proj.lora_B': 'bk_ghost', 'blocks.6.attn.v_proj.lora_A': 'bk_ghost', 'blocks.6.attn.v_proj.lora_B': 'bk_ghost', 'blocks.7.attn.q_proj.lora_A': 'bk_ghost', 'blocks.7.attn.q_proj.lora_B': 'bk_ghost', 'blocks.7.attn.v_proj.lora_A': 'bk_ghost', 'blocks.7.attn.v_proj.lora_B': 'bk_ghost', 'blocks.8.attn.q_proj.lora_A': 'bk_ghost', 'blocks.8.attn.q_proj.lora_B': 'bk_ghost', 'blocks.8.attn.v_proj.lora_A': 'bk_ghost', 'blocks.8.attn.v_proj.lora_B': 'bk_ghost', 'blocks.9.attn.q_proj.lora_A': 'bk_ghost', 'blocks.9.attn.q_proj.lora_B': 'bk_ghost', 'blocks.9.attn.v_proj.lora_A': 'bk_ghost', 'blocks.9.attn.v_proj.lora_B': 'bk_ghost', 'blocks.10.attn.q_proj.lora_A': 'bk_ghost', 'blocks.10.attn.q_proj.lora_B': 'bk_ghost', 'blocks.10.attn.v_proj.lora_A': 'bk_ghost', 'blocks.10.attn.v_proj.lora_B': 'bk_ghost', 'blocks.11.attn.q_proj.lora_A': 'bk_ghost', 'blocks.11.attn.q_proj.lora_B': 'bk_ghost', 'blocks.11.attn.v_proj.lora_A': 'bk_ghost', 'blocks.11.attn.v_proj.lora_B': 'bk_ghost', 'head': 'bk_ghost'}",True,5600074,75658,73728,1930,10.45658118919757,6.663361213176303,8.284387972977392,9.225474987052449,2.4940259167165446,True,True,True,"['blocks.0.attn.q_proj.lora_A', 'blocks.0.attn.q_proj.lora_B', 'blocks.0.attn.v_proj.lora_A', 'blocks.0.attn.v_proj.lora_B', 'blocks.1.attn.q_proj.lora_A', 'blocks.1.attn.q_proj.lora_B', 'blocks.1.attn.v_proj.lora_A', 'blocks.1.attn.v_proj.lora_B', 'blocks.10.attn.q_proj.lora_A', 'blocks.10.attn.q_proj.lora_B', 'blocks.10.attn.v_proj.lora_A', 'blocks.10.attn.v_proj.lora_B', 'blocks.11.attn.q_proj.lora_A', 'blocks.11.attn.q_proj.lora_B', 'blocks.11.attn.v_proj.lora_A', 'blocks.11.attn.v_proj.lora_B', 'blocks.2.attn.q_proj.lora_A', 'blocks.2.attn.q_proj.lora_B', 'blocks.2.attn.v_proj.lora_A', 'blocks.2.attn.v_proj.lora_B', 'blocks.3.attn.q_proj.lora_A', 'blocks.3.attn.q_proj.lora_B', 'blocks.3.attn.v_proj.lora_A', 'blocks.3.attn.v_proj.lora_B', 'blocks.4.attn.q_proj.lora_A', 'blocks.4.attn.q_proj.lora_B', 'blocks.4.attn.v_proj.lora_A', 'blocks.4.attn.v_proj.lora_B', 'blocks.5.attn.q_proj.lora_A', 'blocks.5.attn.q_proj.lora_B', 'blocks.5.attn.v_proj.lora_A', 'blocks.5.attn.v_proj.lora_B', 'blocks.6.attn.q_proj.lora_A', 'blocks.6.attn.q_proj.lora_B', 'blocks.6.attn.v_proj.lora_A', 'blocks.6.attn.v_proj.lora_B', 'blocks.7.attn.q_proj.lora_A', 'blocks.7.attn.q_proj.lora_B', 'blocks.7.attn.v_proj.lora_A', 'blocks.7.attn.v_proj.lora_B', 'blocks.8.attn.q_proj.lora_A', 'blocks.8.attn.q_proj.lora_B', 'blocks.8.attn.v_proj.lora_A', 'blocks.8.attn.v_proj.lora_B', 'blocks.9.attn.q_proj.lora_A', 'blocks.9.attn.q_proj.lora_B', 'blocks.9.attn.v_proj.lora_A', 'blocks.9.attn.v_proj.lora_B']",['head'],5756032512,6664749056,10.0,10.0,10.0,2560.0,2560.0,7090176,482.4712829589844,17.834964752197266,6.897844314575195,16.780385971069336,29.06365203857422,51.86540222167969,5.273835182189941,9.15386199951172,48.5908203125,73.81011199951172,10.752652168273926,14.242427825927734,91.11358642578124,167.7045135498047,10.183006286621094,13.775833129882812,70.3791275024414,151.53285217285156,11.777997016906738,17.052818298339844,68.38992309570312,161.89573669433594,8.927454948425293,14.42687702178955,56.038665771484375,94.81497955322266,10.356616020202637,15.681246757507324,86.6328353881836,147.5637969970703,9.997587203979492,13.171995162963867,91.69374084472656,160.25914001464844,8.709712028503418,10.978826522827148,111.4723892211914,130.69210815429688,8.170283317565918,10.459613800048828,75.41297912597656,70.06758117675781,5.867237091064453,10.559489250183104,50.36721420288086,54.83878326416016,5.351776599884033,7.718602180480957,35.037654876708984,28.74005508422852,17.834964752197266,,108.18881225585938,2371.716552734375
