method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon,accountant_steps,noise_multiplier,clip_fraction,mean_clip_factor,mean_clipping_severity,mean_transformed_norm,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,samples,batches,algorithm_epoch_seconds,wall_epoch_seconds,private_samples_per_second,seconds_per_batch,exact_forward_backward_seconds,per_sample_precondition_clip_seconds,ghost_first_pass_seconds,ghost_second_pass_seconds,aggregate_transform_seconds,noise_step_seconds,synthetic_generation_seconds,activation_forward_seconds,curvature_backward_seconds,factor_accumulation_seconds,matrix_function_seconds,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_samples,operator_state_bytes,stored_scalar_count,preconditioner_build_seconds,build_allocated_at_phase_start_bytes,build_reserved_at_phase_start_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,build_incremental_peak_bytes,grad_sample_bytes,private_train_seconds,train_allocated_at_phase_start_bytes,train_reserved_at_phase_start_bytes,train_peak_cuda_allocated_bytes,train_peak_cuda_reserved_bytes,train_incremental_peak_bytes,evaluation_seconds,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes
M0_original,7,1,0.7702276856980772,0.47021412575244903,0.9132,0.7861127240333559,234,1.068115234375,0.7373297214508057,0.2970445454120636,0.7029554843902588,3896.66943359375,432.998046875,12168.599609375,43947.984375,69178.8125,59904,234,11.211417838931084,12.391447622328997,5661.269910875369,0.04521953625779631,0.9122902108356357,2.620095832273364,0.0,0.0,0.0,0.10952604375779629,0.08376846462488174,0.16229964327067137,0.11471349280327559,0.05258116219192743,0.21542796958237886,10,10,2560,2560,10069164,2517291,0.6300463546067476,9349120,23068672,167334912,260046848,157985792,211888128,10.581371484324336,19419648,260046848,849933312,1293942784,830513664,1.1456553488969803,849933312,1293942784
M0_original,7,2,0.5289776681834816,0.4627473406724632,0.9383,0.8385078418579571,468,1.068115234375,0.25053417682647705,0.7761698961257935,0.22383010387420654,352.0861511230469,0.0008769069099798799,762.5799560546875,5863.7734375,8631.138671875,59904,234,10.604897888377309,11.781520562246442,5748.284268947419,0.044535027848731756,0.8776883892714977,2.6129664350301027,0.0,0.0,0.0,0.09155218489468098,0.003442799672484398,0.0038097165524959564,0.006274561397731304,0.03455561492592096,0.13495784532278776,10,10,2560,2560,10069164,2517291,0.18370137177407742,9349120,1293942784,167334912,1293942784,157985792,211888128,10.421196516603231,19419648,1293942784,850424832,1293942784,831005184,1.1428085016086698,850424832,1293942784
M0_original,7,3,0.4935897887389884,0.4520309184201062,0.9398,0.8909029596825585,702,1.068115234375,0.18825119733810425,0.8313936591148376,0.16860635578632355,259.85711669921875,3.3686177630443126e-05,167.79156494140625,4543.953125,6944.24755859375,59904,234,10.587997356429696,11.756614903919399,5758.838203742882,0.044453410730243496,0.8795733526349068,2.6136413421481848,0.0,0.0,0.0,0.09134733863174915,0.0033721737563610077,0.005168642848730087,0.0062413811683654785,0.03455145098268986,0.13591190986335278,10,10,2560,2560,10069164,2517291,0.18589924555271864,9349120,1293942784,167334912,1293942784,157985792,211888128,10.402098110876977,19419648,1293942784,850424832,1293942784,831005184,1.1347322957590222,850424832,1293942784
M0_original,7,4,0.4566312321485617,0.4161061441898346,0.9499,0.9432980775071597,936,1.068115234375,0.16479700803756714,0.8530669808387756,0.14693306386470795,233.3531951904297,1.0535284673096612e-05,59.66144561767578,4356.97998046875,7057.7734375,59904,234,10.572202659212053,11.749208143912256,5769.769477622683,0.044369190310438476,0.8824740797281265,2.6152259092777967,0.0,0.0,0.0,0.09124796651303768,0.0033973874524235725,0.0037063471972942352,0.006269832141697407,0.034536728635430336,0.14124016277492046,10,10,2560,2560,10069164,2517291,0.1898121265694499,9349120,1293942784,167334912,1293942784,157985792,211888128,10.382390532642603,19419648,1293942784,850424832,1293942784,831005184,1.1405002642422915,850424832,1293942784
M0_original,7,5,0.42783106930362874,0.377986100288108,0.9509,0.995693195331761,1170,1.068115234375,0.15264423191547394,0.8635483384132385,0.1364516168832779,212.88897705078125,7.4125528044532984e-06,32.370635986328125,4247.67431640625,7243.3740234375,59904,234,10.57885609101504,11.749557424336672,5767.589299184466,0.0443859620927236,0.877761579118669,2.614329321309924,0.0,0.0,0.0,0.09130519349128008,0.003431239165365696,0.0036808550357818604,0.006215500645339489,0.034523277543485165,0.1440416080877185,10,10,2560,2560,10069164,2517291,0.19254096131771803,9349120,1293942784,167334912,1293942784,157985792,211888128,10.386315129697323,19419648,1293942784,850424832,1293942784,831005184,1.1364348689094186,850424832,1293942784
