estimator,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR,scope
KFAC-M-1,conv1,0.8048908633580266,0.7893313543150399,0.8626952056098109,0.20782294033705828,0.9789458983505113,0.023052843908468883,layer_seed_mean
KFAC-M-1,conv2,0.19012414058154933,0.27450005629356533,0.9902753094052356,0.1454103068377174,0.9998939090379836,0.020434269138301413,layer_seed_mean
KFAC-M-1,fc1,0.8121844997787965,0.6047239950830365,0.8425202267258599,0.46658180486796,0.9125161537218452,0.07973292469978333,layer_seed_mean
KFAC-M-1,fc2,0.4847768339870995,0.3430664834816343,0.9415334203878795,0.38042334540138145,0.9290931095888423,0.06601826101541519,layer_seed_mean
KFAC-M-3,conv1,0.8094240026081708,0.7893313543150399,0.8626952056098109,0.2106724058831889,0.979109573120251,0.01421399942288796,layer_seed_mean
KFAC-M-3,conv2,0.205062286403671,0.27450005629356533,0.9902753094052356,0.11595500710681943,0.9999033035521516,0.009213298442773521,layer_seed_mean
KFAC-M-3,fc1,0.7940346876920129,0.6047239950830365,0.8425202267258599,0.4468477076715593,0.9170160211016398,0.039589857061704,layer_seed_mean
KFAC-M-3,fc2,0.48008982722709587,0.3430664834816343,0.9415334203878795,0.3725363096358407,0.9318052191877739,0.034598659723997116,layer_seed_mean
KFAC-M-9,conv1,0.8095758415454907,0.7893313543150399,0.8626952056098109,0.2105429487633869,0.9791261137460885,0.010360864534353217,layer_seed_mean
KFAC-M-9,conv2,0.20547733067860052,0.27450005629356533,0.9902753094052356,0.11498956001681433,0.9999088697646896,0.009728403917203346,layer_seed_mean
KFAC-M-9,fc1,0.7868522745429495,0.6047239950830365,0.8425202267258599,0.4370104671321066,0.920030225176495,0.026062361275156338,layer_seed_mean
KFAC-M-9,fc2,0.476170173924821,0.3430664834816343,0.9415334203878795,0.36570407887341844,0.9339986009207939,0.023356259179612,layer_seed_mean
KFAC-U-1,conv1,1.1451872079418626,0.7893313543150399,0.8626952056098109,6.269333516866794,0.9810021434828613,6.773034731547038,layer_seed_mean
KFAC-U-1,conv2,5.190762990241847,0.27450005629356533,0.9902753094052356,7.199061542404771,0.9999407955763551,6.306286811828613,layer_seed_mean
KFAC-U-1,fc1,7.288508994752003,0.6047239950830365,0.8425202267258599,6.3287095533373225,0.7750459071213321,5.485267321268718,layer_seed_mean
KFAC-U-1,fc2,3.4700466925523386,0.3430664834816343,0.9415334203878795,3.9917165518235946,0.8172091572550996,3.8697734673817954,layer_seed_mean
KFAC-U-3,conv1,1.162319517385261,0.7893313543150399,0.8626952056098109,6.343962640292478,0.9808910252374846,6.8529713948567705,layer_seed_mean
KFAC-U-3,conv2,5.251693165688876,0.27450005629356533,0.9902753094052356,7.279938886050291,0.9999433216089448,6.378357887268066,layer_seed_mean
KFAC-U-3,fc1,7.354665846279701,0.6047239950830365,0.8425202267258599,6.387776669542525,0.7756010292102902,5.534889380137126,layer_seed_mean
KFAC-U-3,fc2,3.486186479753643,0.3430664834816343,0.9415334203878795,4.010294550342796,0.8176516824972943,3.8843069076538086,layer_seed_mean
KFAC-U-9,conv1,1.166383280152556,0.7893313543150399,0.8626952056098109,6.362192696528834,0.9809669646912932,6.872626781463623,layer_seed_mean
KFAC-U-9,conv2,5.2498470372307775,0.27450005629356533,0.9902753094052356,7.277488491377583,0.999943021848451,6.376177469889323,layer_seed_mean
KFAC-U-9,fc1,7.349473592445072,0.6047239950830365,0.8425202267258599,6.383531491704197,0.7742518685272736,5.532233556111653,layer_seed_mean
KFAC-U-9,fc2,3.4747009112373597,0.3430664834816343,0.9415334203878795,3.9967579917841007,0.8144040046796954,3.8699355125427246,layer_seed_mean
KFLR,conv1,0.8080656011870484,0.78933135431504,0.8626952056098109,0.2082810935001304,0.9791878463626712,0.0,layer_seed_mean
KFLR,conv2,0.20100347369539737,0.27450005629356533,0.9902753094052354,0.12302581573074636,0.9999083982304608,0.0,layer_seed_mean
KFLR,fc1,0.7935833580176548,0.6047239950830365,0.8425202267258599,0.4462394745889974,0.9171390269744075,0.0,layer_seed_mean
KFLR,fc2,0.47808634752320045,0.3430664834816343,0.9415334203878795,0.3677872451559323,0.9328673751767104,0.0,layer_seed_mean
KFRA-block,conv1,0.835580878702131,0.78933135431504,0.8626952056098109,0.2937241149362766,0.971125199360016,0.16397413611412048,layer_seed_mean
KFRA-block,conv2,0.233738515627552,0.27450005629356533,0.9902753094052354,0.06628194591643508,0.9999303401144287,0.05094645172357559,layer_seed_mean
KFRA-block,fc1,0.810346129070959,0.6047239950830365,0.8425202267258599,0.5384061988193185,0.8595553178836302,0.3973415195941925,layer_seed_mean
KFRA-block,fc2,0.47808634537357625,0.3430664834816343,0.9415334203878795,0.3677872436405883,0.9328673764627696,1.8864672313156916e-07,layer_seed_mean
KFAC-M-1,ALL,0.572994084426368,0.5029054722933191,0.9092560405321964,0.3000595993610293,0.9551122676747956,0.047309574690492205,global_mean
KFAC-M-3,ALL,0.5721527009827376,0.5029054722933191,0.9092560405321964,0.28650285757435207,0.9569585292404541,0.02440395366284065,global_mean
KFAC-M-9,ALL,0.5695189051729654,0.5029054722933191,0.9092560405321964,0.28206176369643154,0.9582659524020167,0.017376972226581223,global_mean
KFAC-U-1,ALL,4.273626471372013,0.5029054722933191,0.9092560405321964,5.947205291108121,0.893299500858912,5.608590583006541,global_mean
KFAC-U-3,ALL,4.313716252276871,0.5029054722933191,0.9092560405321964,6.005493186557023,0.8935217646385034,5.662631392478943,global_mean
KFAC-U-9,ALL,4.310101205266442,0.5029054722933191,0.9092560405321964,6.004992667848679,0.8923914649366783,5.662743330001831,global_mean
KFLR,ALL,0.5701846951058253,0.5029054722933191,0.9092560405321964,0.2863334072439516,0.9572756616860625,0.0,global_mean
KFRA-block,ALL,0.5894379671935546,0.5029054722933191,0.9092560405321964,0.31654987582815464,0.9408695584552111,0.15306557401965293,global_mean
