method,seeds,final_accuracy_mean,final_accuracy_std,clip_fraction_mean,clip_fraction_std,mean_clip_factor_mean,mean_clip_factor_std,preconditioner_build_time_mean,total_algorithm_seconds_mean,total_state_metric_seconds_mean,total_wall_seconds_mean,peak_allocated_memory_mean,peak_allocated_memory_max
DP-KFC,1,0.17578125,,1.0,,0.0010707955807447433,,0.12434516288340092,0.1821468761190772,0.00044077634811401367,0.2120256293565035,160109568.0,160109568
DP-KFLR,1,0.17578125,,1.0,,0.0010882019996643066,,0.12856537476181984,0.1743183694779873,0.0004635220393538475,0.20181934628635645,160109568.0,160109568
DP-KFRA-block,1,0.17578125,,1.0,,0.0010881421621888876,,0.12699523381888866,0.17266109492629766,0.00044057704508304596,0.20017550140619278,160109568.0,160109568
