estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,36,9,1,4,0.008656008169054985,0.008656008169054985,0.00841942336410284,0.010005464777350426,2,5,9374720,29748736,20374016,23068672,46137344,23068672,0
KFLR,9,-1,36,9,1,4,0.008419327437877655,0.008419327437877655,0.006539945490658283,0.008808390237390995,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-1,1,0,4,1,1,4,0.0027439072728157043,0.0027439072728157043,0.0027268705889582634,0.0030349595472216606,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,1,36,9,1,4,0.00770230870693922,0.00770230870693922,0.007676491513848305,0.007915216498076916,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-U-1,1,1,4,1,1,4,0.0027413200587034225,0.0027413200587034225,0.0027120886370539665,0.0027554603293538094,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,0,12,3,1,4,0.004008153453469276,0.004008153453469276,0.003989729098975658,0.004584040492773056,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-M-9,9,1,36,9,1,4,0.0076025910675525665,0.0076025910675525665,0.007576752454042435,0.007618912495672703,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-9,9,0,36,9,1,4,0.007672486826777458,0.007672486826777458,0.007656129077076912,0.00769953615963459,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-9,9,0,36,9,1,4,0.007585209794342518,0.007585209794342518,0.007569961249828339,0.008519809693098068,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-M-1,1,1,4,1,1,4,0.002702203579246998,0.002702203579246998,0.002692614682018757,0.007124456577003002,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
KFAC-U-3,3,0,12,3,1,4,0.005198701284825802,0.005198701284825802,0.005131774581968784,0.005277235992252827,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-U-3,3,1,12,3,1,4,0.006239151582121849,0.006239151582121849,0.005100305192172527,0.01321421843022108,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFRA-block,0,-1,0,0,1,4,0.006296707317233086,0.006296707317233086,0.006234737113118172,0.010294165462255478,2,5,9374720,31420928,22046208,23068672,50331648,27262976,4
KFAC-U-1,1,0,4,1,1,4,0.0027176113799214363,0.0027176113799214363,0.002697717398405075,0.002729351632297039,2,5,9374720,29748736,20374016,23068672,46137344,23068672,4
KFAC-M-3,3,1,12,3,1,4,0.003983316011726856,0.003983316011726856,0.0039742738008499146,0.003995252773165703,2,5,9374720,29748224,20373504,23068672,46137344,23068672,4
