beta,test_accuracy,accuracy_auc,test_loss,clip_fraction,mean_clip_factor,wiener_norm_ratio,cos_filtered_clean,nsr_filtered,wiener_gain_median,wiener_gain_p90,wiener_gain_p99,gain_frac_gt_001,gain_frac_gt_01,gain_frac_gt_05,gain_frac_gt_09,signal_to_noise_median,signal_to_noise_p90,signal_to_noise_p99,eig_zero_fraction,eig_near_zero_fraction,delta_accuracy_vs_adamw
1e-07,0.9161,3.4995,0.3400384711503982,0.3224559426307678,0.7289500832557678,0.791676236421634,0.006379157020591,136.79722685202574,0.8481341600418091,0.998445212841034,0.9999932050704956,0.9205787781350482,0.8198897565457051,0.6698667891593937,0.4461644464859899,5.584759605881118e-07,6.421778380172327e-05,0.0146854650229215,0.0024804777216352,0.1739549839228295,-0.011499999999999955
1e-06,0.9084,3.46005,0.3619634772777557,0.3441506326198578,0.7106055021286011,0.6255835062418229,0.0071272088883396,104.23873615753956,0.3298438489437103,0.9851565957069396,0.999938666820526,0.8134129536058796,0.6445107946715664,0.4223702342673404,0.2107946715663757,4.921895424558898e-07,6.636998296016827e-05,0.0163062158972024,0.0023886081763895,0.1860817638952687,-0.019199999999999995
1e-05,0.8978,3.40095,0.4062800738811493,0.382912665605545,0.6776431202888489,0.4445239161833739,0.0085204169106407,69.64809486193535,0.0406326577067375,0.8639982342720032,0.9994142055511476,0.6347726228755167,0.399632521819017,0.1993109784106568,0.0876435461644464,4.235359369886282e-07,6.352847412927076e-05,0.0170621760189533,0.0025264124942581,0.2037666513550758,-0.029799999999999938
0.0001,0.8788,3.27515,0.4854814707517624,0.4467347860336303,0.6211533546447754,0.2790802578131358,0.0115955882825148,40.352566450070114,0.0038582247216254,0.3182600140571594,0.989672064781189,0.3970142397795131,0.1770326136885622,0.072668810289389,0.0290767110702802,3.873168452628306e-07,4.668349356506951e-05,0.0095825530588626,0.002572347266881,0.2137804317868626,-0.048799999999999955
0.001,0.8401,3.0644,0.6032835284233093,0.5592147707939148,0.5145299434661865,0.1662871368420429,0.0166058261616107,21.23675336104173,0.0002285371010657,0.0236708782613277,0.8710992336273193,0.1441892512632062,0.0518603582912264,0.0210381258612769,0.0085898024804777,2.2858935722069878e-07,2.424477497697808e-05,0.0067603886127471,0.002939825447864,0.2444189251263206,-0.08750000000000002
0.01,0.7604,2.7456,0.939894249534607,0.6915264129638672,0.3800702691078186,0.124147571508701,0.0230524188528458,14.15355183038956,1.1681348041747697e-05,0.0013308336492627,0.3002978563308716,0.0423059255856683,0.0167661920073495,0.0073954983922829,0.0036288470372071,1.16814845796398e-07,1.3326070984476246e-05,0.0042918091639876,0.0033532384014699,0.3000459347726228,-0.16720000000000002
1.0,0.718,2.54495,1.0977469774246216,0.7655048370361328,0.3076276779174804,0.0993305821067247,0.0223044264249694,9.89883253880036,3.552399263639927e-08,7.250461749208625e-06,0.0034361346624791,0.006614607257694,0.003307303628847,0.001837390904915,0.0003215434083601,3.5523996189112956e-08,7.250514499901328e-06,0.003447983181104,0.0035829122645842,0.395911805236564,-0.2096
