estimator,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine
KFAC-M-1,0.8683774130008758,0.7270124220189781,0.769578494454004,0.8695058231451078,0.7526480236911002
KFAC-M-3,0.7775886904134068,0.7270124220189781,0.769578494454004,0.5553197849450211,0.8571135516434765
KFAC-M-9,0.7694302243516078,0.7270124220189781,0.769578494454004,0.5055721575612327,0.8727658691713382
KFAC-U-1,0.8683774129445422,0.7270124220189781,0.769578494454004,0.8695058240613425,0.7526480234641006
KFAC-U-3,0.7775886898563102,0.7270124220189781,0.769578494454004,0.5553197908497893,0.8571135505054006
KFAC-U-9,0.768956671020243,0.7270124220189781,0.769578494454004,0.5059337600915275,0.8730312332221052
KFLR,0.7462203393223344,0.7270124220189781,0.769578494454004,0.34728337337789034,0.9179567686040914
KFRA,0.7464802489710749,0.7270124220189781,0.769578494454004,0.3505888368033047,0.9169319753855337
