method,seed,epoch,precond_seconds,scale_min,scale_p10,scale_median,scale_p90,scale_max,scale_cap_fraction
DP-SGD,42,1,1.0860152542591095e-05,,,,,,
DP-SGD,42,2,1.1029653251171112e-05,,,,,,
DP-SGD,42,3,1.26594677567482e-05,,,,,,
DP-SGD,42,4,1.0669231414794922e-05,,,,,,
DP-SGD,42,5,1.0798685252666473e-05,,,,,,
Synthetic Diag Fisher,42,1,0.0967757198959589,0.10000000149011612,0.21043908596038818,0.8229373693466187,8.270461082458496,8.270461082458496,0.008051343262195587
Synthetic Diag Fisher,42,2,0.08380474336445332,0.10000000149011612,0.2910022437572479,0.9321308135986328,5.143397808074951,9.367924690246582,0.03855075687170029
Synthetic Diag Fisher,42,3,0.07945007272064686,0.10000000149011612,0.26586684584617615,0.9650403261184692,4.766892433166504,9.698578834533691,0.028851451352238655
Synthetic Diag Fisher,42,4,0.0802082996815443,0.10000000149011612,0.2603680491447449,1.0066845417022705,4.350651741027832,10.0,0.05379804968833923
Synthetic Diag Fisher,42,5,0.08045790530741215,0.10000000149011612,0.28968843817710876,0.9423129558563232,4.397181987762451,9.470135688781738,0.023781906813383102
Synthetic Equil,42,1,0.08841549884527922,0.10000000149011612,0.27905574440956116,0.7693952322006226,7.732468605041504,7.732468605041504,6.765834405086935e-05
Synthetic Equil,42,2,0.09183488227427006,0.10000000149011612,0.4109947383403778,0.8512789011001587,3.67549729347229,8.555278778076172,0.0007345763151533902
Synthetic Equil,42,3,0.09191757440567017,0.10000000149011612,0.4018276035785675,0.8763585090637207,3.151301622390747,8.80735969543457,0.0005026048165746033
Synthetic Equil,42,4,0.08987186010926962,0.10000000149011612,0.3838438391685486,0.8913912773132324,3.334725856781006,8.958467483520508,0.00042528100311756134
Synthetic Equil,42,5,0.0904410993680358,0.10000000149011612,0.4165176451206207,0.8695252537727356,3.0125770568847656,8.73867416381836,0.00020297503215260804
Synthetic DP-KFC,42,1,0.24369266908615828,31.59253692626953,483.4142150878906,606.7064819335938,821.1014404296875,1000.0699462890625,1.0
Synthetic DP-KFC,42,2,0.16823626682162285,13.77844524383545,147.12709045410156,246.05047607421875,446.9504699707031,977.3533325195312,1.0
Synthetic DP-KFC,42,3,0.16992004215717316,8.125129699707031,89.27043914794922,161.4501953125,306.2537841796875,941.1775512695312,0.9982988238334656
Synthetic DP-KFC,42,4,0.17040197644382715,5.732618808746338,73.02405548095703,123.38825988769531,220.60060119628906,627.1159057617188,0.996249794960022
Synthetic DP-KFC,42,5,0.1705959402024746,4.988429546356201,59.101295471191406,99.40690612792969,180.34373474121094,907.6618041992188,0.995611846446991
DP-SGD,7,1,1.0076910257339478e-05,,,,,,
DP-SGD,7,2,1.0943040251731873e-05,,,,,,
DP-SGD,7,3,1.0009855031967163e-05,,,,,,
DP-SGD,7,4,9.977258741855621e-06,,,,,,
DP-SGD,7,5,1.0472722351551056e-05,,,,,,
Synthetic Diag Fisher,7,1,0.08324238192290068,0.10000000149011612,0.18158188462257385,0.7506161332130432,7.543773651123047,7.543773651123047,0.00507920840755105
Synthetic Diag Fisher,7,2,0.0821029907092452,0.10000000149011612,0.27875617146492004,0.8841018676757812,5.193583965301514,8.885162353515625,0.028614645823836327
Synthetic Diag Fisher,7,3,0.08150102570652962,0.10000000149011612,0.3349515199661255,0.9148329496383667,4.318636417388916,9.193991661071777,0.015764394775032997
Synthetic Diag Fisher,7,4,0.08327064756304026,0.10000000149011612,0.3321370780467987,0.872652530670166,4.356996059417725,8.770090103149414,0.01580788940191269
Synthetic Diag Fisher,7,5,0.0817524679005146,0.10000000149011612,0.3102726936340332,0.9098143577575684,4.95222282409668,9.143570899963379,0.01484617404639721
Synthetic Equil,7,1,0.09264591056853533,0.10000000149011612,0.23526322841644287,0.6981706619262695,7.0167646408081055,7.0167646408081055,0.00019814229744952172
Synthetic Equil,7,2,0.09195563849061728,0.10000000149011612,0.38584649562835693,0.850816011428833,3.6210179328918457,8.550676345825195,0.0003527899389155209
Synthetic Equil,7,3,0.0924667026847601,0.10000000149011612,0.4429739713668823,0.8448061943054199,3.1182870864868164,8.490233421325684,0.00013048395339865237
Synthetic Equil,7,4,0.09211575519293547,0.10000000149011612,0.4350528419017792,0.844268262386322,2.9871513843536377,8.484810829162598,0.00017397859483025968
Synthetic Equil,7,5,0.09117775503546,0.10000000149011612,0.42824313044548035,0.8601091504096985,3.3779704570770264,8.644047737121582,0.00014981490676291287
Synthetic DP-KFC,7,1,0.1695362264290452,31.589872360229492,502.85943603515625,628.730224609375,861.835205078125,999.9987182617188,1.0
Synthetic DP-KFC,7,2,0.16805532667785883,14.388975143432617,164.18923950195312,253.23281860351562,400.9635009765625,902.3648681640625,1.0
Synthetic DP-KFC,7,3,0.16919352486729622,6.95772647857666,103.72663116455078,176.61480712890625,293.7261657714844,750.818359375,0.9989319443702698
Synthetic DP-KFC,7,4,0.16928738169372082,5.686182498931885,79.62862396240234,134.1782989501953,234.74061584472656,849.8216552734375,0.9961144328117371
Synthetic DP-KFC,7,5,0.16967082396149635,4.850881099700928,62.5391731262207,118.1891860961914,207.0708465576172,763.2161254882812,0.9956698417663574
