method,seed,corr_log_diag,corr_log_equil,median_coupling_ratio,p90_coupling_ratio,p99_coupling_ratio
DP-SGD,42,0.4633761253586346,0.3400360108999795,321.9770201875395,2156.2902833855323,30471.91151139752
Synthetic Diag Fisher,42,0.4906865844376485,0.4247385950574376,336.4888701832185,1614.1178338281559,16701.955905166782
Synthetic Equil,42,0.44148183501413435,0.3156633381480689,299.4171089212045,1558.1897779030758,18579.85328974158
Synthetic DP-KFC,42,0.4022876001551393,0.29188484917874397,257.3710046405033,1809.4490278578135,33758.06394006836
DP-SGD,7,0.6755553656686885,0.6554394484795041,298.3282534369785,2158.4417370350725,21523.41609035249
Synthetic Diag Fisher,7,0.5541016394876176,0.42729756374186195,318.23950736694746,1857.178263423397,19532.808185572696
Synthetic Equil,7,0.6511602377656912,0.5966584982129751,292.5801678616892,1683.9159949061693,19085.170412680895
Synthetic DP-KFC,7,0.33525846782925434,0.21731677696645327,261.3686289946702,1644.3097125004836,17460.65548704233
