method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,precond_seconds,epoch_train_seconds,scale_min,scale_p10,scale_median,scale_p90,scale_max,scale_cap_fraction
DP-SGD,42,1,True,0.8470096117973328,0.6440458506464958,0.8957,0.7863366347932901,0.4691166666666667,0.5958376480420431,1.0860152542591095e-05,14.20052657276392,,,,,,
DP-SGD,42,2,True,0.7052698392868042,0.6248932632267475,0.913,0.8389556633778256,0.2582,0.7742742698669434,1.1029653251171112e-05,13.705733321607113,,,,,,
DP-SGD,42,3,True,0.7255567707061767,0.6820139516830445,0.9097,0.891574691962361,0.21731666666666666,0.8076062019348145,1.26594677567482e-05,13.634094845503569,,,,,,
DP-SGD,42,4,True,0.7850442505836487,0.7042917244076728,0.9163,0.9441937205468965,0.19665,0.824036981455485,1.0669231414794922e-05,13.648179984651506,,,,,,
DP-SGD,42,5,True,0.7375171625773111,0.6951909170484287,0.9234,0.9968127491314319,0.16746666666666668,0.849704928334554,1.0798685252666473e-05,13.569448126479983,,,,,,
Synthetic Diag Fisher,42,1,True,0.9264242742220561,0.5970927747249604,0.8892,0.7863366347932901,0.6655666666666666,0.40164844404856365,0.0967757198959589,13.232082825154066,0.10000000149011612,0.21043908596038818,0.8229373693466187,8.270461082458496,8.270461082458496,0.008051343262195587
Synthetic Diag Fisher,42,2,True,0.5799619700749715,0.5577944388389587,0.9025,0.8389556633778256,0.2709,0.7753741653442383,0.08380474336445332,13.22026132978499,0.10000000149011612,0.2910022437572479,0.9321308135986328,5.143397808074951,9.367924690246582,0.03855075687170029
Synthetic Diag Fisher,42,3,True,0.6467288627624511,0.6873433015346527,0.8934,0.891574691962361,0.2667333333333333,0.7724269788106283,0.07945007272064686,13.19914083648473,0.10000000149011612,0.26586684584617615,0.9650403261184692,4.766892433166504,9.698578834533691,0.028851451352238655
Synthetic Diag Fisher,42,4,True,0.7293631620407105,0.6880451986789703,0.902,0.9441937205468965,0.23698333333333332,0.7938980374654134,0.0802082996815443,13.154535587877035,0.10000000149011612,0.2603680491447449,1.0066845417022705,4.350651741027832,10.0,0.05379804968833923
Synthetic Diag Fisher,42,5,True,0.7114139611562094,0.7200782620549202,0.9029,0.9968127491314319,0.20346666666666666,0.8218332644144694,0.08045790530741215,13.222862239927053,0.10000000149011612,0.28968843817710876,0.9423129558563232,4.397181987762451,9.470135688781738,0.023781906813383102
Synthetic Equil,42,1,True,0.9126631334940593,0.5884625768184661,0.8936,0.7863366347932901,0.6370333333333333,0.43063449540138243,0.08841549884527922,13.163025975227356,0.10000000149011612,0.27905574440956116,0.7693952322006226,7.732468605041504,7.732468605041504,6.765834405086935e-05
Synthetic Equil,42,2,True,0.5756645109176636,0.5495507124423981,0.9097,0.8389556633778256,0.26511666666666667,0.7775122823079427,0.09183488227427006,13.269025420770049,0.10000000149011612,0.4109947383403778,0.8512789011001587,3.67549729347229,8.555278778076172,0.0007345763151533902
Synthetic Equil,42,3,True,0.5810525390625,0.5677769085407257,0.9109,0.891574691962361,0.22185,0.8106824494679769,0.09191757440567017,13.193867772817612,0.10000000149011612,0.4018276035785675,0.8763585090637207,3.151301622390747,8.80735969543457,0.0005026048165746033
Synthetic Equil,42,4,True,0.6097120451609294,0.5580642026543617,0.9214,0.9441937205468965,0.20005,0.826151144917806,0.08987186010926962,13.195104791782796,0.10000000149011612,0.3838438391685486,0.8913912773132324,3.334725856781006,8.958467483520508,0.00042528100311756134
Synthetic Equil,42,5,True,0.6130466356277465,0.6438275313466787,0.9166,0.9968127491314319,0.17818333333333333,0.8434055564880371,0.0904410993680358,13.255047553218901,0.10000000149011612,0.4165176451206207,0.8695252537727356,3.0125770568847656,8.73867416381836,0.00020297503215260804
Synthetic DP-KFC,42,1,True,0.8698496711095174,0.5491169075265526,0.9271,0.7863366347932901,0.5898166666666667,0.441259907049189,0.24369266908615828,15.322172660380602,31.59253692626953,483.4142150878906,606.7064819335938,821.1014404296875,1000.0699462890625,1.0
Synthetic DP-KFC,42,2,True,0.6203422753651937,0.5517704310852103,0.938,0.8389556633778256,0.22625,0.7967911866505941,0.16823626682162285,15.291323136538267,13.77844524383545,147.12709045410156,246.05047607421875,446.9504699707031,977.3533325195312,1.0
Synthetic DP-KFC,42,3,True,0.64478190091451,0.593878285201639,0.9339,0.891574691962361,0.20198333333333332,0.8173770679473877,0.16992004215717316,15.358008017763495,8.125129699707031,89.27043914794922,161.4501953125,306.2537841796875,941.1775512695312,0.9982988238334656
Synthetic DP-KFC,42,4,True,0.6614327726999919,0.6372742149147671,0.9323,0.9441937205468965,0.1751,0.8400032890319824,0.17040197644382715,15.291199712082744,5.732618808746338,73.02405548095703,123.38825988769531,220.60060119628906,627.1159057617188,0.996249794960022
Synthetic DP-KFC,42,5,True,0.701217307917277,0.6417456421969276,0.937,0.9968127491314319,0.16273333333333334,0.8506313077290852,0.1705959402024746,15.301894252188504,4.988429546356201,59.101295471191406,99.40690612792969,180.34373474121094,907.6618041992188,0.995611846446991
DP-SGD,7,1,True,0.7942884213765462,0.57802881026268,0.9012,0.7863366347932901,0.4504,0.6096242197672526,1.0076910257339478e-05,13.170560892671347,,,,,,
DP-SGD,7,2,True,0.6369519978841146,0.652084628868103,0.9056,0.8389556633778256,0.2488,0.7828775143941243,1.0943040251731873e-05,13.118239786475897,,,,,,
DP-SGD,7,3,True,0.7008225330352783,0.745868771123886,0.9083,0.891574691962361,0.21076666666666666,0.8133474192301432,1.0009855031967163e-05,13.112838486209512,,,,,,
DP-SGD,7,4,True,0.7835982847849527,0.6835320321016043,0.9197,0.9441937205468965,0.18036666666666668,0.8372066464742025,9.977258741855621e-06,13.106247130781412,,,,,,
DP-SGD,7,5,True,0.8337432957967122,0.8408352730870247,0.91,0.9968127491314319,0.17203333333333334,0.8438410573323568,1.0472722351551056e-05,13.15947685111314,,,,,,
Synthetic Diag Fisher,7,1,True,0.8430871983210245,0.5678134696841239,0.9016,0.7863366347932901,0.6094166666666667,0.4519016427675883,0.08324238192290068,13.305426041595638,0.10000000149011612,0.18158188462257385,0.7506161332130432,7.543773651123047,7.543773651123047,0.00507920840755105
Synthetic Diag Fisher,7,2,True,0.5649960735956828,0.5452069372415542,0.9038,0.8389556633778256,0.24125,0.7956405893961589,0.0821029907092452,13.285056548193097,0.10000000149011612,0.27875617146492004,0.8841018676757812,5.193583965301514,8.885162353515625,0.028614645823836327
Synthetic Diag Fisher,7,3,True,0.5625847798029582,0.5160251740261912,0.9196,0.891574691962361,0.22335,0.8087397977193197,0.08150102570652962,13.32645403034985,0.10000000149011612,0.3349515199661255,0.9148329496383667,4.318636417388916,9.193991661071777,0.015764394775032997
Synthetic Diag Fisher,7,4,True,0.5521528201421102,0.522168879789114,0.9238,0.9441937205468965,0.17976666666666666,0.8447491540273031,0.08327064756304026,13.307175339199603,0.10000000149011612,0.3321370780467987,0.872652530670166,4.356996059417725,8.770090103149414,0.01580788940191269
Synthetic Diag Fisher,7,5,True,0.6247590480804444,0.608301086183032,0.9245,0.9968127491314319,0.1734,0.8468129275004069,0.0817524679005146,13.29109222162515,0.10000000149011612,0.3102726936340332,0.9098143577575684,4.95222282409668,9.143570899963379,0.01484617404639721
Synthetic Equil,7,1,True,0.8435646123250325,0.598766878926754,0.8998,0.7863366347932901,0.5870166666666666,0.47367873136997224,0.09264591056853533,13.1698635565117,0.10000000149011612,0.23526322841644287,0.6981706619262695,7.0167646408081055,7.0167646408081055,0.00019814229744952172
Synthetic Equil,7,2,True,0.5458625811258951,0.46571935719251634,0.9172,0.8389556633778256,0.2199,0.8141359738667806,0.09195563849061728,13.252591040916741,0.10000000149011612,0.38584649562835693,0.850816011428833,3.6210179328918457,8.550676345825195,0.0003527899389155209
Synthetic Equil,7,3,True,0.49805039536158247,0.44665165607407686,0.9311,0.891574691962361,0.1913,0.8365428404490153,0.0924667026847601,13.154616358689964,0.10000000149011612,0.4429739713668823,0.8448061943054199,3.1182870864868164,8.490233421325684,0.00013048395339865237
