method,seed,epoch,layer,mean,median,p90,p99
M1_full_ghost,7,1,conv1,0.0005251396796666086,0.00032018020283430815,0.0009745255811139941,0.004216185305267572
M1_full_ghost,7,1,conv2,0.025319205597043037,0.01715487241744995,0.05482300743460655,0.11028984934091568
M1_full_ghost,7,1,fc1,0.8764145970344543,0.9237662553787231,0.9407582879066467,0.9521056413650513
M1_full_ghost,7,1,fc2,0.09774106740951538,0.054032012820243835,0.13223421573638916,0.6686567068099976
M1_full_ghost,7,2,conv1,0.03500591963529587,0.027527397498488426,0.07273992151021957,0.12520278990268707
M1_full_ghost,7,2,conv2,0.27739599347114563,0.25783729553222656,0.4593365788459778,0.5745015740394592
M1_full_ghost,7,2,fc1,0.6149820685386658,0.634650707244873,0.7512117624282837,0.8049631714820862
M1_full_ghost,7,2,fc2,0.07259932160377502,0.01782223954796791,0.1752050668001175,0.2915875017642975
M1_full_ghost,7,3,conv1,0.0456935316324234,0.03717601299285889,0.09101903438568115,0.14836861193180084
M1_full_ghost,7,3,conv2,0.24553638696670532,0.23633062839508057,0.36945581436157227,0.4796174466609955
M1_full_ghost,7,3,fc1,0.6147893667221069,0.6225054264068604,0.7394351959228516,0.8110872507095337
M1_full_ghost,7,3,fc2,0.09396406263113022,0.0901048555970192,0.18800190091133118,0.5455702543258667
M1_full_ghost,7,4,conv1,0.04697197303175926,0.03682946041226387,0.09278952330350876,0.16065095365047455
M1_full_ghost,7,4,conv2,0.23343540728092194,0.22328291833400726,0.34201565384864807,0.45428892970085144
M1_full_ghost,7,4,fc1,0.6046243906021118,0.6190534830093384,0.7251880764961243,0.7891674637794495
M1_full_ghost,7,4,fc2,0.11413358151912689,0.08697646856307983,0.2964285910129547,0.5133673548698425
M1_full_ghost,7,5,conv1,0.04967093840241432,0.040953636169433594,0.09230723232030869,0.14834292232990265
M1_full_ghost,7,5,conv2,0.2792873680591583,0.2684422433376312,0.3932037055492401,0.49513810873031616
M1_full_ghost,7,5,fc1,0.5769825577735901,0.5820538997650146,0.6972036361694336,0.7665438652038574
M1_full_ghost,7,5,fc2,0.09192236512899399,0.07447441667318344,0.21602216362953186,0.3725201487541199
