beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls,transformed_block_floored_condition_number,total_build_seconds,total_private_train_seconds,total_algorithm_seconds,total_geometry_seconds,total_state_metric_seconds,total_wall_seconds,peak_allocated_bytes
0.0,42,5,0.9184,0.5773721824139356,0.5697139009323895,0.995693195331761,1.068115234375,0.22233907585470086,0.8043723412049122,0.0007061508949846029,200.5885772705078,1051.819091796875,0.11561490036547184,10.285547811537981,0.07733480725437403,0.003629119135439396,1.0356970578432083,10.401162711903453,11.517823696136475,0.04395533252794009,5824.094262903694,167988736,138000384,167988736,234,59904,1170,2560,10,10,2560,16854.85743128847,83228.59448786039,2.2221518788746284,129.82625863548742,288.49366455411183,0.795341178943046,0.5278986280496943,0.22926346116627944,1.7746864649443514,10,50000000842364.586,0.60013915784657,51.840266006067395,52.440405163913965,0.4206678597256541,0.01852721907198429,58.12862459383905,167988736
0.25,42,5,0.957,0.3272660446873837,0.3434178607108501,0.995693195331761,1.068115234375,0.1382378472222222,0.8778190770719805,3.714118975040037e-06,11.934630393981934,2641.136474609375,0.2410371359437704,10.331127220764756,0.07803139183670282,0.003713480196893215,1.03902627248317,10.572164356708527,11.692935501225293,0.04415011632805451,5798.399218199313,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,4664.9499878652705,98981.97624927617,4.60632487067397,68.30043914840716,314.614011527262,0.7563579265091507,0.6614049620943645,0.2872445253410119,1.6411801308996814,10,26505176800038.316,1.2201083498075604,51.56127502862364,52.7813833784312,0.38775681611150503,0.018235214985907078,58.4106871066615,168142336
0.5,42,5,0.9491,0.3841891255537048,0.41652758594634187,0.995693195331761,1.068115234375,0.16716746794871795,0.8519872900767204,1.1940846889046952e-05,59.29531478881836,4515.32470703125,0.24091213289648294,10.345087259076536,0.07776867877691984,0.003663751296699047,1.0469625340774655,10.585999391973019,11.714394356124103,0.044209774611438185,5790.5746466702485,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,95926.96343024349,95926.96343024349,1.0,309.72078301309307,309.72078301309307,0.6946266710685188,0.8434195949822929,0.36629247602988535,1.459165498011753,10,25000345452469.01,1.2225024262443185,51.759267513640225,52.98176993988454,0.3885221779346466,0.01822103187441826,58.6347764255479,168142336
0.75,42,5,0.9272,0.530790667763492,0.5340695235973749,0.995693195331761,1.068115234375,0.23071915064102563,0.7944526430378612,0.00041697800043039024,613.29541015625,7004.52197265625,0.24110711552202702,10.311473587527871,0.07766683772206306,0.003630068153142929,1.0422499915584922,10.552580703049898,11.676127600483596,0.0440661264424268,5809.45094719112,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,11614503.22640315,84285.19580878211,0.08518739356549469,3408.0057550425513,290.3191275282807,0.590704062173516,1.1318115947158067,0.4915395301391945,1.1707734982782392,10,193529818589.31622,1.2184281256049871,51.6642061881721,52.88263431377709,0.3887601252645254,0.01832539215683937,58.51647728681564,168142336
1.0,42,5,0.9143,0.5766797481760383,0.6272638174585807,0.995693195331761,1.068115234375,0.30869391025641024,0.7261963835638813,0.00812855176627636,2665.590576171875,9955.923828125,0.2406901167705655,10.260058265179396,0.07768332678824663,0.0036452636122703552,1.034588424488902,10.500748381949961,11.61666539683938,0.04384640284264699,5838.563334801159,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,3146687075.4187016,70500.59843305615,0.004733360950084267,56095.33915949436,265.5194878592834,0.47453614905448066,1.431672980063046,0.6217676751313651,0.8709121129309998,10,303175164902.36444,1.2276294017210603,51.80336597841233,53.03099538013339,0.3904411010444164,0.018236362375319004,58.62890787888318,168142336
0.0,7,5,0.9285,0.5038151485875249,0.5568483971123003,0.995693195331761,1.068115234375,0.19644764957264957,0.8258447321052225,0.0002205080963904038,145.30126953125,1090.070556640625,0.11618562508374453,10.332659531384706,0.07781047467142344,0.0036581531167030334,1.043628117069602,10.448845156468451,11.57394190132618,0.044156664664037205,5797.539328383552,167988736,138000384,167988736,234,59904,1170,2560,10,10,2560,16498.344439831402,90755.2046782418,2.345392797691748,128.44588136577755,301.2560450484634,0.826023865076778,0.4617643571017046,0.20054171222887296,1.8408207358923412,10,50000000051789.28,0.5806805714964867,51.64051912724972,52.221199698746204,0.38923204503953457,0.018248547799885273,57.82069849502295,167988736
0.25,7,5,0.9588,0.3020689071957022,0.34745565988123417,0.995693195331761,1.068115234375,0.12356436965811966,0.8904008546955565,1.8182702206104295e-06,5.354347229003906,2605.70556640625,0.24102337285876274,10.35380635689944,0.07783155422657728,0.003646746277809143,1.0445184567943215,10.594829729758203,11.720826487056911,0.044247035713245474,5785.698315680969,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,4863.206342139951,103210.18657864179,4.606806099749204,69.7366929395132,321.2634224100867,0.8172416919959478,0.5036445525545556,0.2187300500150758,1.7989405404394903,10,11211058650.734587,1.2054684441536665,51.62712156586349,52.83259001001716,0.38945750892162323,0.018215171992778778,58.44495943095535,168142336
0.5,7,5,0.9509,0.3782116118852049,0.4279022572132257,0.995693195331761,1.068115234375,0.15274439102564102,0.8635342021783193,7.375955647148658e-06,32.335628509521484,4248.40771484375,0.2622335972264409,10.354070804081857,0.07790195103734732,0.003641434945166111,1.052447386085987,10.616304401308298,11.750295173376799,0.044248165829409644,5785.550546591222,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,94245.85701305166,94245.85701305166,1.0,306.99488108607227,306.99488108607227,0.7605082424060041,0.6658286551327006,0.2891657108171951,1.6367564378613453,10,210566337.18618283,1.2265138123184443,51.646218767389655,52.8727325797081,0.38933712523430586,0.018253490328788757,58.51142765209079,168142336
0.75,7,5,0.9288,0.520129438469559,0.5494054086570047,0.995693195331761,1.068115234375,0.21118790064102563,0.8095719926377647,8.754584996495396e-05,449.8279113769531,5207.35546875,0.24076372478157282,10.3235725434497,0.07790632732212543,0.0036208443343639374,1.052743029780686,10.564336268231273,11.698606469668448,0.044117831382263675,5802.642423238363,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,12362698.693059053,82438.83921760373,0.08165998422873971,3516.0629535119324,287.1216453310404,0.6382159157434267,1.013548980096804,0.4401787291947108,1.2890361128972418,10,63993461975.80256,1.206898826174438,51.6132884118706,52.82018723804504,0.38998474460095167,0.01814189925789833,58.442967779003084,168142336
1.0,7,5,0.9137,0.5555264195516706,0.5981473255361247,0.995693195331761,1.068115234375,0.28392094017094016,0.7461028040474297,0.0031391941010951996,1670.8272705078125,5935.43603515625,0.2409282149747014,10.312380775809288,0.07768675312399864,0.0036420123651623726,1.042998525314033,10.55330899078399,11.677636281587183,0.04407000331542431,5808.9398852030745,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,3816178465.3529906,75724.26810271914,0.0044545434965489045,61775.22533631902,275.180428269743,0.49214527353645166,1.439539718481524,0.6251841562170863,0.863045374512522,10,331846194724.2481,1.2073175935074687,51.66444607172161,52.87176366522908,0.38973017130047083,0.01824309676885605,58.488842613995075,168142336
