beta,seeds,test_accuracy_mean,test_accuracy_std,clip_fraction_mean,clip_fraction_std,transformed_norm_p90_mean,transformed_norm_p90_std,transformed_norm_p99_mean,transformed_norm_p99_std,transformed_block_floored_condition_number_mean,transformed_block_floored_condition_number_std
0.0,2,0.92345,0.0071417784899841285,0.2093933627136752,0.01830800309863007,172.9449234008789,39.09403021597669,1070.94482421875,27.047870181334446,50000000447076.94,559021.1589831522
0.25,2,0.9579,0.0012727922061358025,0.13090110844017094,0.010375715489165573,8.64448881149292,4.65296284808364,2623.4210205078125,25.05343545402776,13258193929344.525,18734062836259.234
0.5,2,0.95,0.001272792206135724,0.1599559294871795,0.010198655497882899,45.81547164916992,19.063376986752743,4381.8662109375,188.738815189698,12500278009403.1,17677764908562.19
0.75,2,0.9279999999999999,0.0011313708498984299,0.22095352564102563,0.013810679320049757,531.5616607666016,115.5889768904445,6105.938720703125,1270.7886218334293,128761640282.55939,91596036171.6144
1.0,2,0.9139999999999999,0.0004242640687119603,0.2963074252136752,0.01751713513756738,2168.2089233398438,703.403879110605,7945.679931640625,2842.9141820859395,317510679813.3063,20273479610.655674
