beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.0,42,1,0.8738,0.7951906358718872,0.9387323678049266,0.7861127240333559,1.068115234375,0.6720252403846154,0.36610249559391034,80.45878601074219,5094.6396484375,12009.189453125,0.13491468038409948,10.426851829513907,0.11066136043518782,0.003951892256736755,1.06099084764719,10.561766509898007,11.737370610237122,0.04455919585262354,5745.166516171035,167181312,138000384,167181312,234,59904,234,2560,10,10,2560,9.92478912498751,20570.418705385546,45.526149677035136,3.1503633322186047,143.42391259962736,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.0,42,2,0.9024,0.6044802921295166,0.7041868412087107,0.8385078418579571,1.068115234375,0.30645699786324787,0.7298023058817937,0.010776065289974213,493.5721435546875,1013.3914184570312,0.11591261625289917,10.418455488048494,0.0770265944302082,0.003627665340900421,1.0589266773313284,10.534368104301393,11.67394904140383,0.04452331405148929,5749.796605525525,167988736,138000384,167988736,234,59904,468,2560,10,10,2560,7694.432928931649,65639.97425776275,2.920760131645702,87.7179168068397,256.20299424043185,0.7293708436296045,0.7252221424762995,0.3149599746315107,1.5773629505177464,10
0.0,42,3,0.9114,0.6026195888996124,0.6497189071443346,0.8909029596825585,1.068115234375,0.26552483974358976,0.7656349203525445,0.002936664503067732,415.3749084472656,1084.177734375,0.11754795722663403,10.359004608355463,0.07830336596816778,0.003685278818011284,1.0590329663828015,10.476552565582097,11.617574176751077,0.04426925046305753,5782.794994770257,167988736,138000384,167988736,234,59904,702,2560,10,10,2560,10858.584069078683,78392.15926784069,2.6868889326295906,104.20452998348335,279.9859983424898,0.7663494317758349,0.6215750472400965,0.26994661310512696,1.6810100457539494,10
0.0,42,4,0.925,0.5234586369156837,0.5893547032506038,0.9432980775071597,1.068115234375,0.2384314903846154,0.7904026304554735,0.0014210771769285202,270.5330810546875,1076.459716796875,0.1161490036174655,10.35040626861155,0.0773417316377163,0.003633263520896435,1.0343768019229174,10.466555272229016,11.581907069310546,0.04423250542141688,5787.598906302234,167988736,138000384,167988736,234,59904,936,2560,10,10,2560,13516.544970672137,82647.03677523437,2.4727533372373536,116.26067680291621,287.4839765538844,0.7655585366306248,0.6153598747632686,0.26724739799436364,1.6872252182307772,10
0.0,42,5,0.9184,0.5773721824139356,0.5697139009323895,0.995693195331761,1.068115234375,0.22233907585470086,0.8043723412049122,0.0007061508949846029,200.5885772705078,1051.819091796875,0.11561490036547184,10.285547811537981,0.07733480725437403,0.003629119135439396,1.0356970578432083,10.401162711903453,11.517823696136475,0.04395533252794009,5824.094262903694,167988736,138000384,167988736,234,59904,1170,2560,10,10,2560,16854.85743128847,83228.59448786039,2.2221518788746284,129.82625863548742,288.49366455411183,0.795341178943046,0.5278986280496943,0.22926346116627944,1.7746864649443514,10
0.25,42,1,0.9038,0.6202810745954513,0.8308249599913247,0.7861127240333559,1.068115234375,0.6702891292735043,0.36621893782011417,94.59725952148438,10746.421875,30565.3203125,0.23889224417507648,10.300354002974927,0.07716601900756359,0.003625130280852318,1.046830965206027,10.539246247150004,11.666868361644447,0.044018606850320205,5815.722448247764,167334912,138000384,167334912,234,59904,234,2560,10,10,2560,125.28948711827135,20570.418705385546,12.8133960549274,11.193278658117618,143.42391259962736,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.25,42,2,0.9338,0.4616235090404749,0.5647595883307294,0.8385078418579571,1.068115234375,0.2445746527777778,0.7824465423567682,0.0010070153512060642,606.1842651367188,2867.6513671875,0.23936731461435556,10.326510022394359,0.07729302439838648,0.003638637252151966,1.0549163864925504,10.565877337008715,11.701725385151803,0.044130384711087,5800.991803628768,168142336,138000384,168142336,234,59904,468,2560,10,10,2560,2338.353616050615,76331.31931565658,5.713421839749147,48.35652609576721,276.28123228995594,0.6186744122318206,1.055856252987334,0.458552544355443,1.2467288400067118,10
0.25,42,3,0.9489,0.38557415086121766,0.45596575730631494,0.8909029596825585,1.068115234375,0.18095619658119658,0.8396466422794212,3.626088073360734e-05,100.10192108154297,2644.839111328125,0.23998240660876036,10.31763073336333,0.07738255988806486,0.0036286069080233574,1.038554696366191,10.55761313997209,11.67717900313437,0.04409243903146722,5805.984101203878,168142336,138000384,168142336,234,59904,702,2560,10,10,2560,3516.0645274778935,91366.54016903775,5.097593160268495,59.296412433450755,302.26898644921835,0.7015594906074746,0.8183108559739276,0.3553878892310034,1.4842742370201183,10
0.25,42,4,0.9547,0.3381829218174913,0.3818359960220818,0.9432980775071597,1.068115234375,0.1525440705128205,0.8648571899304023,8.52995344757801e-06,25.34764862060547,2499.7880859375,0.26082924846559763,10.285653049126267,0.07788382098078728,0.0036293603479862213,1.043983376584947,10.546482297591865,11.671978855505586,0.04395578226122337,5824.034673723381,168142336,138000384,168142336,234,59904,936,2560,10,10,2560,4162.353083579394,97054.26550240435,4.828784841491124,64.51630091364038,311.53533588086657,0.7166912519410771,0.7790078220544768,0.33831879847772955,1.523577270939569,10
0.25,42,5,0.957,0.3272660446873837,0.3434178607108501,0.995693195331761,1.068115234375,0.1382378472222222,0.8778190770719805,3.714118975040037e-06,11.934630393981934,2641.136474609375,0.2410371359437704,10.331127220764756,0.07803139183670282,0.003713480196893215,1.03902627248317,10.572164356708527,11.692935501225293,0.04415011632805451,5798.399218199313,168142336,138000384,168142336,234,59904,1170,2560,10,10,2560,4664.9499878652705,98981.97624927617,4.60632487067397,68.30043914840716,314.614011527262,0.7563579265091507,0.6614049620943645,0.2872445253410119,1.6411801308996814,10
