label,epoch,family,transformed_norm,dp_adamw_norm,ratio
DP-AdamW,1,attention_qkv,55.92913900724966,55.92913900724966,1.0
DP-AdamW,2,attention_qkv,53.090192821246845,53.090192821246845,1.0
DP-AdamW,3,attention_qkv,56.40424967383317,56.40424967383317,1.0
DP-AdamW,4,attention_qkv,59.55905342723544,59.55905342723544,1.0
DP-AdamW,5,attention_qkv,61.3593461109866,61.3593461109866,1.0
DP-AdamW,1,attention_out_proj,53.892794950968,53.892794950968,1.0
DP-AdamW,2,attention_out_proj,51.64593694134703,51.64593694134703,1.0
DP-AdamW,3,attention_out_proj,55.07188216788726,55.07188216788726,1.0
DP-AdamW,4,attention_out_proj,58.197542534436224,58.197542534436224,1.0
DP-AdamW,5,attention_out_proj,60.016050129891354,60.016050129891354,1.0
DP-AdamW,1,mlp_fc1,68.475465152962,68.475465152962,1.0
DP-AdamW,2,mlp_fc1,64.16321367499629,64.16321367499629,1.0
DP-AdamW,3,mlp_fc1,67.98391316989307,67.98391316989307,1.0
DP-AdamW,4,mlp_fc1,71.58364672342111,71.58364672342111,1.0
DP-AdamW,5,mlp_fc1,73.55463066601662,73.55463066601662,1.0
DP-AdamW,1,mlp_fc2,67.95358019851142,67.95358019851142,1.0
DP-AdamW,2,mlp_fc2,64.10576142776974,64.10576142776974,1.0
DP-AdamW,3,mlp_fc2,68.13146156805054,68.13146156805054,1.0
DP-AdamW,4,mlp_fc2,71.75545916627048,71.75545916627048,1.0
DP-AdamW,5,mlp_fc2,73.7662133637498,73.7662133637498,1.0
DP-AdamW,1,patch_head,51.7517962773036,51.7517962773036,1.0
DP-AdamW,2,patch_head,43.25151395823022,43.25151395823022,1.0
DP-AdamW,3,patch_head,44.413827646488286,44.413827646488286,1.0
DP-AdamW,4,patch_head,46.111675965703014,46.111675965703014,1.0
DP-AdamW,5,patch_head,47.77370002132541,47.77370002132541,1.0
Oracle DP-KFC-A,1,attention_qkv,59.836697301408485,55.92913900724966,1.0698662336577776
Oracle DP-KFC-A,2,attention_qkv,51.884429276531364,53.090192821246845,0.9772883939454646
Oracle DP-KFC-A,3,attention_qkv,51.58054016310134,56.40424967383317,0.9144796794811433
Oracle DP-KFC-A,4,attention_qkv,53.5142355697494,59.55905342723544,0.8985071536626901
Oracle DP-KFC-A,5,attention_qkv,55.55086291598562,61.3593461109866,0.9053366184102645
Oracle DP-KFC-A,1,attention_out_proj,134.54679134917245,53.892794950968,2.496563621752851
Oracle DP-KFC-A,2,attention_out_proj,113.53160215490038,51.64593694134703,2.198267838258706
Oracle DP-KFC-A,3,attention_out_proj,108.78559014984484,55.07188216788726,1.975338155652838
Oracle DP-KFC-A,4,attention_out_proj,110.56878842371765,58.197542534436224,1.8998875830245356
Oracle DP-KFC-A,5,attention_out_proj,113.659843958355,60.016050129891354,1.8938241305844623
Oracle DP-KFC-A,1,mlp_fc1,66.06690008369739,68.475465152962,0.9648258677194188
Oracle DP-KFC-A,2,mlp_fc1,56.46371743102248,64.16321367499629,0.8800013932753774
Oracle DP-KFC-A,3,mlp_fc1,56.076748508634815,67.98391316989307,0.8248532026760209
Oracle DP-KFC-A,4,mlp_fc1,57.942353062993845,71.58364672342111,0.8094356143501134
Oracle DP-KFC-A,5,mlp_fc1,59.787364614429514,73.55463066601662,0.812829376928028
Oracle DP-KFC-A,1,mlp_fc2,170.27000736937038,67.95358019851142,2.505681185185005
Oracle DP-KFC-A,2,mlp_fc2,142.2139153703911,64.10576142776974,2.218426428498609
Oracle DP-KFC-A,3,mlp_fc2,139.05820985883872,68.13146156805054,2.041027840272378
Oracle DP-KFC-A,4,mlp_fc2,142.82812250789098,71.75545916627048,1.9904844058893438
Oracle DP-KFC-A,5,mlp_fc2,147.3339517286557,73.7662133637498,1.9973094050813591
Oracle DP-KFC-A,1,patch_head,25.729098910341374,51.7517962773036,0.4971633983963798
Oracle DP-KFC-A,2,patch_head,21.790701140666037,43.25151395823022,0.5038136043448148
Oracle DP-KFC-A,3,patch_head,21.888952841390623,44.413827646488286,0.4928409461939572
Oracle DP-KFC-A,4,patch_head,22.96049671385886,46.111675965703014,0.49793238334985784
Oracle DP-KFC-A,5,patch_head,24.1418456832069,47.77370002132541,0.5053375742810452
Oracle Full DP-KFC,1,attention_qkv,2113.444729613835,55.92913900724966,37.7879003168614
