p,seed,epoch,layer,mean,median,p90,p99
0.75,7,1,conv1,6.458985444623977e-05,4.484137753024697e-05,0.0001325845514656976,0.0003548745298758149
0.75,7,1,conv2,0.013865618035197258,0.009907068684697151,0.029718119651079178,0.058386173099279404
0.75,7,1,fc1,0.5682423710823059,0.5705142021179199,0.6710476875305176,0.7446380257606506
0.75,7,1,fc2,0.4178273677825928,0.41699934005737305,0.5323883891105652,0.6257520318031311
0.75,7,2,conv1,0.0012741588288918138,0.0011200376320630312,0.002191901905462146,0.0036553675308823586
0.75,7,2,conv2,0.06055673211812973,0.05677901953458786,0.08606529980897903,0.12809713184833527
0.75,7,2,fc1,0.732263445854187,0.748701810836792,0.8363378643989563,0.8746077418327332
0.75,7,2,fc2,0.20590578019618988,0.18846316635608673,0.3403394818305969,0.4526326358318329
0.75,7,3,conv1,0.0020232954993844032,0.0017273242119699717,0.003579144598916173,0.00570840435102582
0.75,7,3,conv2,0.07957392930984497,0.0764075368642807,0.10803724825382233,0.14728647470474243
0.75,7,3,fc1,0.7156073451042175,0.7281450033187866,0.8196408152580261,0.8626793026924133
0.75,7,3,fc2,0.20279547572135925,0.18989615142345428,0.3261389136314392,0.47419267892837524
0.75,7,4,conv1,0.002087636850774288,0.0016944754170253873,0.003870135173201561,0.006511371582746506
0.75,7,4,conv2,0.07911931723356247,0.07666253298521042,0.10699953883886337,0.13794195652008057
0.75,7,4,fc1,0.680901050567627,0.694361686706543,0.8159946203231812,0.8704936504364014
0.75,7,4,fc2,0.2378920167684555,0.220544695854187,0.4076724648475647,0.5249797701835632
0.75,7,5,conv1,0.002945837564766407,0.002472559455782175,0.005283495876938105,0.00893160980194807
0.75,7,5,conv2,0.08011659979820251,0.07861033082008362,0.10882405191659927,0.14074824750423431
0.75,7,5,fc1,0.6239352822303772,0.6426559686660767,0.79911869764328,0.8629438877105713
0.75,7,5,fc2,0.29300230741500854,0.2707514762878418,0.5195589065551758,0.6628416776657104
