method,layer,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,W_kron,W_G,W_A,log_kappa_kron
CLW-Kron,conv1,73.05300331115723,616.4302368164062,0.25,0.9963923627328367,0.875,0.12661168084014207,1.9677148643098858,0.48803436656614796,1.7131071268127824,7.379145090779863
CLW-Kron,conv2,73.05300331115723,616.4302368164062,0.25,0.9963923627328367,0.875,0.12661168084014207,7.063426432287137,0.5882653326447425,6.066978304920076,13.502293316335024
CLW-Kron,fc1,73.05300331115723,616.4302368164062,0.25,0.9963923627328367,0.875,0.12661168084014207,179.34765929767437,5.640722202156871,31.29150320355126,inf
CLW-Kron,fc2,73.05300331115723,616.4302368164062,0.25,0.9963923627328367,0.875,0.12661168084014207,16.74673706730825,1.426169904639039,9.57953999918503,inf
DP-SGD,conv1,72.94305992126465,616.6063232421875,0.25,0.9963923627328367,0.875,0.12662086030468345,1.9459520852061338,0.4733448344882073,1.706033396328653,7.220976708289898
DP-SGD,conv2,72.94305992126465,616.6063232421875,0.25,0.9963923627328367,0.875,0.12662086030468345,7.062051366825208,0.5783263910383848,6.092796849500985,13.496635217486395
DP-SGD,fc1,72.94305992126465,616.6063232421875,0.25,0.9963923627328367,0.875,0.12662086030468345,180.0152190339685,5.661477421000818,31.296323225265123,inf
DP-SGD,fc2,72.94305992126465,616.6063232421875,0.25,0.9963923627328367,0.875,0.12662086030468345,16.82359392108641,1.4357035465198513,9.580375965337657,inf
Synthetic DP-KFC (Pink Noise),conv1,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,0.8616626404881325,0.43553343423320107,0.6816425186443352,3.8581882930330695
Synthetic DP-KFC (Pink Noise),conv2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,4.923374477543858,0.6160222768776956,4.15889716299863,15.271134224497406
Synthetic DP-KFC (Pink Noise),fc1,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,126.95650056142878,5.1954381220379835,23.97560311793623,inf
Synthetic DP-KFC (Pink Noise),fc2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,15.161289711412087,1.5923158629180572,8.018702105019086,inf
